time,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL,MRI-ESM2-0
2000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0
2001.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0
2002.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0
2003.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0
2004.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0
2005.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0
2006.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0
2007.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0
2008.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0
2009.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0
2010.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0
2011.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0
2012.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0
2013.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0
2014.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0
2015.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0
2016.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0
2017.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0
2018.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0
2019.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0
2020.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0
2021.0,14035739000.0,14013389000.0,13917117000.0,13887603000.0,13955515000.0
2022.0,14440878000.0,13802449000.0,13808861000.0,13727471000.0,13836945000.0
2023.0,14039609000.0,13762845000.0,13591112000.0,13690601000.0,13662471000.0
2024.0,13835140000.0,13568341000.0,13591017000.0,13496306000.0,13536028000.0
2025.0,13633751000.0,13409501000.0,13415491000.0,13171863000.0,13373502000.0
2026.0,13492893000.0,13306585000.0,13233001000.0,12946486000.0,13170165000.0
2027.0,13405693000.0,13046354000.0,13111959000.0,12636188000.0,12860723000.0
2028.0,13219192000.0,12940770000.0,12993059000.0,12278441000.0,12543649000.0
2029.0,13403983000.0,12802984000.0,13307668000.0,11895580000.0,12292921000.0
2030.0,13032191000.0,12496392000.0,12740252000.0,11581313000.0,11983788000.0
2031.0,13356257000.0,12344881000.0,12551152000.0,11184158000.0,11710884000.0
2032.0,12913708000.0,12148313000.0,12324575000.0,10757547000.0,11337489000.0
2033.0,12803800000.0,11810687000.0,12141018000.0,10156857000.0,11239310000.0
2034.0,12379931000.0,11503315000.0,11953894000.0,9643880000.0,10874433000.0
2035.0,12227109000.0,11129375000.0,11628198000.0,9122729000.0,10533690000.0
2036.0,11992604000.0,10753972000.0,11491060000.0,8462779400.0,10080280000.0
2037.0,11726095000.0,10247186000.0,11070725000.0,7878257700.0,9935733000.0
2038.0,11553560000.0,9909416000.0,10782125000.0,7425619000.0,9469079000.0
2039.0,11612231000.0,9456061000.0,10604212000.0,6915893000.0,9427475000.0
2040.0,11153675000.0,8971312000.0,10343837000.0,6563342000.0,8964552000.0
2041.0,10965200000.0,8451149000.0,10118990000.0,5935780400.0,8550581000.0
2042.0,10657952000.0,8084798500.0,9924665000.0,5463877600.0,8108302300.0
2043.0,10568273000.0,8034556400.0,9656861000.0,5205154300.0,7894490000.0
2044.0,10152131000.0,7702521300.0,9528880000.0,4866710500.0,7778806000.0
2045.0,10085482000.0,7339246000.0,9236744000.0,4540893700.0,7454532600.0
2046.0,9859341000.0,7052036600.0,8867346000.0,4179302700.0,7417754600.0
2047.0,9607422000.0,6673027000.0,8584258600.0,3791578600.0,7144120300.0
2048.0,9375676000.0,6322929000.0,8337536000.0,3505740000.0,6870500400.0
2049.0,9094496000.0,6032108500.0,8204324000.0,3234444000.0,6634041000.0
2050.0,8883131000.0,5854577000.0,7952979000.0,2969664500.0,6338211000.0
2051.0,8605839000.0,5523189000.0,7825722400.0,2670616800.0,6035159000.0
2052.0,8353569000.0,5293997000.0,7579297000.0,2502646800.0,5775386600.0
2053.0,8176285700.0,4942383000.0,8351153000.0,2346785300.0,5538876400.0
2054.0,7901596000.0,4616175000.0,7294522000.0,2223748400.0,5341782500.0
2055.0,7626697700.0,4731250700.0,7025244000.0,2049960000.0,5149187600.0
2056.0,7488834000.0,4286790000.0,6936684000.0,1946913900.0,5261653500.0
2057.0,7230000000.0,4050291500.0,6687398400.0,1821772200.0,4869239000.0
2058.0,6969826300.0,3900630500.0,6531923000.0,1685053000.0,4618818000.0
2059.0,6563676700.0,3725719300.0,6300147000.0,1559619800.0,4460186000.0
2060.0,6447405000.0,3514752300.0,6120188000.0,1392133900.0,4348997000.0
2061.0,6420613000.0,3307593500.0,5857352700.0,1242503600.0,4357485600.0
2062.0,6114063000.0,3075800800.0,5668324400.0,1168743700.0,4257081600.0
2063.0,5907655000.0,2889175600.0,5529535500.0,1011966660.0,4052469500.0
2064.0,5831422500.0,2693748000.0,5337987000.0,893653760.0,4093764600.0
2065.0,5579779600.0,2515937300.0,5111249400.0,763420500.0,3845512400.0
2066.0,5422354400.0,2380159500.0,4952581000.0,634127600.0,3718952700.0
2067.0,5303534000.0,2283136300.0,4854010000.0,544152600.0,3632434000.0
2068.0,4956876300.0,2143721600.0,4710344700.0,461583200.0,3556061400.0
2069.0,4877515300.0,2014428200.0,4558269400.0,402744600.0,3438985200.0
2070.0,4728425000.0,1931299200.0,4430597600.0,318996600.0,3291735000.0
2071.0,4623441400.0,1964937900.0,4286115800.0,271014300.0,3169028900.0
2072.0,4588156000.0,1725383800.0,4268696600.0,235113980.0,3029063200.0
2073.0,4358618600.0,1628329100.0,4026473200.0,167196030.0,2900213000.0
2074.0,4276201700.0,1442649100.0,3920127500.0,135528930.0,2801374700.0
2075.0,4042851800.0,1328005500.0,3725985800.0,107829660.0,2633281000.0
2076.0,3930203600.0,1206061300.0,3661151700.0,96911080.0,2705244400.0
2077.0,3780087300.0,1043086300.0,3544806400.0,85142900.0,2466985200.0
2078.0,3617422000.0,974244200.0,3414200600.0,76183490.0,2365190000.0
2079.0,3497972200.0,889195460.0,3252841700.0,64549740.0,2292577800.0
2080.0,3333642800.0,797022100.0,3177717200.0,57730204.0,2205048300.0
2081.0,3158508500.0,725441800.0,3048229000.0,51948460.0,2107693300.0
2082.0,3029140700.0,687817150.0,2907795700.0,48026320.0,1915971000.0
2083.0,2908866000.0,586665200.0,2801635300.0,44688476.0,1816576800.0
2084.0,2829956900.0,512245730.0,2712975000.0,41031510.0,1715812900.0
2085.0,2673695500.0,459546620.0,2597425200.0,38945564.0,1622527000.0
2086.0,2575547000.0,371283200.0,2515405600.0,36734180.0,1531171600.0
2087.0,2458900000.0,320532380.0,2428516600.0,36241908.0,1429055500.0
2088.0,2376030000.0,292720700.0,2420213500.0,34669692.0,1357297900.0
2089.0,2220920800.0,251726160.0,2303458300.0,34432904.0,1309969800.0
2090.0,2109012100.0,226284450.0,2211753500.0,27446380.0,1224601700.0
2091.0,2017154700.0,213429060.0,2110786200.0,26610294.0,1105832800.0
2092.0,1867287200.0,202916510.0,2057585700.0,26031074.0,1065703500.0
2093.0,1778762500.0,159464820.0,1966380900.0,25479426.0,986321100.0
2094.0,1623468300.0,137909970.0,1828415100.0,25196280.0,924003400.0
2095.0,1523033300.0,119721140.0,1752502000.0,24747580.0,882349950.0
2096.0,1428800400.0,107252580.0,1684284700.0,22553692.0,856174200.0
2097.0,1333461400.0,97574640.0,1652336500.0,22057836.0,800888200.0
2098.0,1276570000.0,86835060.0,1559100700.0,19099184.0,738042200.0
2099.0,1213776600.0,75355540.0,1484713700.0,17884158.0,690494460.0
2100.0,1166947300.0,68082800.0,1384766500.0,16832092.0,644182850.0
