time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0
2001.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0
2002.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0
2003.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0
2004.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0
2005.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0
2006.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0
2007.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0
2008.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0
2009.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0
2010.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0
2011.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0
2012.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0
2013.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0
2014.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0
2015.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0
2016.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0
2017.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0
2018.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0
2019.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0
2020.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0
2021.0,51575394000.0,51590173000.0,51583420000.0,51531770000.0,51579230000.0
2022.0,51560910000.0,51750370000.0,51558044000.0,51516682000.0,51539840000.0
2023.0,51576830000.0,51601113000.0,51518583000.0,51516056000.0,51643190000.0
2024.0,51563350000.0,51530720000.0,51783483000.0,51848560000.0,51520260000.0
2025.0,51499917000.0,51740013000.0,51537375000.0,51545080000.0,51886297000.0
2026.0,51479704000.0,51638596000.0,51506030000.0,51559772000.0,51346526000.0
2027.0,51462980000.0,51532534000.0,51483460000.0,51697480000.0,51310950000.0
2028.0,51426087000.0,51462350000.0,51466002000.0,51611165000.0,51131224000.0
2029.0,51409465000.0,51460440000.0,51474170000.0,51417514000.0,51010994000.0
2030.0,51374030000.0,51440510000.0,51456040000.0,51394093000.0,50835767000.0
2031.0,51379420000.0,51579093000.0,51540380000.0,51350950000.0,50598510000.0
2032.0,51341650000.0,51664368000.0,51591918000.0,51484692000.0,50277040000.0
2033.0,51459457000.0,51423420000.0,51684480000.0,51418210000.0,50086957000.0
2034.0,51291400000.0,51404005000.0,51429573000.0,51278530000.0,49837350000.0
2035.0,51270566000.0,51398586000.0,51416834000.0,51226464000.0,49568030000.0
2036.0,51235156000.0,51383530000.0,51480596000.0,51097250000.0,49258787000.0
