time,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR
2000.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0
2001.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0
2002.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0
2003.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0
2004.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0
2005.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0
2006.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0
2007.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0
2008.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0
2009.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0
2010.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0
2011.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0
2012.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0
2013.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0
2014.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0
2015.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0
2016.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0
2017.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0
2018.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0
2019.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0
2020.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0
2021.0,1902312600.0,1931446900.0,1913086300.0,1898393100.0,1946089700.0
2022.0,1873427200.0,1908242800.0,1881494000.0,1895552400.0,1899806000.0
2023.0,1842749600.0,1868673400.0,1862055000.0,1914753700.0,1879838200.0
2024.0,1877060500.0,1817618800.0,1823998100.0,1843915400.0,1828374500.0
2025.0,1783339600.0,1782965900.0,1798706800.0,1787551900.0,1779843500.0
2026.0,1752143500.0,1722663600.0,1791117300.0,1819769200.0,1744019300.0
2027.0,1705367300.0,1671808100.0,1762531200.0,1733704300.0,1680666200.0
2028.0,1644479200.0,1649166700.0,1722849700.0,1695617800.0,1625964400.0
2029.0,1612735200.0,1622566700.0,1690720500.0,1819522600.0,1603370900.0
2030.0,1546032400.0,1562574200.0,1660195700.0,1717929100.0,1542635500.0
2031.0,1520908500.0,1511414500.0,1647735800.0,1603706100.0,1492989400.0
2032.0,1436120300.0,1452692100.0,1588632000.0,1560074000.0,1453374200.0
2033.0,1346467300.0,1398406700.0,1564878500.0,1507871900.0,1363756400.0
2034.0,1281527300.0,1344906100.0,1530376300.0,1455626500.0,1304326300.0
2035.0,1215784400.0,1309719300.0,1494527000.0,1402569500.0,1238742000.0
2036.0,1149912800.0,1259088000.0,1457576800.0,1382478300.0,1203928700.0
2037.0,1058289400.0,1206527700.0,1434035200.0,1335751700.0,1173040000.0
2038.0,1014823740.0,1166597900.0,1396866400.0,1313151100.0,1114288400.0
2039.0,974664900.0,1114513800.0,1350786300.0,1325761000.0,1076593500.0
2040.0,927871600.0,1075269200.0,1315035800.0,1430365300.0,1022207200.0
2041.0,845595300.0,1018299650.0,1263191200.0,1263695600.0,956963840.0
2042.0,783180700.0,974482300.0,1235567600.0,1216235300.0,933775300.0
2043.0,757505860.0,933290500.0,1217220900.0,1189095800.0,906254500.0
2044.0,712828100.0,896101200.0,1164060400.0,1160856700.0,859062340.0
2045.0,666756200.0,876568000.0,1150410600.0,1141091000.0,810747600.0
2046.0,616723500.0,847264600.0,1120677100.0,1117403000.0,777394500.0
2047.0,568948740.0,824723300.0,1095616800.0,1087050200.0,752914300.0
2048.0,518691620.0,791024700.0,1066922000.0,1049631400.0,717138500.0
2049.0,523888260.0,750892540.0,1030860800.0,1044412860.0,686662700.0
2050.0,463687000.0,733913400.0,1001599200.0,1000803600.0,706392450.0
2051.0,430072480.0,701419100.0,973117700.0,957481800.0,655236600.0
2052.0,391134200.0,695318100.0,952929860.0,931308900.0,638214340.0
2053.0,357216700.0,663252540.0,906863550.0,896156540.0,606072200.0
2054.0,328898340.0,647865800.0,886271000.0,873615000.0,576768800.0
2055.0,301613900.0,755563600.0,855574100.0,850805600.0,545143500.0
2056.0,282293660.0,647324860.0,829331200.0,825879200.0,528382180.0
2057.0,247400660.0,610657400.0,786969200.0,920197250.0,502582940.0
2058.0,224199870.0,584286400.0,764762800.0,803767550.0,480391970.0
2059.0,210012020.0,573652350.0,743302200.0,782645400.0,458259600.0
2060.0,179039120.0,541880000.0,722808100.0,766191200.0,433591100.0
2061.0,170629040.0,523773020.0,713150200.0,796569000.0,433894900.0
2062.0,156480830.0,495067500.0,690903900.0,724445300.0,417104480.0
2063.0,150324540.0,485897860.0,664382300.0,688302200.0,397404860.0
2064.0,137551410.0,477078620.0,645506600.0,655760640.0,374623550.0
2065.0,135779100.0,470870750.0,618850100.0,635959700.0,357225760.0
2066.0,121219040.0,456923550.0,613878400.0,655534300.0,331401380.0
2067.0,111045800.0,445257100.0,576523400.0,594497150.0,312592260.0
2068.0,100499144.0,433284100.0,550503000.0,569436350.0,315135650.0
2069.0,90183350.0,419790720.0,529865600.0,547736100.0,288552770.0
2070.0,81641590.0,409570240.0,497232030.0,535423040.0,269091260.0
2071.0,77926136.0,395590800.0,478469440.0,527262340.0,252646530.0
2072.0,76884830.0,379968000.0,490068900.0,512985280.0,237257390.0
2073.0,68156744.0,369708960.0,450255100.0,511025060.0,221675360.0
2074.0,60611704.0,368422240.0,424254850.0,468114900.0,207233710.0
2075.0,58118284.0,356677250.0,412194430.0,445649380.0,193735970.0
2076.0,56210476.0,345662940.0,395799400.0,424857950.0,183560240.0
2077.0,47658564.0,342923700.0,387113380.0,410631740.0,167303740.0
2078.0,43480536.0,329538600.0,375983780.0,401474940.0,162341900.0
2079.0,40651704.0,319823070.0,363560670.0,441774140.0,153321330.0
2080.0,36688570.0,311888100.0,341094180.0,376675840.0,134160460.0
2081.0,35254868.0,321071970.0,335790050.0,371435000.0,126528440.0
2082.0,33597228.0,305187970.0,322634530.0,366447680.0,118187540.0
2083.0,30548316.0,291538600.0,308519580.0,349143500.0,106629740.0
2084.0,26864664.0,284181380.0,300581570.0,335244060.0,99293760.0
2085.0,25144540.0,276550370.0,292481120.0,352228400.0,92837650.0
2086.0,23272194.0,271109600.0,280049020.0,310697440.0,82524050.0
2087.0,22520892.0,258504530.0,271287520.0,296741980.0,80859340.0
2088.0,20452088.0,240708560.0,268414260.0,284812160.0,78433784.0
2089.0,18989022.0,224221010.0,258684140.0,276617380.0,72609660.0
2090.0,18895696.0,215692240.0,251339360.0,270170080.0,69293830.0
2091.0,15158384.0,205742110.0,238264060.0,263404910.0,67257816.0
2092.0,14850245.0,201119980.0,234240140.0,260989760.0,62635484.0
2093.0,12827357.0,196225000.0,229674940.0,249131570.0,57901244.0
2094.0,12415546.0,250338690.0,218483140.0,235754000.0,52571764.0
2095.0,11662515.0,188970080.0,209148020.0,222652640.0,50568996.0
2096.0,11247115.0,183941490.0,196737400.0,210633820.0,45241756.0
2097.0,10848410.0,168636780.0,187550530.0,200227680.0,42430620.0
2098.0,9263592.0,164938020.0,182125170.0,205949230.0,38311490.0
2099.0,8929671.0,157469890.0,177430720.0,200723000.0,34526012.0
2100.0,8116875.0,151195920.0,173103920.0,189709280.0,32478924.0
