time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0,1176950100.0
2001.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0,1199222300.0
2002.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0,1174664700.0
2003.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0,1196140700.0
2004.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0,1194930400.0
2005.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0,1243539000.0
2006.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0,1187767700.0
2007.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0,1198542800.0
2008.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0,1187206700.0
2009.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0,1178924000.0
2010.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0,1182619800.0
2011.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0,1171282800.0
2012.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0,1163902000.0
2013.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0,1160793500.0
2014.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0,1150429000.0
2015.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0,1146393700.0
2016.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0
2017.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0
2018.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0
2019.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0
2020.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0
2021.0,1104780000.0,1087043100.0,1084703700.0,1077518100.0,1084016600.0
2022.0,1126110200.0,1286554100.0,1069917300.0,1086259100.0,1065837500.0
2023.0,1095198500.0,1119282200.0,1094182300.0,1049539260.0,1053819400.0
2024.0,1094930700.0,1061303300.0,1050300000.0,1028612100.0,1039318300.0
2025.0,1100386600.0,1042897300.0,1043812700.0,1048670500.0,1126742800.0
2026.0,1075848800.0,1036561340.0,1036281600.0,1029291400.0,1097646200.0
2027.0,1065784500.0,1037865100.0,1010964350.0,1005541700.0,1020862140.0
2028.0,1041040960.0,1018372030.0,976428160.0,991552600.0,996400800.0
2029.0,1026064600.0,1015977150.0,955162050.0,1005648300.0,986115460.0
2030.0,1017406500.0,999675260.0,933791740.0,957237800.0,961284160.0
2031.0,1006011650.0,987040100.0,903853200.0,940722000.0,952762240.0
2032.0,993160640.0,1019500500.0,863198340.0,929084200.0,952999800.0
2033.0,1000433540.0,972368830.0,852609540.0,897908600.0,1005425860.0
2034.0,989540000.0,979508900.0,827942300.0,889958000.0,1021994100.0
2035.0,1044306600.0,957648450.0,814438660.0,883845800.0,953387970.0
2036.0,990800500.0,954465540.0,792604800.0,859465800.0,921806460.0
2037.0,1023199940.0,1056155970.0,748956160.0,844675200.0,898479740.0
2038.0,1022388740.0,1056009660.0,746221200.0,893815200.0,892228600.0
2039.0,974528200.0,1010460860.0,764001660.0,862216300.0,881805800.0
2040.0,980394500.0,989970900.0,767819650.0,820499100.0,899482500.0
2041.0,960525200.0,981789060.0,736509300.0,793649340.0,862188160.0
2042.0,955124700.0,964445600.0,700666200.0,788349250.0,843791300.0
2043.0,949095700.0,956185500.0,685920060.0,772386750.0,852474000.0
2044.0,955495900.0,952326200.0,667272500.0,759961900.0,831259400.0
2045.0,1035533600.0,942484740.0,659580600.0,737760960.0,825358900.0
