time,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL,MRI-ESM2-0
2000.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0
2001.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0
2002.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0
2003.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0
2004.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0
2005.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0
2006.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0
2007.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0
2008.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0
2009.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0
2010.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0
2011.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0
2012.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0
2013.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0
2014.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0
2015.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0
2016.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0
2017.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0
2018.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0
2019.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0
2020.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0
2021.0,698213868200.0,700894528400.0,699612411000.0,696487838300.0,696953542900.0
2022.0,698910034200.0,697757964100.0,696672868900.0,694523058400.0,696191554200.0
2023.0,699560648250.0,696318049700.0,695834939800.0,693049539600.0,694083244870.0
2024.0,696182246640.0,695541059200.0,693820364540.0,691573419400.0,692823593850.0
2025.0,694723960800.0,692793451900.0,693699247600.0,688443226200.0,690468861500.0
2026.0,692475320600.0,691681744300.0,692155145080.0,684928579860.0,689033171440.0
2027.0,690111839450.0,689821155980.0,688901420550.0,681489385700.0,686398429500.0
2028.0,688206179000.0,688557192830.0,687127592530.0,679201266100.0,684676165160.0
2029.0,686475167950.0,687425480120.0,685917589410.0,675380732700.0,681566923100.0
2030.0,684989644440.0,684848348800.0,683296701660.0,671549773300.0,679940679300.0
2031.0,683135728900.0,684336311140.0,683622110740.0,667887981900.0,677193685350.0
2032.0,682451388880.0,681193636930.0,680713897140.0,664232051300.0,674349003540.0
2033.0,680108358640.0,678390911820.0,677968396730.0,660166493200.0,672761545640.0
2034.0,677830944750.0,675991488630.0,677236347500.0,655549812100.0,669654564000.0
2035.0,677197636820.0,672678733530.0,672892683450.0,650485204000.0,665366411100.0
2036.0,680051094100.0,669055074620.0,670644738480.0,646438919700.0,663009999300.0
2037.0,675279160760.0,667635438240.0,669281643670.0,640839174700.0,660243016480.0
2038.0,673007693440.0,664254417960.0,667007384860.0,636216555600.0,655428322740.0
2039.0,670789125460.0,661947438450.0,664148146760.0,631845798000.0,653842574140.0
2040.0,669987713350.0,657340794850.0,661585456440.0,627001025500.0,650160861950.0
2041.0,669264555650.0,655283229370.0,660339619060.0,622643049040.0,645987355700.0
2042.0,665347450360.0,652647159890.0,661927727700.0,616959337100.0,643069086900.0
2043.0,664111868500.0,648603851600.0,658075180840.0,611173900060.0,644418478660.0
2044.0,662470173440.0,646213621340.0,655065233140.0,605933770550.0,639527556770.0
2045.0,660958031300.0,642970598000.0,652636346770.0,600429447170.0,634389013400.0
2046.0,660305903800.0,639897233650.0,649418303390.0,594541396840.0,630594322340.0
2047.0,659952630030.0,638127860920.0,647767407900.0,588915923140.0,626344921660.0
2048.0,655167875760.0,633312310660.0,645194470840.0,583635047930.0,623668020790.0
2049.0,653717240740.0,629415796170.0,643797001280.0,578823316610.0,621010397450.0
2050.0,653665216140.0,626491236300.0,642776343060.0,573766377260.0,618029576410.0
2051.0,650135773400.0,622536559240.0,639314890440.0,567967895200.0,614683177100.0
