time,GFDL-CM3,CESM1-CAM5,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,CCSM4
2000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0
2001.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0
2002.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0
2003.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0
2004.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0
2005.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0
2006.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0
2007.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0
2008.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0
2009.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0
2010.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0
2011.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0
2012.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0
2013.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0
2014.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0
2015.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0
2016.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0
2017.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0
2018.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0
2019.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0
2020.0,1933861100.0,1933861100.0,1933861100.0,1933861100.0,1933861100.0,1933861100.0,1933861100.0,1933861100.0
2021.0,1927580400.0,1899944100.0,1911174100.0,1914765700.0,1910151800.0,1896686000.0,1919245800.0,1911853800.0
2022.0,1925200800.0,1942404400.0,1888287500.0,1885729200.0,1948008200.0,1854920100.0,1864877300.0,1976874600.0
2023.0,1880116700.0,1889829500.0,1846122600.0,1856230400.0,1912697900.0,1856943100.0,1832176600.0,1860970800.0
2024.0,1844779800.0,1913930500.0,1807289700.0,1809924000.0,1880935600.0,1805319600.0,1785991800.0,1844929900.0
2025.0,1811831200.0,1859715200.0,1768588500.0,1769178000.0,1842020700.0,1757687200.0,1899107600.0,1798909700.0
2026.0,1772221700.0,1813987500.0,1776041000.0,1741328000.0,1823382000.0,1709073900.0,1792425000.0,1885318700.0
2027.0,1682599600.0,1791925200.0,1819400200.0,1716334100.0,1790263200.0,1681122300.0,1708021900.0,1756979500.0
2028.0,1630399900.0,1850873500.0,1832320500.0,1697183500.0,1745741000.0,1642069900.0,1667803100.0,1741092100.0
2029.0,1579660500.0,1748988700.0,1936731500.0,1665486600.0,1740295300.0,1606747900.0,1673565200.0,1736420000.0
