time,GFDL-ESM2G,GISS-E2-R,CESM1-CAM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,CNRM-CM5,CCSM4,GFDL-CM3,MPI-ESM-LR,IPSL-CM5A-LR
2000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0
2001.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0
2002.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0
2003.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0
2004.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0
2005.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0
2006.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0
2007.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0
2008.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0
2009.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0
2010.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0
2011.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0
2012.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0
2013.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0
2014.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0
2015.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0
2016.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0
2017.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0
2018.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0
2019.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0
2020.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0
2021.0,28154868000.0,28130028000.0,28399260000.0,28081550000.0,28245973000.0,28154028000.0,28172814000.0,28129358000.0,28131117000.0,28157106000.0,28189950000.0
2022.0,28000522000.0,28017895000.0,28213850000.0,28034523000.0,28069812000.0,28166420000.0,27926270000.0,28067508000.0,28047786000.0,28035275000.0,28103606000.0
2023.0,27884417000.0,27894292000.0,28079800000.0,27856447000.0,27871646000.0,28038007000.0,27930140000.0,27914551000.0,28038957000.0,27886285000.0,27929096000.0
2024.0,27994313000.0,27757894000.0,28168997000.0,27715369000.0,27667843000.0,27920275000.0,27758602000.0,27804561000.0,27822033000.0,27760249000.0,27859327000.0
2025.0,27696024000.0,27720096000.0,27957590000.0,27565271000.0,27520960000.0,27788714000.0,27642698000.0,27727140000.0,27694195000.0,27844549000.0,27697908000.0
2026.0,27644619000.0,27587076000.0,27799775000.0,27384443000.0,27377095000.0,27725111000.0,27469597000.0,27573880000.0,27554148000.0,27634803000.0,27616424000.0
2027.0,27442338000.0,27385465000.0,27695931000.0,27262986000.0,27194720000.0,27717675000.0,27273046000.0,27568114000.0,27441836000.0,27592020000.0,27467295000.0
2028.0,27372956000.0,27232920000.0,27614517000.0,27068097000.0,27044327000.0,27553532000.0,27175588000.0,27370529000.0,27320826000.0,27425522000.0,27268745000.0
2029.0,27298860000.0,27023303000.0,27430693000.0,26973524000.0,26810702000.0,27339973000.0,27134149000.0,27249078000.0,27333732000.0,27321285000.0,27150486000.0
2030.0,27168776000.0,27123000000.0,27352033000.0,26896413000.0,26643208000.0,27244161000.0,26899716000.0,27108264000.0,27139572000.0,27221725000.0,26924999000.0
2031.0,27193076000.0,26843603000.0,27105333000.0,26708441000.0,26519513000.0,27110003000.0,26691805000.0,26919784000.0,26932360000.0,27109304000.0,26741582000.0
2032.0,26961435000.0,26693251000.0,26950857000.0,26666615000.0,26263484000.0,27016229000.0,26425356000.0,26803309000.0,26903753000.0,26947822000.0,26609801000.0
2033.0,26837496000.0,26591052000.0,26880590000.0,26399687000.0,26088630000.0,26996204000.0,26312532000.0,26590794000.0,26706600000.0,26790500000.0,26417664000.0
2034.0,26669849000.0,26403723000.0,26756987000.0,26215262000.0,25905030000.0,26813682000.0,26056876000.0,26385408000.0,26622650000.0,26628868000.0,26324095000.0
2035.0,26645367000.0,26237596000.0,26639075000.0,25983027000.0,25609935000.0,26650128000.0,25946560000.0,26197975000.0,26413530000.0,26463880000.0,26733388000.0
2036.0,26498023000.0,25987906000.0,26445701000.0,25791146000.0,25404350000.0,26704132000.0,25546189000.0,25969693000.0,26253169000.0,26319032000.0,26149476000.0
2037.0,26330405000.0,25848564000.0,26271429000.0,25497246000.0,25160670000.0,26427498000.0,25293867000.0,25817025000.0,26244618000.0,26231700000.0,25841949000.0
2038.0,26345660000.0,25719435000.0,26082450000.0,25313583000.0,25007544000.0,26313443000.0,25141547000.0,25591849000.0,26033766000.0,26007830000.0,25679282000.0
2039.0,26212960000.0,25539801000.0,25865798000.0,25127352000.0,24586844000.0,26072922000.0,25062773000.0,25425787000.0,25893120000.0,25787552000.0,25448667000.0
2040.0,26148235000.0,25360083000.0,25736520000.0,24944190000.0,24262627000.0,26062936000.0,24811810000.0,25192767000.0,25737142000.0,25584740000.0,25308822000.0
2041.0,26412364000.0,25213336000.0,25731193000.0,24715418000.0,24045853000.0,25772028000.0,24608692000.0,24982389000.0,25581732000.0,25476844000.0,25147270000.0
2042.0,26006405000.0,25110723000.0,25465979000.0,24557218000.0,23890543000.0,25642592000.0,24484506000.0,24743373000.0,25506032000.0,25413556000.0,25074792000.0
2043.0,25937414000.0,25141402000.0,25289249000.0,24368712000.0,23736830000.0,25561663000.0,24264452000.0,24489118000.0,25294776000.0,25231081000.0,24856556000.0
2044.0,25916852000.0,24840124000.0,25170481000.0,24097595000.0,23455408000.0,25397058000.0,24148306000.0,24377540000.0,25100302000.0,25060110000.0,24688933000.0
2045.0,25848270000.0,24689205000.0,24980003000.0,23940223000.0,23314481000.0,25353312000.0,23778345000.0,24101734000.0,24939890000.0,24887595000.0,24503828000.0
2046.0,25791947000.0,24446906000.0,24764617000.0,23766716000.0,23041018000.0,25023300000.0,23608023000.0,23980943000.0,24764467000.0,24787964000.0,24291224000.0
2047.0,25640708000.0,24280498000.0,24708880000.0,23595037000.0,22877338000.0,25050053000.0,23473433000.0,23666743000.0,24544938000.0,24676180000.0,24143366000.0
2048.0,25972548000.0,24167287000.0,24347010000.0,23397632000.0,22559406000.0,24876136000.0,23267529000.0,23751746000.0,24362338000.0,24480300000.0,24003609000.0
2049.0,25494977000.0,23962720000.0,24156588000.0,23314438000.0,22363634000.0,24775852000.0,23132432000.0,23556400000.0,24243450000.0,24437030000.0,23816864000.0
2050.0,25373657000.0,23868220000.0,24287914000.0,23051708000.0,22147174000.0,24521714000.0,22849546000.0,23282788000.0,24244679000.0,24206836000.0,23668382000.0
2051.0,25275914000.0,23658010000.0,23919546000.0,22883154000.0,21957753000.0,24339362000.0,22677965000.0,23119466000.0,23893135000.0,24078940000.0,23475765000.0
2052.0,25162615000.0,23494097000.0,23685104000.0,22807202000.0,21797102000.0,24219351000.0,22509294000.0,23042054000.0,23736670000.0,23942443000.0,23320865000.0
2053.0,25312582000.0,23384046000.0,23513373000.0,22580929000.0,21568336000.0,24007440000.0,22443565000.0,22789100000.0,23566815000.0,23800586000.0,23164285000.0
2054.0,25078102000.0,23190053000.0,23371571000.0,22467557000.0,21525836000.0,23904023000.0,22228603000.0,22548079000.0,23348855000.0,23656466000.0,23044887000.0
2055.0,24969642000.0,23030739000.0,23313994000.0,22270206000.0,21212903000.0,23801856000.0,22111089000.0,22430013000.0,23074470000.0,23581762000.0,22936695000.0
2056.0,25166805000.0,23062684000.0,23127005000.0,22029259000.0,21001097000.0,23621230000.0,22015152000.0,22468594000.0,22910116000.0,23471856000.0,22772705000.0
