time,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,CANESM2,NORESM1-M,MPI-ESM-LR,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,CESM1-CAM5
2000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0
2001.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0
2002.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0
2003.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0
2004.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0
2005.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0
2006.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0
2007.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0
2008.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0
2009.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0
2010.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0
2011.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0
2012.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0
2013.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0
2014.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0
2015.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0
2016.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0
2017.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0
2018.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0
2019.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0
2020.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0
2021.0,134707020000.0,134710624000.0,134534726000.0,134667230000.0,134450400000.0,134474480000.0,134556560000.0,135159270000.0,134391660000.0,135061190000.0,134955210000.0
2022.0,134654670000.0,134316890000.0,134444940000.0,134682860000.0,134343970000.0,134360960000.0,134890490000.0,134848260000.0,134571475000.0,134924600000.0,135092080000.0
2023.0,134413180000.0,134301704000.0,134110810000.0,134379090000.0,134255610000.0,134424400000.0,135257465000.0,134450470000.0,134534190000.0,134864210000.0,134499295000.0
2024.0,134471260000.0,134502470000.0,134044130000.0,134200410000.0,134488100000.0,134018150000.0,136489180000.0,134610460000.0,134642080000.0,135518650000.0,134699024000.0
2025.0,133990250000.0,134004600000.0,133693950000.0,133843250000.0,134207680000.0,134223610000.0,136552360000.0,135014000000.0,134261290000.0,135210730000.0,134527950000.0
2026.0,134149865000.0,133768460000.0,133594915000.0,133882740000.0,134435400000.0,134238300000.0,137185110000.0,135095755000.0,134063460000.0,135041530000.0,134207150000.0
2027.0,134015770000.0,133776900000.0,133557780000.0,133735450000.0,134183640000.0,133665190000.0,135681240000.0,134646730000.0,133930790000.0,134911130000.0,133909980000.0
2028.0,133726080000.0,133928350000.0,133518520000.0,134097390000.0,134015950000.0,133527200000.0,136948130000.0,134514530000.0,134079955000.0,134373900000.0,133969030000.0
2029.0,133776780000.0,133439700000.0,133308820000.0,133890010000.0,134743270000.0,133644760000.0,138154050000.0,135298780000.0,133927560000.0,134888670000.0,133526800000.0
2030.0,133686485000.0,133478150000.0,133655230000.0,134068500000.0,133813770000.0,133204074000.0,137503920000.0,134672770000.0,133645320000.0,134479410000.0,133571480000.0
2031.0,133187230000.0,133447705000.0,133423690000.0,133437040000.0,133588490000.0,133344076000.0,139176890000.0,134167510000.0,133611995000.0,135255210000.0,133441585000.0
2032.0,133121820000.0,133598580000.0,133113940000.0,133220210000.0,133327720000.0,133180660000.0,136803350000.0,134473740000.0,133563340000.0,134224790000.0,133074395000.0
2033.0,132960330000.0,133114370000.0,133045420000.0,133066340000.0,133282350000.0,132888986000.0,135902000000.0,134233465000.0,133450060000.0,133686760000.0,132860440000.0
2034.0,133217510000.0,133069095000.0,133122466000.0,133493660000.0,132976870000.0,132934730000.0,135242170000.0,134702460000.0,133368920000.0,133487280000.0,132805670000.0
2035.0,132678530000.0,132842550000.0,132849615000.0,133363380000.0,132884080000.0,132700090000.0,134759230000.0,134320190000.0,133053194000.0,133487040000.0,132680204000.0
2036.0,132520360000.0,132637130000.0,132665080000.0,132896650000.0,132755595000.0,133207530000.0,134651535000.0,135235770000.0,133152870000.0,133128405000.0,132542230000.0
2037.0,132452210000.0,132607580000.0,132467320000.0,132748100000.0,133086120000.0,132532690000.0,134456450000.0,134502466000.0,133096580000.0,132972980000.0,132827324000.0
2038.0,132244365000.0,132574560000.0,132477395000.0,132686650000.0,132660320000.0,132573560000.0,134284680000.0,133881730000.0,133343780000.0,132998580000.0,132281670000.0
2039.0,132027660000.0,132700910000.0,133093490000.0,132326520000.0,132671620000.0,132425490000.0,134133465000.0,133792340000.0,132957090000.0,133163385000.0,132157145000.0
