time,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,CESM2-WACCM
2000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0
2001.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0
2002.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0
2003.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0
2004.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0
2005.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0
2006.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0
2007.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0
2008.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0
2009.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0
2010.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0
2011.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0
2012.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0
2013.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0
2014.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0
2015.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0
2016.0,10728979000.0,10728979000.0,10728979000.0,10728979000.0
2017.0,10707930000.0,10707930000.0,10707930000.0,10707930000.0
2018.0,10700131000.0,10700131000.0,10700131000.0,10700131000.0
2019.0,10710534000.0,10710534000.0,10710534000.0,10710534000.0
2020.0,10692423000.0,10692423000.0,10692423000.0,10692423000.0
2021.0,10682375000.0,10682233000.0,10675668000.0,10683497000.0
2022.0,10679057000.0,10671587000.0,10664057000.0,10670370000.0
2023.0,10666397000.0,10660329000.0,10646411000.0,10662374000.0
2024.0,10663822000.0,10646096000.0,10629580000.0,10656266000.0
2025.0,10657853000.0,10633348000.0,10613545000.0,10651008000.0
2026.0,10648839000.0,10620998000.0,10591939000.0,10640051000.0
2027.0,10640907000.0,10598694000.0,10569434000.0,10635492000.0
2028.0,10622379000.0,10589125000.0,10529129000.0,10617697000.0
2029.0,10608819000.0,10551562000.0,10498584000.0,10600090000.0
2030.0,10593402000.0,10528331000.0,10461916000.0,10590766000.0
2031.0,10568982000.0,10494285000.0,10423670000.0,10558794000.0
2032.0,10551422000.0,10462920000.0,10385657000.0,10540928000.0
2033.0,10533182000.0,10430820000.0,10340845000.0,10523716000.0
2034.0,10508484000.0,10379374000.0,10286915000.0,10504454000.0
2035.0,10482567000.0,10338490000.0,10243097000.0,10477857000.0
2036.0,10465359000.0,10284521000.0,10164734000.0,10461416000.0
2037.0,10446051000.0,10235598000.0,10104772000.0,10438616000.0
2038.0,10405623000.0,10182670000.0,10041992000.0,10410271000.0
2039.0,10360381000.0,10143095000.0,9966336000.0,10372475000.0
2040.0,10324896000.0,10091777000.0,9848562000.0,10339498000.0
2041.0,10275880000.0,10032680000.0,9752835000.0,10324099000.0
2042.0,10239810000.0,9970654000.0,9659777000.0,10293933000.0
2043.0,10193478000.0,9874642000.0,9562626000.0,10270207000.0
2044.0,10154523000.0,9805856000.0,9458462000.0,10246934000.0
2045.0,10115335000.0,9694038000.0,9251000000.0,10216946000.0
2046.0,10052565000.0,9615588000.0,9109307000.0,10206411000.0
2047.0,10014814000.0,9510214000.0,8983925000.0,10166784000.0
2048.0,9944967000.0,9400133000.0,8869624000.0,10137081000.0
2049.0,9864865000.0,9294103000.0,8717317000.0,10098344000.0
2050.0,9812540000.0,9183077000.0,8566074400.0,10064574000.0
2051.0,9740405000.0,9124385000.0,8445859000.0,10025663000.0
2052.0,9660513000.0,8986815000.0,8300910600.0,9971841000.0
2053.0,9573417000.0,8910632000.0,8206481400.0,9924950000.0
2054.0,9507377000.0,8834099000.0,8043010000.0,9869409000.0
2055.0,9434835000.0,8768989000.0,7893253600.0,9819052000.0
2056.0,9349616000.0,8697224000.0,7754726400.0,9767982000.0
2057.0,9267870000.0,8646735000.0,7597428700.0,9717956000.0
2058.0,9147807000.0,8583707000.0,7483305000.0,9664394000.0
2059.0,9060616000.0,8530802700.0,7338238000.0,9612705000.0
2060.0,8998517000.0,8478199300.0,7127515000.0,9559451000.0
2061.0,8903097000.0,8390246000.0,6914738000.0,9525354000.0
2062.0,8831367000.0,8344856000.0,6770182000.0,9434971000.0
2063.0,8736844000.0,8232026600.0,6601851400.0,9396129000.0
2064.0,8646248000.0,8186784000.0,6413611000.0,9332705000.0
2065.0,8591423000.0,8138011000.0,6251632000.0,9299464000.0
2066.0,8515663000.0,8068604400.0,6152960000.0,9242388000.0
2067.0,8448796000.0,8011893000.0,5985938400.0,9207766000.0
2068.0,8414659000.0,7955949600.0,5852885500.0,9150391000.0
2069.0,8379304000.0,8072030700.0,5716977700.0,9122173000.0
2070.0,8287249400.0,7959264000.0,5605232600.0,9105992000.0
2071.0,8205444000.0,7876738600.0,5470004700.0,9101076000.0
2072.0,8155781600.0,7812593700.0,5337795000.0,9120966000.0
2073.0,8080241000.0,7743997000.0,5215386600.0,9117748000.0
2074.0,7998853000.0,7681677300.0,5112041000.0,9037884000.0
2075.0,7940396500.0,7610211300.0,4972490000.0,8996089000.0
2076.0,7888095700.0,7575979500.0,4849083400.0,8989946000.0
2077.0,7805378600.0,7495500300.0,4684528000.0,8978548000.0
2078.0,7751356400.0,7504787000.0,4604726300.0,8934014000.0
2079.0,7695744500.0,7477240300.0,4485295600.0,8919440000.0
2080.0,7652615000.0,7439685000.0,4382381000.0,8893387000.0
2081.0,7625538600.0,7392479000.0,4285394400.0,8932623000.0
2082.0,7564130000.0,7385190400.0,4204484000.0,8967320000.0
2083.0,7485909500.0,7369754000.0,4123694300.0,8917992000.0
2084.0,7424883000.0,7350744600.0,4017439500.0,8932902000.0
2085.0,7386397000.0,7361021400.0,3927144400.0,8960471000.0
2086.0,7362060000.0,7390963000.0,3841565200.0,8896918000.0
2087.0,7329676300.0,7370612700.0,3750011000.0,8951897000.0
2088.0,7292695000.0,7349567500.0,3671703600.0,8907511000.0
2089.0,7196876000.0,7457765400.0,3544070100.0,8858967000.0
2090.0,7138436000.0,7311933000.0,3450192600.0,8826680000.0
2091.0,7096904700.0,7275966500.0,3290901200.0,8865018000.0
2092.0,7062007300.0,7318164000.0,3189092400.0,8868713000.0
2093.0,7009409000.0,7276973600.0,3070828500.0,8814718000.0
2094.0,6967664600.0,7426719000.0,2978084000.0,8779709000.0
2095.0,6932039000.0,7478988000.0,2907806200.0,8757772000.0
2096.0,6856411600.0,7301880000.0,2827354000.0,8783489000.0
2097.0,6810829300.0,7269104000.0,2696591000.0,8768407000.0
2098.0,6794204700.0,7241560000.0,2585706200.0,8706997000.0
2099.0,6760392000.0,7399083000.0,2516649000.0,8741616000.0
2100.0,6721712600.0,7324597000.0,2464069000.0,8716697000.0
