time,CESM2,GFDL-ESM4,ACCESS-ESM1-5,CESM2-WACCM,INM-CM5-0,NORESM2-MM,TAIESM1,IPSL-CM6A-LR,ACCESS-CM2,CMCC-CM2-SR5,CAMS-CSM1-0,INM-CM4-8,EC-EARTH3-VEG,EC-EARTH3,BCC-CSM2-MR,FGOALS-F3-L,MPI-ESM1-2-HR,MRI-ESM2-0,CANESM5
2000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0
2001.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0
2002.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0
2003.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0
2004.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0
2005.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0
2006.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0
2007.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0
2008.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0
2009.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0
2010.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0
2011.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0
2012.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0
2013.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0
2014.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0
2015.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0
