time,MRI-ESM2-0
2000.0,34062903000.0
2001.0,34106978000.0
2002.0,34081933000.0
2003.0,34061228000.0
2004.0,34055758000.0
2005.0,34037901000.0
2006.0,34030977000.0
2007.0,34029105000.0
2008.0,34017140000.0
2009.0,34017489000.0
2010.0,34009678000.0
2011.0,34019293000.0
2012.0,33998238000.0
2013.0,34029763000.0
2014.0,33975560000.0
2015.0,33984608000.0
2016.0,33981493000.0
2017.0,33976437000.0
2018.0,33956250000.0
2019.0,33993372000.0
2020.0,33941078000.0
2021.0,33922933000.0
2022.0,33915062000.0
2023.0,33918100000.0
2024.0,33898980000.0
2025.0,33889155000.0
2026.0,33867477000.0
2027.0,33841885000.0
2028.0,33848513000.0
2029.0,33811261000.0
2030.0,33779436000.0
2031.0,33742980000.0
2032.0,33722218000.0
2033.0,33664741000.0
2034.0,33641830000.0
2035.0,33597575000.0
2036.0,33543070000.0
2037.0,33514498000.0
2038.0,33449849000.0
2039.0,33382758000.0
2040.0,33332273000.0
2041.0,33260163000.0
2042.0,33197353000.0
2043.0,33109776000.0
2044.0,33028170000.0
2045.0,32850012000.0
2046.0,32718555000.0
2047.0,32592075000.0
2048.0,32400110000.0
2049.0,32189125000.0
2050.0,32047237000.0
2051.0,31896607000.0
2052.0,31677180000.0
2053.0,31493335000.0
2054.0,31311809000.0
2055.0,31127448000.0
2056.0,31008778000.0
2057.0,30583017000.0
2058.0,30276710000.0
2059.0,29938815000.0
2060.0,29583241000.0
2061.0,29253499000.0
2062.0,28997376000.0
2063.0,28646087000.0
2064.0,28314120000.0
2065.0,27986713000.0
2066.0,27667638000.0
2067.0,27303500000.0
2068.0,26927833000.0
2069.0,26523710000.0
2070.0,26124410000.0
2071.0,25789807000.0
2072.0,25434757000.0
2073.0,25139634000.0
2074.0,24836882000.0
2075.0,24578748000.0
2076.0,24331114000.0
2077.0,23948706000.0
2078.0,23590175000.0
2079.0,23133403000.0
2080.0,22812723000.0
2081.0,22427722000.0
2082.0,22104700000.0
2083.0,21791779000.0
2084.0,21489062000.0
2085.0,21216893000.0
2086.0,20964710000.0
2087.0,20549500000.0
2088.0,20173318000.0
2089.0,19865029000.0
2090.0,19494881000.0
2091.0,19131806000.0
2092.0,18823197000.0
2093.0,18501770000.0
2094.0,18188098000.0
2095.0,17889649000.0
2096.0,17616605000.0
2097.0,17300170000.0
2098.0,16956179000.0
2099.0,16653349000.0
2100.0,16399967000.0
