time,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,CESM2-WACCM
2000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0
2001.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0
2002.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0
2003.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0
2004.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0
2005.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0
2006.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0
2007.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0
2008.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0
2009.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0
2010.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0
2011.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0
2012.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0
2013.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0
2014.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0
2015.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0
2016.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0
2017.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0
2018.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0
2019.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0
2020.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0
2021.0,33926570000.0,33926912000.0,33915260000.0,33947412000.0
2022.0,33917680000.0,33925648000.0,33892846000.0,33929670000.0
2023.0,33897882000.0,33932034000.0,33847663000.0,33925360000.0
2024.0,33865510000.0,33916766000.0,33806592000.0,33908482000.0
2025.0,33843757000.0,33915599000.0,33736899000.0,33899385000.0
2026.0,33813457000.0,33919982000.0,33665410000.0,33903636000.0
2027.0,33791003000.0,33887322000.0,33558129000.0,33888630000.0
2028.0,33739661000.0,33872527000.0,33415130000.0,33900384000.0
2029.0,33705865000.0,33859960000.0,33300450000.0,33868753000.0
2030.0,33656637000.0,33818747000.0,33143337000.0,33851530000.0
2031.0,33614352000.0,33793909000.0,32982868000.0,33817588000.0
2032.0,33574572000.0,33775553000.0,32820924000.0,33803480000.0
2033.0,33528873000.0,33756037000.0,32582988000.0,33785813000.0
2034.0,33466870000.0,33745936000.0,32368114000.0,33765698000.0
2035.0,33353507000.0,33720353000.0,32039020000.0,33757315000.0
2036.0,33275270000.0,33689104000.0,31781106000.0,33735033000.0
2037.0,33194981000.0,33653432000.0,31515435000.0,33709595000.0
2038.0,33102920000.0,33640387000.0,31099585000.0,33676675000.0
2039.0,32918104000.0,33572973000.0,30678110000.0,33643600000.0
2040.0,32749754000.0,33533184000.0,30269065000.0,33622745000.0
2041.0,32509920000.0,33490356000.0,29784926000.0,33593123000.0
2042.0,32315503000.0,33436768000.0,29393478000.0,33569237000.0
2043.0,32091430000.0,33396548000.0,28885991000.0,33596484000.0
2044.0,31851690000.0,33312514000.0,28396675000.0,33526348000.0
2045.0,31600593000.0,33263624000.0,27858553000.0,33449280000.0
