time,EC-EARTH3-VEG,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4
2000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0
2001.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0
2002.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0
2003.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0
2004.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0
2005.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0
2006.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0
2007.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0
2008.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0
2009.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0
2010.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0
2011.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0
2012.0,2047172500.0,2047172500.0,2047172500.0,2047172500.0
2013.0,2037956000.0,2037956000.0,2037956000.0,2037956000.0
2014.0,2041383000.0,2041383000.0,2041383000.0,2041383000.0
2015.0,2057318300.0,2057318300.0,2057318300.0,2057318300.0
2016.0,2007733500.0,2007733500.0,2007733500.0,2007733500.0
2017.0,1996571900.0,1996571900.0,1996571900.0,1996571900.0
2018.0,1976256300.0,1976256300.0,1976256300.0,1976256300.0
2019.0,1949224600.0,1949224600.0,1949224600.0,1949224600.0
2020.0,1933861100.0,1933861100.0,1933861100.0,1933861100.0
2021.0,1905672400.0,1930100600.0,1906641300.0,1917262800.0
2022.0,1850123400.0,2108262400.0,1853381600.0,1956728000.0
2023.0,1803567000.0,1939472000.0,1816698600.0,1923167200.0
2024.0,1801015900.0,1879134700.0,1766780000.0,1871787500.0
2025.0,1730071400.0,1946432400.0,1719876500.0,1854265300.0
2026.0,1703384600.0,1843904900.0,1646434300.0,1835860500.0
2027.0,1661285600.0,1825377300.0,1597704600.0,1797014100.0
2028.0,1601870800.0,1799684400.0,1529890700.0,1774648700.0
2029.0,1563652600.0,1841779600.0,1465228400.0,1740935600.0
2030.0,1503108200.0,1776733400.0,1416357500.0,1702193300.0
2031.0,1505547500.0,1752491300.0,1378178400.0,1671822600.0
2032.0,1446662500.0,1740666900.0,1332718600.0,1622049000.0
2033.0,1397907700.0,1702691200.0,1280108400.0,1575609900.0
2034.0,1367218700.0,1669170700.0,1201348600.0,1544192900.0
2035.0,1318638600.0,1774532700.0,1168683400.0,1527160800.0
2036.0,1279345700.0,1784182400.0,1097096700.0,1501890300.0
2037.0,1235552800.0,1661454800.0,1035610940.0,1475008400.0
2038.0,1262523100.0,1686087400.0,1011578300.0,1456711400.0
2039.0,1212062500.0,1631988200.0,965706940.0,1424080500.0
2040.0,1203968300.0,1604995600.0,920389250.0,1388688800.0
2041.0,1157490000.0,1576879100.0,884297860.0,1355594500.0
2042.0,1261662200.0,1656056300.0,846237000.0,1355466900.0
2043.0,1123900300.0,1575011800.0,826470400.0,1313102600.0
2044.0,1097275400.0,1549388300.0,805571840.0,1289289200.0
2045.0,1098020000.0,1526625700.0,855256700.0,1237655600.0
2046.0,1051156160.0,1523168400.0,755339140.0,1227446900.0
2047.0,1022715400.0,1502041700.0,860165060.0,1193372200.0
2048.0,996889540.0,1484385200.0,752557300.0,1195845900.0
2049.0,981578400.0,1492024700.0,696216060.0,1163906000.0
2050.0,994445440.0,1461224300.0,676480000.0,1159854200.0
2051.0,964815800.0,1449216000.0,659357300.0,1124507100.0
2052.0,940507300.0,1456910800.0,715068540.0,1108239100.0
2053.0,932928640.0,1446699500.0,632743900.0,1075921500.0
2054.0,921529500.0,1431968300.0,1164351200.0,1058918600.0
2055.0,900553660.0,1651361200.0,730829400.0,1250897400.0
2056.0,874717630.0,1483474200.0,622171970.0,1084499100.0
2057.0,861168500.0,1414268800.0,587066300.0,1058268600.0
2058.0,930318460.0,1401034600.0,573347800.0,1134372500.0
2059.0,852224450.0,1462063700.0,553348700.0,1074455900.0
2060.0,829530430.0,1397373800.0,598060350.0,1010487200.0
2061.0,802575500.0,1386839700.0,537033400.0,996840640.0
2062.0,791580200.0,1384538000.0,523498100.0,970639800.0
2063.0,780662800.0,1375768000.0,586295040.0,962004350.0
2064.0,766744260.0,1355441300.0,511329180.0,1078077300.0
2065.0,771841540.0,1343397400.0,504225380.0,953693000.0
2066.0,853913400.0,1437764900.0,490007580.0,937724800.0
2067.0,738589630.0,1341541500.0,479277630.0,971945300.0
2068.0,779342400.0,1333347500.0,474386270.0,928499650.0
2069.0,743434900.0,1319006300.0,464247100.0,950054400.0
2070.0,722119200.0,1313038200.0,458208500.0,1004867500.0
2071.0,709854140.0,1589350100.0,489212220.0,904490050.0
2072.0,695863550.0,1451161600.0,464330240.0,955965950.0
2073.0,727629630.0,1339454200.0,878621800.0,896555200.0
2074.0,682654800.0,1737133300.0,505349120.0,881473540.0
2075.0,761920100.0,1469599000.0,450367840.0,880009540.0
2076.0,718652740.0,1374268800.0,445066140.0,875362400.0
2077.0,679178560.0,1328108200.0,449041380.0,862148800.0
2078.0,678982460.0,1405501000.0,593083600.0,1232850800.0
2079.0,658450750.0,1337256100.0,469239840.0,900420000.0
2080.0,674968300.0,1334258300.0,578706600.0,895487040.0
2081.0,633254340.0,1304193900.0,452509440.0,912640100.0
2082.0,617940200.0,1301875700.0,560559600.0,854739300.0
2083.0,661462700.0,1292917900.0,531381980.0,847168500.0
2084.0,783554600.0,1347764400.0,528914050.0,843681540.0
2085.0,943920500.0,1802483500.0,469207360.0,845338200.0
2086.0,648300100.0,1302044500.0,619926500.0,840682940.0
