time,CANESM5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM
2000.0,49990950000.0,49990950000.0,49990950000.0,49990950000.0
2001.0,49940525000.0,49940525000.0,49940525000.0,49940525000.0
2002.0,49712198000.0,49712198000.0,49712198000.0,49712198000.0
2003.0,49917313000.0,49917313000.0,49917313000.0,49917313000.0
2004.0,50970206000.0,50970206000.0,50970206000.0,50970206000.0
2005.0,50624913000.0,50624913000.0,50624913000.0,50624913000.0
2006.0,50596426000.0,50596426000.0,50596426000.0,50596426000.0
2007.0,49998020000.0,49998020000.0,49998020000.0,49998020000.0
2008.0,49719054000.0,49719054000.0,49719054000.0,49719054000.0
2009.0,49656672000.0,49656672000.0,49656672000.0,49656672000.0
2010.0,49692795000.0,49692795000.0,49692795000.0,49692795000.0
2011.0,50927860000.0,50927860000.0,50927860000.0,50927860000.0
2012.0,49707140000.0,49707140000.0,49707140000.0,49707140000.0
2013.0,49405780000.0,49405780000.0,49405780000.0,49405780000.0
2014.0,49360364000.0,49360364000.0,49360364000.0,49360364000.0
2015.0,49305432000.0,49305432000.0,49305432000.0,49305432000.0
2016.0,49249296000.0,49249296000.0,49249296000.0,49249296000.0
2017.0,49184297000.0,49184297000.0,49184297000.0,49184297000.0
2018.0,49240580000.0,49240580000.0,49240580000.0,49240580000.0
2019.0,49375457000.0,49375457000.0,49375457000.0,49375457000.0
2020.0,49128990000.0,49128990000.0,49128990000.0,49128990000.0
2021.0,48842695000.0,48724804000.0,49079378000.0,48842300000.0
2022.0,48624914000.0,48565043000.0,48727785000.0,48511410000.0
2023.0,48052860000.0,48139547000.0,48989630000.0,48159430000.0
2024.0,47720518000.0,47879475000.0,48353770000.0,47951806000.0
2025.0,47391930000.0,47611232000.0,48204554000.0,47727895000.0
2026.0,46793500000.0,47413035000.0,48016024000.0,47430290000.0
2027.0,46371070000.0,47040627000.0,47755964000.0,47229882000.0
2028.0,46034207000.0,46735950000.0,47862387000.0,46895470000.0
2029.0,45318860000.0,46341587000.0,47478747000.0,46667980000.0
2030.0,44827218000.0,46007345000.0,47233343000.0,46323614000.0
2031.0,44065220000.0,45778694000.0,47213060000.0,46119326000.0
2032.0,43434234000.0,45336576000.0,46748115000.0,45816795000.0
2033.0,42677985000.0,44911043000.0,46353764000.0,45393342000.0
2034.0,41956730000.0,44430017000.0,45957722000.0,45160330000.0
2035.0,41076273000.0,43941960000.0,45645690000.0,44809515000.0
2036.0,40466117000.0,43402854000.0,45276525000.0,44402230000.0
2037.0,39474840000.0,42883527000.0,44885310000.0,44010450000.0
2038.0,38604153000.0,42280755000.0,44466370000.0,43522073000.0
2039.0,37614514000.0,41512070000.0,43749773000.0,42989425000.0
2040.0,36887170000.0,40970097000.0,43153592000.0,42411745000.0
2041.0,35847460000.0,40319940000.0,42343825000.0,41861650000.0
2042.0,34978755000.0,39693943000.0,41891280000.0,41215010000.0
2043.0,33871411000.0,38880700000.0,41269297000.0,40598614000.0
2044.0,32838361000.0,38020830000.0,40688927000.0,40061150000.0
2045.0,31792314000.0,37334024000.0,39959347000.0,39316100000.0
2046.0,30744345000.0,36562854000.0,39062577000.0,38475567000.0
2047.0,29796403000.0,35927273000.0,38262090000.0,38176805000.0
2048.0,28960020000.0,35116580000.0,37428670000.0,37378120000.0
2049.0,27880204000.0,34396635000.0,36722850000.0,36784824000.0
2050.0,26922457000.0,33587724000.0,35896490000.0,36136514000.0
2051.0,26160839000.0,32869104000.0,34914870000.0,35446936000.0
2052.0,25172232000.0,32124914000.0,34348956000.0,34860093000.0
2053.0,24313362000.0,31390018000.0,33419780000.0,34224218000.0
2054.0,23431553000.0,30747920000.0,32583332000.0,33565410000.0
2055.0,22719742000.0,30067214000.0,31807100000.0,33125220000.0
2056.0,21854945000.0,29362240000.0,31183722000.0,32506833000.0
2057.0,21117272000.0,28777330000.0,30393276000.0,31803927000.0
2058.0,20493115000.0,28204044000.0,29683032000.0,31337818000.0
2059.0,19743787000.0,27661713000.0,28937136000.0,30654183000.0
2060.0,19150813000.0,27049814000.0,27982320000.0,30020706000.0
2061.0,18762293000.0,26501345000.0,27374635000.0,29525766000.0
2062.0,18131735000.0,26041620000.0,26633767000.0,29025882000.0
2063.0,17603645000.0,25791631000.0,26068360000.0,28642204000.0
2064.0,17097317000.0,25290385000.0,25510564000.0,28121893000.0
2065.0,16632373000.0,24881490000.0,24899455000.0,27628413000.0
2066.0,16223302000.0,24508426000.0,24437090000.0,27006587000.0
2067.0,15757781000.0,24277879000.0,23995410000.0,26493063000.0
2068.0,15321054000.0,23872848000.0,23578810000.0,26071680000.0
2069.0,14830983000.0,23471553000.0,23223626000.0,25932660000.0
2070.0,14430403000.0,23367733000.0,22868130000.0,25277913000.0
2071.0,14718189000.0,22863745000.0,22287110000.0,25243430000.0
2072.0,13862115000.0,22598111000.0,21892848000.0,24605915000.0
2073.0,13384155000.0,22251070000.0,21569217000.0,24562864000.0
2074.0,13002812000.0,22138941000.0,21205866000.0,23998046000.0
2075.0,12643635000.0,21841967000.0,20891226000.0,24953391000.0
2076.0,12316013000.0,21506759000.0,20710824000.0,23511017000.0
2077.0,12044165000.0,21948643000.0,20338370000.0,23371334000.0
2078.0,11884089000.0,22264484000.0,19944034000.0,23029150000.0
2079.0,11523265000.0,21606509000.0,19690387000.0,22728143000.0
2080.0,11230320000.0,21785960000.0,19429757000.0,23159312000.0
2081.0,11026917000.0,21057450000.0,19116734000.0,24270600000.0
2082.0,10951165000.0,20745005000.0,18813428000.0,24502730000.0
2083.0,10992693000.0,20590844000.0,18681140000.0,23865000000.0
2084.0,11419467000.0,20358810000.0,18318805000.0,23291075000.0
2085.0,10582758000.0,20341443000.0,18050437000.0,22841370000.0
2086.0,10532023000.0,20001560000.0,17844904000.0,22369970000.0
2087.0,10356869000.0,19916145000.0,17615233000.0,22258706000.0
2088.0,10797617000.0,21584380000.0,17412538000.0,22075357000.0
2089.0,10660208000.0,20947026000.0,17244932000.0,22088487000.0
2090.0,10189023000.0,20376270000.0,17134441000.0,22034338000.0
2091.0,10418335000.0,20093678000.0,17097322000.0,21620034000.0
2092.0,10022644000.0,20237998000.0,16950773000.0,21505055000.0
2093.0,9923918000.0,19908717000.0,16620332000.0,21775503000.0
2094.0,10107191000.0,20211597000.0,16872445000.0,21611383000.0
2095.0,9812207000.0,20957133000.0,16358326000.0,21536444000.0
2096.0,9945588000.0,20438948000.0,16608339000.0,21189011000.0
2097.0,9648909000.0,19457546000.0,16036464000.0,20882835000.0
2098.0,9754291000.0,19503532000.0,16352399000.0,20690485000.0
2099.0,9816239000.0,19785822000.0,16258135000.0,20641354000.0
2100.0,9738748000.0,21632315000.0,16235245000.0,21010344000.0
