time,GFDL-ESM4,EC-EARTH3-VEG,CAMS-CSM1-0,MRI-ESM2-0
2000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0
2001.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0
2002.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0
2003.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0
2004.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0
2005.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0
2006.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0
2007.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0
2008.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0
2009.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0
2010.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0
2011.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0
2012.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0
2013.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0
2014.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0
2015.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0
2016.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0
2017.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0
2018.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0
2019.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0
2020.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0
2021.0,13820074000.0,13778081000.0,13840786000.0,13802993000.0
2022.0,13871559000.0,13646366000.0,13706975000.0,13628924000.0
2023.0,13682217000.0,13578785000.0,13552818000.0,13483612000.0
2024.0,13548935000.0,13443636000.0,13390584000.0,13295184000.0
2025.0,13337187000.0,13317223000.0,13265659000.0,13124956000.0
2026.0,13270829000.0,13228534000.0,13140702000.0,12950901000.0
2027.0,13105427000.0,13048920000.0,13047377000.0,12767988000.0
2028.0,12935265000.0,13020484000.0,12896123000.0,12502842000.0
2029.0,12851145000.0,12812894000.0,12775757000.0,12328287000.0
2030.0,12708269000.0,12712118000.0,12654149000.0,12095328000.0
2031.0,12634478000.0,12649544000.0,12507257000.0,11862603000.0
2032.0,12448352000.0,12553378000.0,12405271000.0,11625556000.0
2033.0,12360396000.0,12352148000.0,12243924000.0,11502338000.0
2034.0,12139756000.0,12286843000.0,12127028000.0,11298880000.0
2035.0,11964716000.0,12025289000.0,11976193000.0,11120317000.0
2036.0,11817481000.0,11950413000.0,11856092000.0,10892154000.0
2037.0,11664204000.0,11778885000.0,11710457000.0,10740516000.0
2038.0,11510462000.0,11647992000.0,11616523000.0,10546719000.0
2039.0,11347296000.0,11582710000.0,11526399000.0,10374349000.0
2040.0,11212978000.0,11391919000.0,11340694000.0,10169747000.0
2041.0,11079875000.0,11207861000.0,11194574000.0,10020819000.0
2042.0,10881200000.0,11062932000.0,11145516000.0,9857953000.0
2043.0,10780522000.0,10923916000.0,11116642000.0,9652002000.0
2044.0,10639716000.0,10830876000.0,10917057000.0,9488906000.0
2045.0,10530408000.0,10698777000.0,11022860000.0,9477453000.0
2046.0,10371531000.0,10577953000.0,10826748000.0,9306920000.0
2047.0,10246321000.0,10469201000.0,10592477000.0,9118772000.0
2048.0,10093513000.0,10373559000.0,10511162000.0,8941593000.0
2049.0,10009417000.0,10250059000.0,10396212000.0,9214940000.0
2050.0,9870979000.0,10271662000.0,10283963000.0,8821832000.0
2051.0,9906185000.0,10094860000.0,10227258000.0,8646014000.0
2052.0,9709427000.0,9964941000.0,10104547000.0,8541825000.0
2053.0,9557422000.0,9845667000.0,10015396000.0,8406571500.0
2054.0,9419609000.0,9851899000.0,10312101000.0,8283040300.0
