time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0
2001.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0
2002.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0
2003.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0
2004.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0
2005.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0
2006.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0
2007.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0
2008.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0
2009.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0
2010.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0
2011.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0
2012.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0
2013.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0
2014.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0
2015.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0
2016.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0
2017.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0
2018.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0
2019.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0
2020.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0
2021.0,104204930000.0,104178704000.0,104220250000.0,104283185000.0,104318770000.0,104845885000.0,104260990000.0,104223210000.0,104221710000.0,104268230000.0,104451050000.0,104242480000.0,104270090000.0,104213890000.0
2022.0,104280650000.0,104133050000.0,104195070000.0,104178740000.0,105307914000.0,105053480000.0,104188910000.0,104194370000.0,104396450000.0,104168510000.0,104319164000.0,104318886000.0,104233380000.0,104117470000.0
2023.0,104232935000.0,104096450000.0,104142820000.0,104168370000.0,104282780000.0,104825590000.0,104214530000.0,104144716000.0,104288920000.0,104153020000.0,104495470000.0,104796260000.0,104250430000.0,104022240000.0
2024.0,104236020000.0,104427900000.0,104220170000.0,104129570000.0,104350590000.0,105268370000.0,104349830000.0,104323050000.0,104458550000.0,104081150000.0,104423530000.0,104470410000.0,104642980000.0,103939550000.0
2025.0,104329530000.0,104135690000.0,104088520000.0,104060140000.0,104204460000.0,105025446000.0,104263670000.0,104134210000.0,104156300000.0,104053300000.0,104370790000.0,104335570000.0,104289830000.0,103814540000.0
2026.0,104298020000.0,104032920000.0,104011870000.0,103953950000.0,104266320000.0,104793820000.0,104259430000.0,104075610000.0,104092980000.0,103971430000.0,104406880000.0,104207560000.0,104143250000.0,103714260000.0
2027.0,104220870000.0,104031940000.0,104022426000.0,103948530000.0,104151710000.0,104837740000.0,104262520000.0,104054390000.0,104224580000.0,103899540000.0,104477420000.0,104149470000.0,104111194000.0,103591050000.0
2028.0,104175430000.0,103940190000.0,103961076000.0,103834755000.0,104092380000.0,104769356000.0,104181780000.0,104050220000.0,104113940000.0,103827960000.0,104331820000.0,104106254000.0,104160540000.0,103418300000.0
2029.0,104133080000.0,103843830000.0,103897060000.0,103711270000.0,104104250000.0,104618630000.0,104241950000.0,104030495000.0,103990500000.0,103753750000.0,104236640000.0,104188640000.0,104070830000.0,103294150000.0
2030.0,104085990000.0,103763575000.0,103860890000.0,103671480000.0,104251290000.0,104636375000.0,104105640000.0,104166550000.0,103952730000.0,103675510000.0,104397550000.0,104062670000.0,104013700000.0,103147820000.0
2031.0,104064080000.0,103702530000.0,103795390000.0,103589390000.0,104359570000.0,104485770000.0,104028560000.0,104062886000.0,103847520000.0,103628130000.0,104238240000.0,104047920000.0,103942234000.0,102967000000.0
2032.0,103953056000.0,103661830000.0,103950070000.0,103479790000.0,104058356000.0,104501666000.0,103995560000.0,103954270000.0,103834530000.0,103561200000.0,104144450000.0,103940090000.0,103870980000.0,103094760000.0
2033.0,103998440000.0,103646890000.0,103837745000.0,103389520000.0,103971594000.0,104468955000.0,104031270000.0,103891730000.0,104176845000.0,103471370000.0,104129810000.0,104195280000.0,103787750000.0,102859170000.0
2034.0,103884464000.0,103501230000.0,103819354000.0,105052684000.0,104073450000.0,104388846000.0,103896430000.0,104021960000.0,103784320000.0,103378430000.0,104008140000.0,104038420000.0,103727180000.0,102599926000.0
2035.0,104028430000.0,103400870000.0,103667100000.0,105736050000.0,103904090000.0,104300840000.0,103878820000.0,103911580000.0,103687580000.0,103277450000.0,103973540000.0,103874500000.0,103711780000.0,102334456000.0
2036.0,103876890000.0,103312210000.0,103600990000.0,104142980000.0,103961750000.0,104557340000.0,103853900000.0,103847390000.0,103700620000.0,103208346000.0,103909650000.0,103786906000.0,103596474000.0,102069540000.0
2037.0,103804960000.0,103184810000.0,103729750000.0,104186950000.0,103783820000.0,104382070000.0,103847590000.0,103907180000.0,103686610000.0,103027710000.0,104191525000.0,103691070000.0,103503550000.0,101852380000.0
2038.0,103733125000.0,103073280000.0,103987030000.0,103703480000.0,103719444000.0,104088100000.0,103740240000.0,103801530000.0,103573270000.0,102818610000.0,103990830000.0,103612320000.0,103445610000.0,101635170000.0
2039.0,103626860000.0,102975670000.0,103749820000.0,104752050000.0,103638884000.0,104036975000.0,103723870000.0,103796230000.0,103457140000.0,102682640000.0,103839875000.0,103739060000.0,103505120000.0,101253644000.0
2040.0,103569555000.0,102884630000.0,103542960000.0,104002940000.0,103575170000.0,104184955000.0,103669320000.0,103707935000.0,103576460000.0,102495896000.0,103766460000.0,103601630000.0,103354160000.0,101104026000.0
2041.0,103657530000.0,102790650000.0,103456490000.0,103606570000.0,103576910000.0,104074160000.0,103783590000.0,103656100000.0,103547560000.0,102291480000.0,103733305000.0,103482830000.0,103222610000.0,100833400000.0
2042.0,103642055000.0,102755650000.0,103477740000.0,104695546000.0,103469030000.0,104215890000.0,103805680000.0,103652300000.0,103354270000.0,102065970000.0,103629940000.0,103411730000.0,103184140000.0,100516495000.0
2043.0,103602590000.0,102680090000.0,103461340000.0,103682990000.0,103350780000.0,103985660000.0,103604330000.0,103591340000.0,103390580000.0,101832040000.0,103582710000.0,103320830000.0,103075820000.0,100200010000.0
2044.0,103672996000.0,102470760000.0,103261260000.0,105625130000.0,103302414000.0,103870940000.0,103511065000.0,103509780000.0,103243510000.0,101575700000.0,103563230000.0,103276010000.0,102953110000.0,99833660000.0
2045.0,103547855000.0,102281560000.0,103179430000.0,103726670000.0,103292860000.0,103691000000.0,103446410000.0,103654785000.0,103219500000.0,101236890000.0,103500070000.0,103188780000.0,102863080000.0,99581010000.0
2046.0,103362175000.0,102085255000.0,103426695000.0,103397600000.0,103164870000.0,104022750000.0,103477350000.0,103507650000.0,103538130000.0,100830300000.0,103499980000.0,103069210000.0,102859880000.0,99224830000.0
2047.0,103330670000.0,101947376000.0,103126295000.0,103341260000.0,103067484000.0,103878120000.0,103361430000.0,103438850000.0,103308260000.0,100485554000.0,103524740000.0,102980400000.0,102745310000.0,98722144000.0
2048.0,103274680000.0,101771830000.0,103017560000.0,103917110000.0,102967330000.0,103541850000.0,103414510000.0,103335940000.0,103186810000.0,100072610000.0,103370390000.0,103061460000.0,102609220000.0,98207285000.0
2049.0,103162995000.0,101611045000.0,102892230000.0,103266030000.0,102865040000.0,103404085000.0,103443990000.0,103267260000.0,102949910000.0,99771550000.0,103468190000.0,102950810000.0,102531900000.0,98139070000.0
2050.0,103078270000.0,101358910000.0,102848225000.0,103056390000.0,102779710000.0,103322240000.0,103236150000.0,103206910000.0,102832370000.0,99474430000.0,103372276000.0,102789956000.0,102530580000.0,97663400000.0
2051.0,102997295000.0,101137555000.0,103106494000.0,102958330000.0,105048850000.0,103197320000.0,103126606000.0,103120420000.0,102856510000.0,99188440000.0,103235910000.0,102648190000.0,102286205000.0,97255430000.0
2052.0,102938800000.0,100979430000.0,102634460000.0,102894780000.0,103130505000.0,103265790000.0,103060914000.0,103070876000.0,102675775000.0,98704900000.0,103342130000.0,102852485000.0,102224180000.0,96886284000.0
2053.0,102955524000.0,100872400000.0,102580220000.0,103239810000.0,104144990000.0,103040800000.0,102960840000.0,103005315000.0,102643950000.0,98165970000.0,103263090000.0,102645160000.0,102118330000.0,96451360000.0
2054.0,102780810000.0,100623024000.0,102461880000.0,102785016000.0,102873340000.0,103249715000.0,102884246000.0,102888810000.0,102568624000.0,97688090000.0,103178450000.0,102498040000.0,102021440000.0,95986560000.0
2055.0,102688120000.0,100411160000.0,102929690000.0,102860960000.0,102732950000.0,102792820000.0,102887840000.0,102851780000.0,102391380000.0,97262215000.0,103110705000.0,102250960000.0,101838290000.0,95902640000.0
2056.0,102650590000.0,100212880000.0,102447740000.0,103131160000.0,102653755000.0,102535184000.0,102857410000.0,102790300000.0,102269770000.0,96836960000.0,102958830000.0,102065185000.0,101684320000.0,95611806000.0
