time,CESM2-WACCM,EC-EARTH3,CANESM5,MRI-ESM2-0,KACE-1-0-G,GFDL-ESM4,MPI-ESM1-2-HR,TAIESM1,CNRM-CM6-1,MIROC6,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0,104758540000.0
2001.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0,104715470000.0
2002.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0,104686810000.0
2003.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0,104649120000.0
2004.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0,104617570000.0
2005.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0,104800210000.0
2006.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0,104637350000.0
2007.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0,104858690000.0
2008.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0,104622810000.0
2009.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0,104535000000.0
2010.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0,104463770000.0
2011.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0,104421106000.0
2012.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0,104361790000.0
2013.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0
2014.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0
2015.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0
2016.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0
2017.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0
2018.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0
2019.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0
2020.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0
2021.0,104256960000.0,104180570000.0,104268400000.0,104221240000.0,104646290000.0,104575480000.0,104213600000.0,104286085000.0,104286130000.0,104284185000.0,104221120000.0,104314720000.0,104275820000.0
2022.0,104480570000.0,104164750000.0,104183530000.0,104174220000.0,104876900000.0,104294280000.0,104227370000.0,104280220000.0,104260090000.0,104175230000.0,104144420000.0,104221516000.0,104507260000.0
2023.0,104382300000.0,104237240000.0,104158220000.0,104192710000.0,105243020000.0,104238620000.0,104148140000.0,104144940000.0,104205435000.0,104192360000.0,104134880000.0,104160650000.0,104587756000.0
2024.0,104218310000.0,104215910000.0,104070880000.0,104279770000.0,105022640000.0,104333074000.0,104123550000.0,104097690000.0,104218170000.0,104168000000.0,104072450000.0,104217550000.0,104370710000.0
2025.0,104194540000.0,104048300000.0,104167150000.0,104243180000.0,104924150000.0,104202486000.0,104343160000.0,104023040000.0,104092040000.0,104106510000.0,104192950000.0,104110130000.0,104227810000.0
2026.0,104231320000.0,103959410000.0,104035880000.0,104144290000.0,104793850000.0,104223000000.0,104105990000.0,103969620000.0,104030450000.0,104155870000.0,104012850000.0,104053514000.0,104243390000.0
2027.0,104232890000.0,103869190000.0,104078590000.0,104035500000.0,104562660000.0,104169290000.0,104127810000.0,103996236000.0,104063940000.0,104132400000.0,103957225000.0,104106130000.0,104139660000.0
2028.0,104225620000.0,103776310000.0,103946486000.0,104119670000.0,104521250000.0,104130650000.0,104039510000.0,104226110000.0,103980600000.0,104000000000.0,103959134000.0,104030440000.0,104145805000.0
2029.0,104137660000.0,103688400000.0,103883416000.0,104087134000.0,104395780000.0,104623300000.0,103951680000.0,104046590000.0,103910154000.0,103917040000.0,103890960000.0,103931370000.0,104130520000.0
2030.0,104088130000.0,103574110000.0,103948670000.0,104101750000.0,104609400000.0,104133570000.0,104037770000.0,103880150000.0,103856054000.0,103904450000.0,103863000000.0,103871120000.0,104179060000.0
2031.0,104075110000.0,103475550000.0,103784750000.0,103993440000.0,104716935000.0,104027040000.0,103930980000.0,103830990000.0,103952150000.0,103894530000.0,103776330000.0,103765070000.0,104013600000.0
2032.0,104005820000.0,103351525000.0,103725410000.0,103896056000.0,104633590000.0,104021080000.0,103849270000.0,103700210000.0,103839570000.0,103826030000.0,103732090000.0,103715870000.0,103987590000.0
2033.0,104159280000.0,103495000000.0,103660240000.0,103908550000.0,104508190000.0,103919890000.0,103818090000.0,103658500000.0,103756505000.0,103837450000.0,103707165000.0,103643160000.0,104034830000.0
2034.0,103962130000.0,103213280000.0,103721750000.0,103805050000.0,104430740000.0,103974670000.0,103957630000.0,103548850000.0,103672430000.0,103816500000.0,103645670000.0,103562600000.0,103936110000.0
2035.0,104094630000.0,103049560000.0,103589560000.0,103735090000.0,104336376000.0,103919500000.0,103844220000.0,103480130000.0,103728610000.0,103718020000.0,104087870000.0,103494935000.0,104166550000.0
2036.0,103939920000.0,102884330000.0,103537140000.0,103697440000.0,104121380000.0,103826920000.0,103779934000.0,103403450000.0,103793650000.0,103654780000.0,103563430000.0,103382710000.0,104001170000.0
2037.0,104109375000.0,102727510000.0,103459960000.0,103592660000.0,104117486000.0,104051606000.0,103672800000.0,103277820000.0,103600780000.0,103629414000.0,103622710000.0,103255130000.0,103934570000.0
2038.0,104045160000.0,102602720000.0,103354630000.0,103605390000.0,104379910000.0,103827210000.0,104118780000.0,103113520000.0,103522120000.0,103553660000.0,103438615000.0,103137830000.0,103892500000.0
2039.0,104008700000.0,102394970000.0,103260370000.0,103480920000.0,104072320000.0,103779610000.0,103694050000.0,102975685000.0,103432315000.0,103535124000.0,103380345000.0,103019720000.0,103871920000.0
2040.0,103855060000.0,102200250000.0,103156425000.0,103615070000.0,104100570000.0,103662320000.0,103665190000.0,102830580000.0,103435860000.0,103442645000.0,103271510000.0,102899170000.0,103766630000.0
2041.0,103692470000.0,102006020000.0,103298490000.0,103678075000.0,104123450000.0,103603134000.0,103598210000.0,102678580000.0,103686620000.0,103586080000.0,103277765000.0,102799490000.0,103735615000.0
2042.0,103613596000.0,101887820000.0,103176730000.0,105830610000.0,103748670000.0,103531650000.0,103557510000.0,102473510000.0,103401955000.0,103429595000.0,103079190000.0,102616105000.0,103637640000.0
2043.0,103516774000.0,101697840000.0,103086965000.0,103498465000.0,104246750000.0,103442465000.0,103530390000.0,102246940000.0,103652330000.0,103348560000.0,103053830000.0,102460610000.0,103626160000.0
