time,CNRM-CM6-1,IITM-ESM,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL,EC-EARTH3,MIROC6,CESM2-WACCM,TAIESM1,KACE-1-0-G,MRI-ESM2-0,MPI-ESM1-2-HR,CANESM5,GFDL-ESM4
2000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0
2001.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0
2002.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0
2003.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0
2004.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0
2005.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0
2006.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0
2007.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0
2008.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0
2009.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0
2010.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0
2011.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0
2012.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0
2013.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0
2014.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0
2015.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0
2016.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0
2017.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0
2018.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0
2019.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0
2020.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0
2021.0,40665813000.0,40547885000.0,40598640000.0,40513140000.0,40475460000.0,40475427000.0,40542384000.0,40519545000.0,40503587000.0,40537346000.0,40405787000.0,40677070000.0,40571113000.0,40513503000.0
2022.0,41618256000.0,40441540000.0,40572817000.0,40424340000.0,40405017000.0,40285696000.0,40380223000.0,40377328000.0,40358707000.0,40514360000.0,40520660000.0,40478130000.0,40615956000.0,40389550000.0
2023.0,40774170000.0,40355620000.0,40348470000.0,40655008000.0,40703150000.0,40155740000.0,40428474000.0,40967240000.0,40288240000.0,40573387000.0,40368067000.0,40774670000.0,40338410000.0,41277657000.0
2024.0,40575697000.0,40394342000.0,40700060000.0,40276600000.0,41044100000.0,40058090000.0,40321660000.0,41085415000.0,40201458000.0,40563802000.0,40487236000.0,40722088000.0,40345203000.0,40650166000.0
2025.0,40556675000.0,40550550000.0,40570170000.0,40242110000.0,40545300000.0,39962040000.0,40287666000.0,40559190000.0,40161726000.0,40390550000.0,40183554000.0,40557000000.0,40209875000.0,40415695000.0
2026.0,40460150000.0,40281534000.0,40300433000.0,40190505000.0,40343593000.0,39865740000.0,40225820000.0,40335397000.0,40043315000.0,40469074000.0,40098263000.0,40352092000.0,40141308000.0,40328282000.0
2027.0,40623620000.0,40378440000.0,40191988000.0,40245567000.0,40278910000.0,39729857000.0,40382110000.0,40141517000.0,39944830000.0,40386950000.0,39974380000.0,40254310000.0,40324633000.0,40403984000.0
2028.0,40859804000.0,40573260000.0,40189840000.0,40032390000.0,40566520000.0,39570616000.0,40231035000.0,40324784000.0,39851725000.0,40302277000.0,39894240000.0,40244654000.0,40034124000.0,40290742000.0
2029.0,40892980000.0,40266100000.0,40081950000.0,39934150000.0,40186982000.0,39412540000.0,40087597000.0,40494473000.0,39718605000.0,40138780000.0,39798310000.0,40426643000.0,39996780000.0,40530764000.0
2030.0,40661360000.0,40868127000.0,40037405000.0,40115335000.0,40068720000.0,39214270000.0,40014760000.0,40082380000.0,39560090000.0,40052363000.0,39737733000.0,40716268000.0,39866120000.0,40418775000.0
2031.0,41479623000.0,40197857000.0,40059675000.0,40009966000.0,40008610000.0,38955586000.0,39942062000.0,39912514000.0,39385407000.0,40042013000.0,39577390000.0,40320380000.0,39824920000.0,40120775000.0
2032.0,40772207000.0,40057980000.0,40100995000.0,39849492000.0,39949435000.0,38754810000.0,39847047000.0,39796806000.0,39246828000.0,39862480000.0,39506100000.0,40346874000.0,39719272000.0,40383836000.0
2033.0,40544313000.0,40104570000.0,39837196000.0,39681987000.0,39796770000.0,38739610000.0,39747473000.0,39704980000.0,39131170000.0,39842365000.0,39440700000.0,40432087000.0,39550080000.0,40227017000.0
2034.0,40368865000.0,39966495000.0,39943967000.0,39638210000.0,39649157000.0,38316100000.0,39656264000.0,39642140000.0,39007085000.0,39642292000.0,39303975000.0,40130966000.0,39473857000.0,40234700000.0
2035.0,40657420000.0,39925015000.0,39686627000.0,39631245000.0,39547540000.0,38018265000.0,39635186000.0,39565820000.0,38790533000.0,39585944000.0,39174898000.0,40010170000.0,39356527000.0,40070525000.0
2036.0,40600048000.0,39842075000.0,39611347000.0,40106250000.0,39429825000.0,37745540000.0,39502610000.0,39390860000.0,38639874000.0,39537484000.0,39656333000.0,39981638000.0,39137090000.0,39982256000.0
2037.0,40258170000.0,39905250000.0,39763650000.0,40660128000.0,39294250000.0,37463626000.0,39377560000.0,39196996000.0,38360630000.0,39415165000.0,39267880000.0,39999690000.0,38859158000.0,39901200000.0
2038.0,40415040000.0,39920350000.0,39629470000.0,40210334000.0,39236854000.0,37126197000.0,39240280000.0,39098140000.0,38035775000.0,39261802000.0,39041905000.0,39897866000.0,38651654000.0,39802233000.0
2039.0,40124540000.0,39760390000.0,39541002000.0,39700230000.0,39024160000.0,36740526000.0,39213548000.0,39094112000.0,37789413000.0,39131083000.0,38799864000.0,39746800000.0,38470558000.0,39821582000.0
2040.0,40214893000.0,39648317000.0,39319306000.0,39752974000.0,39003787000.0,36384117000.0,39005774000.0,38960656000.0,37495677000.0,38964890000.0,38618720000.0,39710250000.0,38320000000.0,39652460000.0
2041.0,40187474000.0,39513944000.0,39347122000.0,39596392000.0,38760886000.0,35927440000.0,39288242000.0,38711304000.0,37034980000.0,38997123000.0,38807912000.0,39653933000.0,38075040000.0,39530627000.0
2042.0,40338952000.0,39408080000.0,39313400000.0,39733862000.0,38671550000.0,35518312000.0,39163306000.0,38488752000.0,36716765000.0,38721036000.0,39060484000.0,39479590000.0,37792305000.0,39737352000.0
2043.0,39970124000.0,39297160000.0,39069900000.0,39635194000.0,38457938000.0,34919363000.0,38757257000.0,38944055000.0,36316930000.0,38486580000.0,38392074000.0,39423283000.0,37592140000.0,39499485000.0
2044.0,40232542000.0,39148573000.0,38931190000.0,39590597000.0,38183027000.0,34450070000.0,38957170000.0,38343360000.0,35995263000.0,38254182000.0,38107770000.0,39765594000.0,37442970000.0,39588753000.0
2045.0,40408613000.0,39196970000.0,38860108000.0,39960998000.0,37976363000.0,34002590000.0,38595200000.0,38133480000.0,35555800000.0,38101496000.0,37961556000.0,39768764000.0,37095965000.0,39410580000.0
2046.0,40179410000.0,38933324000.0,38730950000.0,39202337000.0,37751075000.0,33538138000.0,38428103000.0,37874622000.0,34933068000.0,37969994000.0,38007476000.0,40058507000.0,36829950000.0,39290430000.0
2047.0,40443980000.0,38767907000.0,38565900000.0,39457430000.0,37500355000.0,33152764000.0,38324236000.0,37723623000.0,34649727000.0,37799500000.0,37706404000.0,39390050000.0,36551717000.0,39324398000.0
2048.0,39907140000.0,38690075000.0,38426427000.0,39971350000.0,37274735000.0,32498050000.0,38119760000.0,38806220000.0,34166704000.0,37616170000.0,37649400000.0,39326550000.0,36228817000.0,39083962000.0
2049.0,40134010000.0,38477775000.0,38246030000.0,39329420000.0,37060380000.0,32673118000.0,37894156000.0,37594526000.0,33937068000.0,37369164000.0,37380936000.0,39134065000.0,35969065000.0,39019360000.0
2050.0,39784296000.0,38285844000.0,37987394000.0,39003312000.0,36696855000.0,31808279000.0,37684044000.0,37540580000.0,33415762000.0,37136960000.0,37182878000.0,39324123000.0,35771080000.0,39023677000.0
2051.0,40150036000.0,38185775000.0,37884170000.0,38954676000.0,36342755000.0,31255319000.0,37579870000.0,37074550000.0,33075366000.0,36961810000.0,37035127000.0,39023387000.0,35411280000.0,39389240000.0
2052.0,39968120000.0,37978677000.0,37640684000.0,38820995000.0,36126780000.0,30787113000.0,37481930000.0,36855100000.0,32533764000.0,36815990000.0,36872650000.0,39010860000.0,35229336000.0,39065457000.0
2053.0,40733860000.0,37736227000.0,37501837000.0,39041098000.0,35770663000.0,30326438000.0,37241586000.0,36655270000.0,31896773000.0,36465766000.0,37171094000.0,38904484000.0,34841170000.0,39203934000.0
2054.0,39779426000.0,37523403000.0,37397918000.0,38565642000.0,35422980000.0,29802370000.0,37001860000.0,36462625000.0,31389788000.0,36216930000.0,36568416000.0,38891570000.0,34671542000.0,38942350000.0
2055.0,39671180000.0,37359944000.0,37026714000.0,38791807000.0,35101155000.0,29494954000.0,36721850000.0,36236650000.0,31089439000.0,35939107000.0,36213160000.0,39265740000.0,34155719000.0,38809465000.0
2056.0,39650374000.0,37112717000.0,36801760000.0,38553020000.0,34820230000.0,29632030000.0,36570990000.0,35936410000.0,30682964000.0,35851805000.0,35894858000.0,38653174000.0,33865353000.0,38774250000.0
2057.0,39843950000.0,36949680000.0,37421306000.0,38435720000.0,34469994000.0,29050330000.0,36424740000.0,35691385000.0,29981434000.0,35584037000.0,36146053000.0,38442443000.0,33407236000.0,38434910000.0
2058.0,39349420000.0,36720718000.0,36891144000.0,38309466000.0,34066616000.0,28503677000.0,36282320000.0,35563446000.0,29201540000.0,35442210000.0,35484270000.0,38479670000.0,33089243000.0,38324986000.0
2059.0,39147217000.0,36426150000.0,36607894000.0,38238343000.0,33708487000.0,28093501000.0,36367090000.0,36050040000.0,28658276000.0,35089523000.0,36330914000.0,38270177000.0,32805802000.0,38594843000.0
2060.0,39040197000.0,36185264000.0,36250563000.0,38601495000.0,33234772000.0,27741714000.0,35923840000.0,35246367000.0,28119460000.0,34894553000.0,35256693000.0,38657696000.0,32329355000.0,38693040000.0
2061.0,40346690000.0,36223530000.0,35946873000.0,39307330000.0,33265222000.0,27508402000.0,35850070000.0,35074966000.0,27611314000.0,34759530000.0,34794897000.0,38228580000.0,31867144000.0,38205580000.0
2062.0,39164613000.0,35751817000.0,35694375000.0,39027530000.0,32556450000.0,27176780000.0,36079587000.0,34845000000.0,27231588000.0,34455820000.0,34544290000.0,38232367000.0,31627264000.0,38038880000.0
2063.0,39422185000.0,35523887000.0,35629540000.0,38739444000.0,32305215000.0,26990397000.0,35619844000.0,34339662000.0,26602605000.0,34519830000.0,34199237000.0,37946634000.0,31390607000.0,37892272000.0
2064.0,38993130000.0,35431280000.0,35237147000.0,37922533000.0,32015546000.0,27127364000.0,35421260000.0,34047170000.0,26159006000.0,34006493000.0,34002096000.0,37838510000.0,31201026000.0,37876576000.0
2065.0,38933580000.0,35066720000.0,35080233000.0,37729415000.0,31554447000.0,26389096000.0,35218727000.0,33713107000.0,25662935000.0,33748100000.0,33720965000.0,38155360000.0,30821863000.0,37700534000.0
2066.0,38937420000.0,34877650000.0,35057357000.0,37926880000.0,31113632000.0,26075406000.0,34914406000.0,33372006000.0,25129355000.0,33472900000.0,33595652000.0,37801128000.0,30180678000.0,37709720000.0
2067.0,39240530000.0,34632917000.0,34558222000.0,37783196000.0,30676376000.0,26078044000.0,34527730000.0,33006504000.0,24619422000.0,33182208000.0,33482265000.0,38390112000.0,29709578000.0,38366724000.0
2068.0,38752530000.0,34440890000.0,34268684000.0,38204090000.0,30227192000.0,25479647000.0,34274861000.0,32998810000.0,24287179000.0,33050948000.0,33029337000.0,38142448000.0,29405680000.0,37680080000.0
2069.0,38624928000.0,34157136000.0,33993298000.0,37355680000.0,29749764000.0,24999074000.0,33971067000.0,32656278000.0,23854250000.0,32681738000.0,32933638000.0,37713043000.0,28902857000.0,37774262000.0
2070.0,38574860000.0,33805072000.0,33793393000.0,38131446000.0,29277540000.0,24928864000.0,33745970000.0,32399950000.0,23477256000.0,32368425000.0,32654004000.0,37491438000.0,28834636000.0,37484286000.0
2071.0,38466953000.0,33520972000.0,33552085000.0,37114085000.0,28833157000.0,24428917000.0,33979093000.0,32091068000.0,22973723000.0,32024158000.0,32553458000.0,37477140000.0,28336091000.0,37440090000.0
2072.0,38232790000.0,33241070000.0,33127672000.0,37471020000.0,28366062000.0,23866399000.0,33344406000.0,31982811000.0,22851752000.0,31838810000.0,32434440000.0,37236810000.0,28057500000.0,37132575000.0
2073.0,38116917000.0,33014979000.0,32733852000.0,37089910000.0,27898966000.0,23396559000.0,33001435000.0,31758346000.0,22207427000.0,31539530000.0,32081093000.0,37476532000.0,27705213000.0,37108830000.0
2074.0,37986296000.0,32719665000.0,32387615000.0,36714787000.0,27493261000.0,23098415000.0,32845054000.0,31284079000.0,21852623000.0,31352031000.0,32928176000.0,37176406000.0,27370269000.0,36843530000.0
2075.0,38893625000.0,32416743000.0,32163508000.0,36523614000.0,27081286000.0,23288035000.0,32711023000.0,31044470000.0,21244856000.0,31142816000.0,32141498000.0,36984504000.0,26902997000.0,36991754000.0
2076.0,38173120000.0,32432943000.0,31858290000.0,36580483000.0,26674559000.0,22711929000.0,32294414000.0,30874108000.0,21095365000.0,30822070000.0,31554517000.0,37036356000.0,26490360000.0,36538114000.0
2077.0,37720740000.0,31954887000.0,31521590000.0,36192950000.0,26423837000.0,22106710000.0,32049304000.0,30565160000.0,20776020000.0,30466847000.0,31242955000.0,36949287000.0,26133623000.0,36714600000.0
2078.0,38097150000.0,31625843000.0,31174902000.0,36055640000.0,26116264000.0,21748734000.0,31872790000.0,30950950000.0,20227195000.0,30214066000.0,31015072000.0,36717175000.0,25883570000.0,36906516000.0
2079.0,37594395000.0,31372000000.0,30830318000.0,36231705000.0,25708714000.0,21491905000.0,31802049000.0,30053247000.0,19594037000.0,29710123000.0,30680500000.0,36547230000.0,25512802000.0,36772643000.0
2080.0,38350434000.0,31021046000.0,30555126000.0,35754627000.0,25246630000.0,21218920000.0,31267529000.0,29696475000.0,19186674000.0,29334330000.0,31853367000.0,36641825000.0,25860123000.0,36225982000.0
2081.0,37425520000.0,30803388000.0,30517228000.0,35952450000.0,24883670000.0,20760162000.0,31003777000.0,30007583000.0,18607038000.0,29063557000.0,31007635000.0,36372914000.0,25003969000.0,36053520000.0
2082.0,37255627000.0,30537867000.0,29992227000.0,35581784000.0,24546343000.0,20359090000.0,30740793000.0,30595690000.0,18051453000.0,28750180000.0,30198458000.0,36349540000.0,24650150000.0,36207895000.0
2083.0,37471110000.0,30266225000.0,30051105000.0,35286050000.0,24193698000.0,20235747000.0,30457127000.0,29761817000.0,17476571000.0,28449671000.0,29933105000.0,36276785000.0,24301730000.0,35813933000.0
2084.0,39253303000.0,30061963000.0,29545312000.0,35178496000.0,23880161000.0,19662550000.0,30037584000.0,29093267000.0,16947842000.0,28267633000.0,29670287000.0,36049854000.0,23945480000.0,35666428000.0
2085.0,37923238000.0,29750139000.0,29259315000.0,35067670000.0,23573211000.0,22011097000.0,29791457000.0,28622467000.0,16579880000.0,27934750000.0,29746153000.0,35786870000.0,23612980000.0,35616330000.0
