time,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL
2000.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0
2001.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0
2002.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0
2003.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0
2004.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0
2005.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0
2006.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0
2007.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0
2008.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0
2009.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0
2010.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0
2011.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0
2012.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0
2013.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0
2014.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0
2015.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0
2016.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0
2017.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0
2018.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0
2019.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0
2020.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0
2021.0,2896021800.0,2856887800.0,2881672700.0,2846446800.0
2022.0,2843779000.0,2830802400.0,2847946200.0,2821018400.0
2023.0,2862544000.0,2814487300.0,2897949200.0,2865643300.0
2024.0,2856451600.0,2921426200.0,3089475000.0,2783696400.0
2025.0,2795416300.0,2796305200.0,2872036900.0,2746834400.0
2026.0,2814985200.0,2772545300.0,2806559000.0,2709112800.0
2027.0,3062450200.0,2750997800.0,2780904700.0,2669315800.0
2028.0,2981856800.0,2723693800.0,2807927000.0,2628954000.0
2029.0,2877860900.0,2687913000.0,2738909200.0,2579830300.0
2030.0,2866178000.0,2638729200.0,2713856500.0,2518577700.0
2031.0,2873132000.0,2605694200.0,2858413600.0,2466305300.0
2032.0,2829699000.0,2567314000.0,2709004000.0,2415763700.0
2033.0,3252038100.0,2567144200.0,2664961000.0,2419530800.0
2034.0,2923375000.0,2508209400.0,2629171200.0,2365117000.0
2035.0,2811088100.0,2468479700.0,2714285000.0,2259412200.0
2036.0,2759463200.0,2425820700.0,2627228700.0,2200233200.0
2037.0,2749619000.0,2408388000.0,2557821400.0,2125935500.0
2038.0,2665592800.0,2347293200.0,2532212500.0,2018167000.0
2039.0,2704800800.0,2326526700.0,2489894700.0,1915608300.0
2040.0,2593235700.0,2286075400.0,2454567000.0,1846848900.0
2041.0,3036684300.0,2444118800.0,2430298400.0,1768321400.0
2042.0,2622656300.0,2416756200.0,2473730300.0,1770098700.0
2043.0,2552748800.0,2189829000.0,2376928300.0,1650857500.0
2044.0,2479398700.0,2137562500.0,2354372000.0,1529409300.0
2045.0,2448395500.0,2111436400.0,2354336800.0,1447125200.0
2046.0,2410698500.0,2046082600.0,2299051300.0,1381728000.0
2047.0,2365723400.0,2004518700.0,2388464400.0,1332399500.0
2048.0,2343253200.0,1929885200.0,2310940400.0,1264766000.0
2049.0,2270957800.0,1889553200.0,2237968000.0,1220398200.0
2050.0,2233051400.0,2015108700.0,2179426600.0,1165399200.0
2051.0,2172150000.0,1820367500.0,2199435000.0,1127369000.0
2052.0,2165025300.0,1764606800.0,2213345500.0,1137935600.0
2053.0,2285769200.0,1705049500.0,2106751900.0,1067538750.0
2054.0,2297288400.0,1672684000.0,2057817500.0,1032789300.0
2055.0,2174165000.0,1629889000.0,2178262800.0,996903100.0
2056.0,2173270500.0,1776699100.0,2024817400.0,959507140.0
2057.0,2039236900.0,1928861400.0,1985727200.0,903059300.0
2058.0,1976288100.0,1584220400.0,1934503400.0,859577400.0
2059.0,1942033200.0,2412729600.0,1995962400.0,841543100.0
2060.0,1901776600.0,1581207000.0,2078256100.0,808759900.0
2061.0,1859678300.0,1516556300.0,1898630300.0,774868350.0
2062.0,1907360000.0,1478585700.0,1842822100.0,744882900.0
2063.0,1804754700.0,1467777300.0,1805773200.0,714320300.0
2064.0,1767274100.0,2212744200.0,1781134600.0,690725060.0
2065.0,1801852700.0,1691730400.0,1746371300.0,657484800.0
2066.0,1815803600.0,1436166300.0,1729196200.0,631031360.0
2067.0,1737850100.0,1644154800.0,1683334300.0,601507900.0
2068.0,1690231000.0,1383400700.0,1726036700.0,571352960.0
2069.0,1649135100.0,1350958300.0,1609343400.0,553207360.0
2070.0,1641354800.0,1326182300.0,1778018700.0,537676540.0
2071.0,1596689500.0,1309115600.0,1908171100.0,517902500.0
2072.0,1616944600.0,1373661000.0,1647901400.0,502039000.0
2073.0,1540440800.0,1254000600.0,1665005300.0,484029470.0
2074.0,1562932100.0,1837124200.0,1558147500.0,469752900.0
2075.0,1484527000.0,1289789200.0,1734467300.0,451731780.0
2076.0,1445031800.0,1477345900.0,1976215900.0,439751550.0
2077.0,1414712700.0,1237349800.0,1638184700.0,423051780.0
2078.0,1695841200.0,1189996200.0,1650249600.0,408321400.0
2079.0,1749950000.0,2121840900.0,1590409900.0,398248160.0
2080.0,1421491500.0,1503033200.0,1539258000.0,376230340.0
2081.0,1383198200.0,1715894300.0,2294716400.0,359427870.0
2082.0,1981181800.0,1238156400.0,1685445100.0,339021600.0
2083.0,1768705300.0,1364900700.0,1774421600.0,331018100.0
2084.0,2097647500.0,1144824200.0,1505221800.0,305273380.0
2085.0,2088148000.0,2047615400.0,1740145200.0,287377860.0
2086.0,1840381200.0,1349559900.0,1835718100.0,273536100.0
2087.0,1501201700.0,1206100500.0,1724395800.0,260708820.0
2088.0,2036543600.0,2470827000.0,1781457500.0,251187250.0
2089.0,1384117000.0,1816265100.0,1489773400.0,238915920.0
2090.0,1377846700.0,1208066000.0,1989132200.0,224173940.0
2091.0,1328386200.0,2096292400.0,1703710100.0,213654450.0
2092.0,1343614600.0,1686693500.0,1450150900.0,201934020.0
2093.0,1285339400.0,2103027200.0,2472369700.0,184927980.0
2094.0,1272180100.0,1526170000.0,1741473000.0,179214000.0
2095.0,1261030000.0,1461791400.0,1912826500.0,174471660.0
2096.0,1233032000.0,1236949800.0,1446269000.0,162877890.0
2097.0,1310134100.0,1342515800.0,1394007800.0,151519470.0
2098.0,1617561100.0,1145529300.0,1623246100.0,143856770.0
2099.0,1448733800.0,2134770800.0,1544493200.0,135742800.0
2100.0,2362844200.0,1602050300.0,1369438000.0,126951390.0
