time,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0
2011.0,2438429200.0,2438429200.0
2012.0,2380191200.0,2380191200.0
2013.0,2406167300.0,2406167300.0
2014.0,2395170800.0,2395170800.0
2015.0,2365068300.0,2365068300.0
2016.0,2337163800.0,2337163800.0
2017.0,2293793800.0,2293793800.0
2018.0,2331189000.0,2331189000.0
2019.0,2288971300.0,2288971300.0
2020.0,2312613600.0,2312613600.0
2021.0,2288385000.0,2327691500.0
2022.0,2204505300.0,2290193400.0
2023.0,2194666800.0,2430105300.0
2024.0,2299894500.0,2294880800.0
2025.0,2194172200.0,2217272600.0
2026.0,2125128700.0,2188242000.0
2027.0,2102397600.0,2220974000.0
2028.0,2055955000.0,2067499100.0
2029.0,1998589000.0,2026752000.0
2030.0,1991045500.0,1982198000.0
2031.0,1916114000.0,2043745000.0
2032.0,1854041100.0,1902666000.0
2033.0,1935374800.0,1891529100.0
2034.0,1820976400.0,1865703400.0
2035.0,1753578800.0,1807215000.0
2036.0,1677439100.0,1787750400.0
2037.0,1636383200.0,1786543200.0
2038.0,1612198000.0,1745280000.0
2039.0,1534522000.0,1692721300.0
2040.0,1479105500.0,1620500000.0
2041.0,1453475800.0,1530389400.0
2042.0,1391712100.0,1534750500.0
2043.0,1331785700.0,1459017900.0
2044.0,1324351000.0,1397872400.0
2045.0,1275116900.0,1351251000.0
2046.0,1199281400.0,1296985500.0
2047.0,1170579800.0,1250190700.0
2048.0,1139194400.0,1183329000.0
2049.0,1047923260.0,1184625800.0
2050.0,998132030.0,1093010300.0
2051.0,984786940.0,1034291840.0
2052.0,949967400.0,968355300.0
2053.0,908201400.0,921529860.0
2054.0,951122240.0,874927170.0
2055.0,865546300.0,837316100.0
2056.0,822488900.0,791628300.0
2057.0,790915000.0,742384960.0
2058.0,958632450.0,698595840.0
2059.0,739924860.0,661865100.0
2060.0,703841900.0,630655100.0
2061.0,669645760.0,593318850.0
2062.0,634204800.0,564832060.0
2063.0,616786050.0,525875700.0
2064.0,603362800.0,498572220.0
2065.0,574978100.0,480086050.0
2066.0,553021600.0,456149300.0
2067.0,536512500.0,447363400.0
2068.0,565580100.0,405176640.0
2069.0,496173980.0,369225860.0
2070.0,474329730.0,342420380.0
2071.0,530003400.0,357330900.0
2072.0,505369470.0,344552260.0
2073.0,433964200.0,285051840.0
2074.0,422332200.0,270412480.0
2075.0,415934530.0,254950400.0
2076.0,397838300.0,237343060.0
2077.0,389361600.0,224871630.0
2078.0,396610720.0,224006420.0
2079.0,371327700.0,209703870.0
2080.0,359092900.0,199633520.0
2081.0,351489920.0,188297800.0
2082.0,346314080.0,180316670.0
2083.0,344383360.0,171868900.0
2084.0,326549800.0,171175400.0
2085.0,325230600.0,160950850.0
2086.0,308558600.0,153379820.0
2087.0,311427600.0,149641260.0
2088.0,294173200.0,145879100.0
2089.0,283818530.0,145359090.0
2090.0,275364670.0,134684780.0
2091.0,263877840.0,132286440.0
2092.0,262824800.0,130197730.0
2093.0,256966240.0,125474950.0
2094.0,251586940.0,120965020.0
2095.0,252261520.0,126411060.0
2096.0,246498450.0,116070240.0
2097.0,240017550.0,113070120.0
2098.0,241050270.0,110510810.0
2099.0,230891310.0,108665784.0
2100.0,230962720.0,107483720.0
