time,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL
2000.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0
2001.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0
2002.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0
2003.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0
2004.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0
2005.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0
2006.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0
2007.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0
2008.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0
2009.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0
2010.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0
2011.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0
2012.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0
2013.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0
2014.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0
2015.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0
2016.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0
2017.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0
2018.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0
2019.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0
2020.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0
2021.0,1091558100.0,1097325200.0,1089584000.0,1089756000.0
2022.0,1082832300.0,1084766100.0,1056859500.0,1077599900.0
2023.0,1059476860.0,1071157900.0,1038916500.0,1053014100.0
2024.0,1034289340.0,1044981760.0,1012725200.0,1036713340.0
2025.0,1015787800.0,1021405630.0,997126000.0,999266400.0
2026.0,997277300.0,995971650.0,967637760.0,971982660.0
2027.0,970707200.0,979671700.0,949455360.0,950743400.0
2028.0,939634750.0,958052800.0,914399600.0,921658560.0
2029.0,924127360.0,971165700.0,892555650.0,890645250.0
2030.0,890652800.0,955490500.0,858632100.0,858843300.0
2031.0,868288960.0,929792640.0,834776100.0,841473150.0
2032.0,842440300.0,898262000.0,823462300.0,814379500.0
2033.0,819271600.0,886990460.0,789700400.0,769740350.0
2034.0,805567900.0,888014460.0,776134900.0,752557760.0
2035.0,781132400.0,847210000.0,755295740.0,797000500.0
2036.0,737716160.0,812997400.0,745761860.0,710856060.0
2037.0,729997000.0,794807100.0,702227650.0,680469570.0
