time,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,CANESM5,IPSL-CM6A-LR
2000.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0,1151744400.0
2001.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0,1147744100.0
2002.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0,1156264800.0
2003.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0,1155491300.0
2004.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0,1163514500.0
2005.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0,1182121600.0
2006.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0,1182299100.0
2007.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0,1171451400.0
2008.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0,1165995800.0
2009.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0,1162879600.0
2010.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0,1180014700.0
2011.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0,1158774100.0
2012.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0,1157816300.0
2013.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0,1151259300.0
2014.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0,1149258000.0
2015.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0,1141856400.0
2016.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0,1134794200.0
2017.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0,1131525400.0
2018.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0,1123737300.0
2019.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0,1113759900.0
2020.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0,1103291800.0
2021.0,1076317300.0,1107120800.0,1091859100.0,1091130500.0,1088043400.0
2022.0,1063691200.0,1095395600.0,1076737200.0,1076455800.0,1091565000.0
2023.0,1039394300.0,1077563400.0,1052717440.0,1061621700.0,1071796030.0
2024.0,1018827460.0,1093414800.0,1036298800.0,1041833300.0,1054009200.0
2025.0,990606340.0,1058943550.0,1020270700.0,1019415100.0,1034133000.0
2026.0,965143800.0,1046845800.0,986615700.0,1000516000.0,1028457400.0
2027.0,946406340.0,1025251100.0,961058750.0,980835460.0,1012609540.0
2028.0,917097340.0,1010661700.0,935259600.0,941385900.0,1003019500.0
2029.0,885272200.0,993479200.0,937973600.0,925107840.0,973555300.0
2030.0,839815400.0,976506750.0,894498100.0,893517250.0,949386000.0
2031.0,820418400.0,955267500.0,856786750.0,870661300.0,951068860.0
2032.0,792973200.0,946081100.0,824732540.0,827604500.0,917924700.0
2033.0,831703200.0,931925700.0,796363650.0,795009700.0,894766300.0
2034.0,754501800.0,925127500.0,757376000.0,760809000.0,881261060.0
2035.0,724930300.0,899517500.0,727153000.0,734984400.0,866885000.0
2036.0,693267800.0,888859970.0,703401660.0,703926140.0,835319700.0
2037.0,673095800.0,876565500.0,665117250.0,671074300.0,812236350.0
2038.0,675302700.0,845445760.0,629723600.0,639256260.0,785594600.0
2039.0,641024800.0,840247740.0,603820800.0,624766000.0,762767100.0
2040.0,626645600.0,814856900.0,577806600.0,593889860.0,742980860.0
2041.0,605580900.0,786315500.0,542846100.0,565325800.0,726281340.0
2042.0,615708900.0,756343900.0,512000580.0,548409400.0,695072900.0
2043.0,573343100.0,738038200.0,492264580.0,515150430.0,679565060.0
2044.0,550873200.0,724187600.0,474271300.0,480867360.0,653683260.0
2045.0,535925400.0,710122500.0,453557820.0,455660380.0,624303040.0
2046.0,522260600.0,695229900.0,437220260.0,431319520.0,600000260.0
2047.0,505581500.0,663613000.0,413840740.0,401144700.0,582611460.0
2048.0,494394080.0,647685900.0,392323870.0,383706140.0,560163600.0
2049.0,487853630.0,632904400.0,372931620.0,370495360.0,530954140.0
2050.0,472512030.0,622014400.0,351963780.0,345691360.0,505021000.0
2051.0,458130850.0,613579400.0,331071260.0,328280540.0,490324740.0
2052.0,442539400.0,595609700.0,320592030.0,313109600.0,478309120.0
2053.0,429902080.0,651606900.0,305259100.0,300066020.0,465739140.0
2054.0,415536640.0,578693600.0,290112000.0,279559100.0,462430820.0
2055.0,406884930.0,567241860.0,278058240.0,262977780.0,438329250.0
2056.0,408633000.0,546611840.0,267580290.0,258912160.0,419911140.0
2057.0,385058080.0,540257860.0,258111500.0,253845310.0,399253250.0
2058.0,377853120.0,534439000.0,237343710.0,241598500.0,390799800.0
2059.0,368437280.0,521495900.0,228633120.0,249697710.0,377758940.0
2060.0,362479680.0,506002620.0,223197970.0,237647550.0,360563040.0
2061.0,370017660.0,491444060.0,214491900.0,245114060.0,353101900.0
2062.0,349013860.0,478043620.0,205443630.0,224080160.0,344317500.0
2063.0,339069100.0,464663580.0,193637380.0,215928000.0,334498430.0
2064.0,342452160.0,454837980.0,183899860.0,215156830.0,318070980.0
2065.0,329850460.0,453679330.0,177016320.0,208568400.0,305280200.0
2066.0,313196320.0,486170430.0,170993180.0,200028180.0,298358080.0
2067.0,303432000.0,434740770.0,164420430.0,199438540.0,294797570.0
2068.0,296726620.0,426540350.0,160581780.0,189476590.0,283595360.0
2069.0,299767780.0,418782180.0,156513490.0,183253810.0,270384300.0
2070.0,286882100.0,410679680.0,150962160.0,179450130.0,263065460.0
2071.0,289423780.0,400730270.0,149415920.0,195874300.0,254226800.0
2072.0,279190240.0,393936500.0,151875000.0,178460640.0,247101180.0
2073.0,288115360.0,469316030.0,142494780.0,173895250.0,241738220.0
2074.0,281086850.0,385129700.0,152591520.0,170394020.0,239308380.0
2075.0,345267800.0,403401820.0,135254160.0,178244420.0,234244100.0
2076.0,318037540.0,375421250.0,133758300.0,237488980.0,238638750.0
2077.0,376711840.0,370216960.0,132238000.0,174261380.0,226042180.0
2078.0,296987870.0,389276770.0,128236840.0,169174180.0,216929700.0
2079.0,289763000.0,379972160.0,146003860.0,180582350.0,220123800.0
2080.0,286103330.0,357333280.0,126539496.0,164609950.0,219973700.0
2081.0,288243550.0,369304000.0,124720170.0,176215630.0,213707490.0
2082.0,291187780.0,351849440.0,121247780.0,180722510.0,232489570.0
2083.0,291726880.0,355158000.0,118122970.0,183175790.0,212898220.0
2084.0,324728740.0,346444220.0,115354930.0,178780980.0,210589550.0
2085.0,296067700.0,344247600.0,115702150.0,163105820.0,205988690.0
2086.0,298490400.0,347869100.0,116984000.0,160522600.0,204454720.0
2087.0,296824300.0,343855100.0,143767650.0,180666240.0,204903260.0
2088.0,286394400.0,342239740.0,124644904.0,169422610.0,303087520.0
2089.0,285271600.0,377078800.0,113866330.0,279970980.0,204975260.0
2090.0,305553060.0,335803330.0,110632130.0,163709800.0,203166320.0
2091.0,286143040.0,331857280.0,107662460.0,220562000.0,248731860.0
2092.0,283946400.0,328712540.0,124007230.0,180557460.0,224035740.0
2093.0,342225400.0,326447420.0,106412220.0,259602990.0,233585710.0
2094.0,349742820.0,347058020.0,104106216.0,206182300.0,219804100.0
2095.0,327870050.0,326646370.0,102945930.0,199820340.0,217238160.0
2096.0,352064830.0,349054530.0,100716970.0,180241740.0,208432940.0
2097.0,527869920.0,368185180.0,111488376.0,249687230.0,212095380.0
2098.0,339055200.0,327995600.0,103253660.0,250606050.0,210142290.0
2099.0,327755420.0,324425250.0,103607224.0,318485920.0,224736800.0
2100.0,438923330.0,322741800.0,111040230.0,236690690.0,215585630.0
