time,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR
2000.0,49990950000.0,49990950000.0,49990950000.0,49990950000.0
2001.0,49940525000.0,49940525000.0,49940525000.0,49940525000.0
2002.0,49712198000.0,49712198000.0,49712198000.0,49712198000.0
2003.0,49917313000.0,49917313000.0,49917313000.0,49917313000.0
2004.0,50970206000.0,50970206000.0,50970206000.0,50970206000.0
2005.0,50624913000.0,50624913000.0,50624913000.0,50624913000.0
2006.0,50596426000.0,50596426000.0,50596426000.0,50596426000.0
2007.0,49998020000.0,49998020000.0,49998020000.0,49998020000.0
2008.0,49719054000.0,49719054000.0,49719054000.0,49719054000.0
2009.0,49656672000.0,49656672000.0,49656672000.0,49656672000.0
2010.0,49692795000.0,49692795000.0,49692795000.0,49692795000.0
2011.0,50927860000.0,50927860000.0,50927860000.0,50927860000.0
2012.0,49707140000.0,49707140000.0,49707140000.0,49707140000.0
2013.0,49405780000.0,49405780000.0,49405780000.0,49405780000.0
2014.0,49360364000.0,49360364000.0,49360364000.0,49360364000.0
2015.0,49305432000.0,49305432000.0,49305432000.0,49305432000.0
2016.0,49249296000.0,49249296000.0,49249296000.0,49249296000.0
2017.0,49184297000.0,49184297000.0,49184297000.0,49184297000.0
2018.0,49240580000.0,49240580000.0,49240580000.0,49240580000.0
2019.0,49375457000.0,49375457000.0,49375457000.0,49375457000.0
2020.0,49128990000.0,49128990000.0,49128990000.0,49128990000.0
2021.0,48570847000.0,48719696000.0,48808410000.0,48729907000.0
2022.0,48132420000.0,48873850000.0,48767877000.0,48325042000.0
2023.0,47804183000.0,48142970000.0,48169955000.0,48172843000.0
2024.0,47767286000.0,47947297000.0,48016085000.0,47946027000.0
2025.0,47270453000.0,47600538000.0,47657538000.0,47892374000.0
2026.0,46826615000.0,47277457000.0,47500560000.0,47466398000.0
2027.0,46384480000.0,46905990000.0,47394610000.0,47386430000.0
2028.0,45849305000.0,46488700000.0,46938690000.0,46949675000.0
2029.0,45311275000.0,46208143000.0,46914750000.0,46749106000.0
2030.0,45107710000.0,45868160000.0,46363775000.0,46525910000.0
2031.0,44272300000.0,45395160000.0,46177444000.0,46122496000.0
2032.0,43503526000.0,45039358000.0,46146960000.0,45713480000.0
2033.0,42793513000.0,44613247000.0,45604650000.0,45298156000.0
2034.0,42202526000.0,44006777000.0,45030957000.0,44968160000.0
2035.0,41283936000.0,43487610000.0,44572578000.0,44639576000.0
2036.0,40621060000.0,43096710000.0,44285070000.0,44358836000.0
2037.0,39761076000.0,42427503000.0,43900940000.0,43985527000.0
2038.0,38864880000.0,41799344000.0,43430416000.0,43502604000.0
2039.0,38072463000.0,41272380000.0,43260400000.0,42859960000.0
2040.0,37221820000.0,40650010000.0,43386008000.0,42558940000.0
2041.0,36389510000.0,40059417000.0,42619190000.0,41717280000.0
2042.0,35446526000.0,39513180000.0,42319147000.0,41217356000.0
2043.0,34682434000.0,39043965000.0,42017970000.0,40707060000.0
2044.0,33931528000.0,38445486000.0,41611743000.0,40170360000.0
2045.0,33218302000.0,37976064000.0,41592726000.0,39827493000.0
2046.0,32444627000.0,37994766000.0,40999092000.0,39091737000.0
2047.0,31668200000.0,37330317000.0,40715006000.0,38436327000.0
2048.0,32486175000.0,36737330000.0,40630610000.0,38170800000.0
2049.0,30837774000.0,36231455000.0,39959220000.0,37416387000.0
2050.0,29969742000.0,35918360000.0,39508525000.0,36852050000.0
2051.0,29283609000.0,35393876000.0,39535070000.0,36187247000.0
2052.0,29732430000.0,35141906000.0,39075643000.0,35618943000.0
2053.0,28347929000.0,35246800000.0,38522630000.0,35217710000.0
2054.0,27729140000.0,34406140000.0,38342330000.0,34801603000.0
2055.0,27130040000.0,33901036000.0,37857985000.0,34288566000.0
2056.0,27110926000.0,33533405000.0,37330100000.0,33731550000.0
2057.0,26272910000.0,33063035000.0,36974838000.0,33712138000.0
2058.0,25808214000.0,32771445000.0,36563820000.0,32832164000.0
2059.0,25497518000.0,32161220000.0,36149277000.0,32391813000.0
2060.0,24779980000.0,31704058000.0,35810320000.0,31945380000.0
2061.0,24156504000.0,31600640000.0,36565393000.0,31607103000.0
2062.0,23764838000.0,31090799000.0,35420300000.0,31697200000.0
2063.0,23332704000.0,31326749000.0,36766392000.0,30932517000.0
2064.0,22902591000.0,32896016000.0,35038507000.0,30754691000.0
2065.0,22459292000.0,30851279000.0,35073077000.0,29996294000.0
2066.0,22341140000.0,30579841000.0,35003960000.0,30323108000.0
2067.0,21877154000.0,30341090000.0,34493817000.0,29852041000.0
2068.0,21533910000.0,30220143000.0,35538223000.0,29181050000.0
2069.0,21124213000.0,29634062000.0,34985110000.0,28883753000.0
2070.0,20770734000.0,29398710000.0,34741617000.0,29134297000.0
2071.0,22075675000.0,29755972000.0,35308520000.0,28281844000.0
2072.0,20391225000.0,29248825000.0,33726448000.0,27753003000.0
2073.0,20059490000.0,28643193000.0,33204842000.0,27562136000.0
2074.0,19661758000.0,29823162000.0,33718950000.0,27304581000.0
2075.0,19623246000.0,28118866000.0,34569060000.0,27783240000.0
2076.0,19511745000.0,28718848000.0,33593332000.0,26923289000.0
2077.0,19727430000.0,28656824000.0,32929399000.0,27130802000.0
2078.0,18784782000.0,28286271000.0,33152332000.0,26597026000.0
2079.0,18521481000.0,27907938000.0,34577474000.0,26042667000.0
2080.0,18199964000.0,29298270000.0,36096078000.0,25968316000.0
2081.0,17966283000.0,28038988000.0,35483718000.0,26381590000.0
2082.0,17751097000.0,28001139000.0,34684408000.0,25800135000.0
2083.0,17505278000.0,27760613000.0,33867510000.0,25410427000.0
2084.0,17875520000.0,27715293000.0,33216336000.0,25265551000.0
2085.0,17213178000.0,26739413000.0,33583930000.0,25094840000.0
2086.0,16990475000.0,28268333000.0,32901435000.0,25164476000.0
2087.0,16765458000.0,27309814000.0,32452657000.0,26757839000.0
2088.0,16636217000.0,27177458000.0,32529517000.0,25456980000.0
2089.0,16419169000.0,26754190000.0,33427370000.0,24710595000.0
2090.0,16299463000.0,26211695000.0,33163831000.0,24244707000.0
2091.0,16931042000.0,27135599000.0,32606188000.0,24734665000.0
2092.0,16512302000.0,27574170000.0,32666630000.0,24069240000.0
2093.0,16041353000.0,26330710000.0,31793392000.0,23599428000.0
2094.0,15779669000.0,26366520000.0,31473700000.0,24705847000.0
2095.0,15943075000.0,25789780000.0,33300832000.0,24388237000.0
2096.0,15471611000.0,27553452000.0,31820710000.0,24455358000.0
2097.0,15355335000.0,26678921000.0,31336444000.0,24199545000.0
2098.0,15289183000.0,29376985000.0,31303174000.0,23432327000.0
2099.0,15280343000.0,27695452000.0,32461812000.0,24040100000.0
2100.0,15496812000.0,27282715000.0,31746093000.0,24071166000.0
