time,CANESM5,EC-EARTH3,MRI-ESM2-0,KACE-1-0-G,IPSL-CM6A-LR,TAIESM1,UKESM1-0-LL,CNRM-ESM2-1,GFDL-ESM4,CESM2-WACCM,CNRM-CM6-1,MIROC6,MPI-ESM1-2-HR
2000.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0
2001.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0
2002.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0
2003.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0
2004.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0
2005.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0
2006.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0
2007.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0
2008.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0
2009.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0
2010.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0
2011.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0
2012.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0
2013.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0
2014.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0
2015.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0
2016.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0
2017.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0
2018.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0
2019.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0
2020.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0
2021.0,2019839900.0,2045676400.0,2040586500.0,2037480800.0,2034241800.0,2010450400.0,2023102700.0,2055258200.0,2038712600.0,2045201500.0,2026367200.0,2041330300.0,2053573500.0
2022.0,1975780000.0,2004828000.0,2006717200.0,2002977400.0,1986558800.0,1969988500.0,1979200900.0,2005510800.0,1993049600.0,2001788200.0,1983265000.0,1987029200.0,2036342800.0
2023.0,1914395500.0,1942546000.0,1952556000.0,1968688600.0,1957803000.0,1920667900.0,1940341200.0,1964670500.0,1945080700.0,1950539600.0,1935632300.0,1936816100.0,2016045300.0
2024.0,1828427600.0,1863909000.0,1901849900.0,1913225600.0,1916531300.0,1857804800.0,1891687400.0,1926906200.0,1916427500.0,1905273100.0,1870060000.0,1913034400.0,1977659100.0
2025.0,1751074200.0,1822319200.0,1854016400.0,1870267400.0,1876226000.0,1792950300.0,1816924700.0,1897631100.0,1872901400.0,1826270000.0,1820050700.0,1892595600.0,1961285000.0
2026.0,1641878500.0,1763499000.0,1799414900.0,1828721700.0,1806259000.0,1703642500.0,1700655000.0,1846320300.0,1807462900.0,1762912600.0,1737817900.0,1845674400.0,1928150800.0
2027.0,1550868400.0,1648049200.0,1720555900.0,1761435800.0,1752598400.0,1603372500.0,1590052000.0,1793599500.0,1749606800.0,1696912000.0,1664729100.0,1798556000.0,1891413200.0
2028.0,1429126000.0,1513233300.0,1630507400.0,1723689100.0,1695907000.0,1532475000.0,1475273700.0,1726943400.0,1698739300.0,1612897500.0,1604820000.0,1744017700.0,1835291900.0
2029.0,1286946600.0,1451935100.0,1544694300.0,1655374200.0,1617909900.0,1465004900.0,1332570600.0,1662419200.0,1637810600.0,1503088100.0,1527795300.0,1719048200.0,1788333700.0
2030.0,1195836300.0,1385015300.0,1475140700.0,1577404200.0,1505559600.0,1385557800.0,1258303600.0,1629681500.0,1566373200.0,1424160600.0,1466795400.0,1688546200.0,1754249200.0
2031.0,1099147300.0,1292536000.0,1415704800.0,1537781000.0,1423955000.0,1291171000.0,1159046700.0,1550878000.0,1508884100.0,1373777900.0,1390752800.0,1654366700.0,1690629100.0
2032.0,1015076000.0,1239755900.0,1348340200.0,1474544500.0,1371347500.0,1232953200.0,1011485100.0,1477956000.0,1458539100.0,1281111200.0,1329545700.0,1623383900.0,1626109300.0
2033.0,954943600.0,1191778700.0,1301181400.0,1417719700.0,1308181400.0,1184479200.0,918922400.0,1407390300.0,1387121200.0,1220989800.0,1280900000.0,1595608800.0,1557429900.0
2034.0,904249700.0,1112142800.0,1282224300.0,1372244400.0,1241006100.0,1128692900.0,865980600.0,1359605800.0,1324979500.0,1187421700.0,1238012000.0,1571078500.0,1470425600.0
2035.0,840804800.0,1070533400.0,1232731500.0,1305716900.0,1184511700.0,1085325800.0,787875840.0,1267504500.0,1269260000.0,1170688000.0,1188151000.0,1534693000.0,1397831400.0
2036.0,782628030.0,1062473100.0,1189376600.0,1244825000.0,1111649400.0,1033271360.0,730121900.0,1213834900.0,1225124400.0,1151431700.0,1163939300.0,1504162400.0,1340586000.0
2037.0,724395300.0,1059885500.0,1157012200.0,1185547500.0,1056229760.0,971303000.0,684366400.0,1323764500.0,1158778900.0,1137025900.0,1124233000.0,1475799600.0,1291142900.0
2038.0,668550900.0,1018885000.0,1122358800.0,1129144300.0,1019053400.0,938882750.0,638329600.0,1213949700.0,1095613300.0,1087094900.0,1101695200.0,1434531100.0,1256075000.0
