time,TAIESM1,CESM2-WACCM,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,KACE-1-0-G,IITM-ESM,UKESM1-0-LL
2000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0,29589094000.0
2001.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0,29937640000.0
2002.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0,29636300000.0
2003.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0,30166610000.0
2004.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0,29787888000.0
2005.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0,29425684000.0
2006.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0,29436723000.0
2007.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0,29362459000.0
2008.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0,29292403000.0
2009.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0,29193716000.0
2010.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0,29138534000.0
2011.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0,29060813000.0
2012.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0,29027854000.0
2013.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0,28824920000.0
2014.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0,28695431000.0
2015.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0,28840614000.0
2016.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0,28712640000.0
2017.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0,28523026000.0
2018.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0,28408541000.0
2019.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0,28335081000.0
2020.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0,28316370000.0
2021.0,28122507000.0,28248826000.0,28077435000.0,28121571000.0,28130500000.0,28636750000.0,28187372000.0,28113020000.0,28076757000.0
2022.0,28015036000.0,28061592000.0,28029426000.0,28084638000.0,28004430000.0,28541862000.0,28236118000.0,28100973000.0,27984855000.0
2023.0,27944990000.0,27884052000.0,27890602000.0,27931410000.0,27953793000.0,28249076000.0,27963390000.0,27749919000.0,27984163000.0
2024.0,27860042000.0,27756790000.0,27699945000.0,27799734000.0,27973702000.0,28047985000.0,27809864000.0,27536155000.0,27757355000.0
2025.0,27951282000.0,27575063000.0,27772109000.0,27871066000.0,27639484000.0,28199193000.0,27667255000.0,27297903000.0,27629582000.0
2026.0,27554714000.0,27444292000.0,27947893000.0,27556608000.0,27448556000.0,27942926000.0,27457624000.0,26969334000.0,27494668000.0
2027.0,27332559000.0,27377455000.0,27649892000.0,27376410000.0,27246199000.0,28011895000.0,27324393000.0,26687007000.0,27256732000.0
2028.0,27107688000.0,27129029000.0,27496413000.0,27168285000.0,27455222000.0,27692882000.0,27042460000.0,26355272000.0,27077566000.0
2029.0,26954095000.0,27118619000.0,27270631000.0,26936586000.0,27045660000.0,27690363000.0,26913524000.0,25965089000.0,26766715000.0
2030.0,27030327000.0,26618341000.0,27537113000.0,26904660000.0,26873788000.0,27454202000.0,26722327000.0,25634427000.0,26439502000.0
2031.0,26575229000.0,26406543000.0,27342182000.0,26675067000.0,27059608000.0,27248260000.0,26737498000.0,25230694000.0,26299840000.0
2032.0,26253470000.0,26350300000.0,27329200000.0,26491464000.0,26568590000.0,27187507000.0,26500758000.0,24921512000.0,25990970000.0
2033.0,25951035000.0,26137283000.0,27032711000.0,26389946000.0,26497532000.0,27105057000.0,26104797000.0,24717033000.0,25672258000.0
