time,EC-EARTH3,CNRM-CM6-1,MPI-ESM1-2-HR,CESM2-WACCM,GFDL-ESM4,MIROC6,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR,TAIESM1,KACE-1-0-G,MRI-ESM2-0,CANESM5
2000.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0,712873980500.0
2001.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0,712976132700.0
2002.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0,711878026500.0
2003.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0,711339485100.0
2004.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0,711865512100.0
2005.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0,711065531700.0
2006.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0,711160268900.0
2007.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0,710007796900.0
2008.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0,709040832300.0
2009.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0,709095686400.0
2010.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0,707214251300.0
2011.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0,708273214500.0
2012.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0,706667527400.0
2013.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0,706644659300.0
2014.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0,707437442400.0
2015.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0,705427737200.0
2016.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0,706478475400.0
2017.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0,702620950800.0
2018.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0,702563006700.0
2019.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0,703601981200.0
2020.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0,700851283600.0
2021.0,697867688900.0,700789228100.0,700154506100.0,700194592400.0,700328629600.0,699309618300.0,699299290800.0,698805397300.0,698973758500.0,698574547800.0,700969988800.0,699306008000.0,698697286800.0
2022.0,696299378150.0,699096533300.0,701285720650.0,699485967700.0,700036809700.0,700373687400.0,696714282860.0,698779881450.0,699165760800.0,696752891040.0,699113171400.0,698334560190.0,695939773100.0
2023.0,693791696660.0,697034897300.0,698413438700.0,697650739850.0,697214793900.0,697642702900.0,694975066250.0,696030817800.0,698030625200.0,695292904550.0,697044084200.0,696649524450.0,693929650900.0
2024.0,691111434900.0,697426115640.0,696600791000.0,696432797940.0,695473252150.0,694831968200.0,693134285440.0,694699873260.0,697527808700.0,693455385000.0,694115741350.0,695034651640.0,690986017900.0
2025.0,689148940500.0,695423080450.0,695303591730.0,692924405360.0,694125553700.0,692767131600.0,690841890770.0,695927646740.0,694546174160.0,691787169940.0,694767934700.0,694925230840.0,687640482660.0
2026.0,688262324500.0,692635120700.0,694096005040.0,692728275400.0,692596941100.0,692341829700.0,687593847040.0,692497590800.0,693173824240.0,690581402270.0,690047267360.0,692070332600.0,684145756060.0
2027.0,683645573360.0,692169336350.0,693083724100.0,689445992900.0,690445640060.0,690424197300.0,685005462900.0,691320373100.0,691128668800.0,688244045760.0,687333605460.0,689314745750.0,680634152200.0
2028.0,680534491800.0,691035001200.0,690500125140.0,688501548240.0,689678417740.0,689145272800.0,682028287350.0,690434825800.0,689716838500.0,686594997500.0,683157628300.0,687636772840.0,676711036040.0
2029.0,676336726900.0,687474324140.0,689055079120.0,685674961750.0,688572188800.0,686328489860.0,678069118600.0,686860200020.0,687566982460.0,683676093000.0,679978329260.0,684299081860.0,671577130240.0
2030.0,672525504300.0,685732420600.0,688631950900.0,683035371760.0,685839774100.0,683990311360.0,674736097120.0,685032525860.0,685443375240.0,680249680040.0,676487337100.0,683380143800.0,667270387500.0
2031.0,669225123500.0,685291955840.0,687663398800.0,681737357040.0,683495711650.0,685329603960.0,671271528100.0,685612666990.0,682791092640.0,678421475910.0,673174872350.0,679415594900.0,662659759100.0
2032.0,665757405300.0,683665562000.0,686249599400.0,679129452600.0,681747269320.0,682105932500.0,666312329200.0,682298751400.0,685246704200.0,675036638080.0,671151606700.0,677635713200.0,657412261940.0
2033.0,662086709230.0,680605552200.0,683163393600.0,676223843840.0,681890450710.0,680820335200.0,661334754200.0,678621484600.0,679424167840.0,671652157600.0,667324526940.0,676435690260.0,653742546140.0
2034.0,656051184160.0,678732369590.0,682628321360.0,674661031950.0,678823028060.0,677549509600.0,656736178040.0,677574266260.0,675600728300.0,668696870550.0,663296140070.0,672711449550.0,647950102760.0
2035.0,652205152400.0,676331511760.0,680582429100.0,672843148400.0,678110053460.0,674684203900.0,652632127560.0,676933434760.0,674377410200.0,665442911300.0,659961418540.0,670066676560.0,642034496000.0
2036.0,647278061600.0,674174592500.0,678580008150.0,669671856450.0,674561105700.0,671155811760.0,646642210000.0,672837223300.0,670612907400.0,662535016260.0,655323376180.0,667275546700.0,636623419570.0
2037.0,641818920140.0,671264423750.0,675348012910.0,666758684400.0,673179145850.0,668420466070.0,641483565280.0,671713577050.0,667487248510.0,659737008450.0,652944403040.0,663989275450.0,631164345500.0
2038.0,637039299100.0,670521321600.0,673531913040.0,664988498300.0,670336379050.0,667708702400.0,636480114390.0,669369899200.0,665217033200.0,655038676150.0,649057226400.0,661978309600.0,625183692500.0
2039.0,632053353750.0,670247366360.0,672123123340.0,661443746740.0,667036119960.0,665496978500.0,630643030830.0,671613095300.0,661648989500.0,651252853140.0,643924797300.0,659199207900.0,619290061760.0
2040.0,626584606250.0,666749221790.0,671974067640.0,658800583050.0,665169026900.0,661121363000.0,624909987430.0,667293186660.0,657906842580.0,646951976800.0,640168270810.0,656397240220.0,613029636640.0
2041.0,620318731640.0,666782692920.0,668322352960.0,655634442740.0,663833361400.0,658477537300.0,619966719300.0,667802425470.0,653249353280.0,643660678900.0,636350464140.0,654589591170.0,607914459550.0
2042.0,616346626620.0,660972014100.0,665759130360.0,651495766250.0,661794297600.0,656389038300.0,613136165580.0,662017036930.0,650241662100.0,637907685560.0,632378363610.0,653110408450.0,602298672930.0
2043.0,609971699260.0,658225347550.0,662858483250.0,648406499480.0,658820384100.0,655057762840.0,606663558160.0,660831903800.0,647968103770.0,632826209750.0,628012559190.0,646539837500.0,595647638620.0
2044.0,603765059000.0,657415251190.0,662739891700.0,645667271360.0,655980153100.0,652890780800.0,600651614920.0,656927653300.0,643257905560.0,627522176800.0,623651947600.0,644325983290.0,590386873150.0
2045.0,599035682650.0,651832322760.0,659487700200.0,642068192200.0,653878147560.0,646957634900.0,595056477680.0,651822862030.0,639032559420.0,622821378330.0,619461197810.0,640752640450.0,583641996930.0
2046.0,595378997710.0,648759720260.0,656582098070.0,638644427220.0,650377311700.0,644840383460.0,589275246630.0,649356884940.0,635475612790.0,616942032550.0,616312457200.0,637913476070.0,577876609030.0
2047.0,587803112440.0,644948250350.0,653663620940.0,635950145440.0,648370352140.0,641500100700.0,582896222430.0,648220934200.0,630281082230.0,611902167630.0,611980765480.0,634390372700.0,571654331730.0
2048.0,581549518270.0,642607147600.0,651610671460.0,632007962040.0,645293379390.0,637762581340.0,576005447940.0,644268038920.0,626242823480.0,607393568930.0,606929949780.0,629407704050.0,565474764210.0
2049.0,575557917220.0,639349715000.0,648072655760.0,628981386360.0,643751387000.0,633449262280.0,570420286130.0,642713297100.0,622701075660.0,602623179360.0,601868662710.0,626432410350.0,560336514650.0
2050.0,570804324320.0,636375622600.0,646017929900.0,624750014080.0,640890451410.0,630050982180.0,564739910200.0,638732845650.0,617803880760.0,596548179990.0,597415765200.0,625479359830.0,554240825120.0
2051.0,565012139150.0,634649712900.0,645051825400.0,620646242950.0,637635587700.0,627859165590.0,559067596710.0,636417330500.0,613083214910.0,591003334540.0,592692922180.0,619672832150.0,548205772440.0
2052.0,558697005710.0,629507680180.0,640778047000.0,618180094960.0,635355441960.0,626504844880.0,551690770150.0,633087386620.0,610262253270.0,585719090090.0,588066592370.0,616048107390.0,541833619100.0
2053.0,553516119020.0,625669305160.0,637530853310.0,617461696170.0,633088163230.0,620084537160.0,545708640460.0,631436511540.0,605320964830.0,580314315230.0,583274190250.0,611618222140.0,536430783810.0
2054.0,548593352770.0,623859818250.0,634836958260.0,616985844950.0,629416134000.0,616199923640.0,538328059100.0,626641638560.0,600354494090.0,574645690230.0,578983208570.0,607805653140.0,531082190580.0
2055.0,540551033010.0,617969327570.0,631361004000.0,611644805500.0,625518227870.0,611782557190.0,531411902270.0,623006910990.0,595639329800.0,569212717380.0,574766827110.0,603742181700.0,524493156500.0
2056.0,534058705250.0,614419914240.0,628067157860.0,604988435520.0,623847196420.0,607793882480.0,524580446200.0,618743810810.0,591036478600.0,563151113260.0,570256056640.0,599966064550.0,519946830190.0
2057.0,527390912500.0,611032337540.0,624563199350.0,600288298990.0,622637170710.0,605278630350.0,517635761190.0,618035968100.0,586966792060.0,556206442480.0,567529670310.0,595619882910.0,513715807690.0
2058.0,521023055240.0,608058592100.0,621319815560.0,595244064520.0,617884213220.0,600949847350.0,510837114660.0,613972665000.0,582128442900.0,550143766520.0,561372539030.0,592377881910.0,509397665760.0
2059.0,515855339050.0,604069618520.0,617899347220.0,592240190570.0,613910425940.0,595461439200.0,503475871180.0,608931217170.0,577936193910.0,544342811310.0,556353271540.0,587829284830.0,502910555750.0
2060.0,508594732210.0,599544590390.0,613473277740.0,588760061730.0,612575838680.0,594262554820.0,496646829890.0,604944808140.0,572656536110.0,537522160190.0,552002556680.0,585469479200.0,497844175900.0
2061.0,502415982040.0,594720276420.0,610173229540.0,583781461170.0,607295809220.0,589464468560.0,489825623540.0,601209967530.0,568151771250.0,530538613840.0,546595760120.0,580210147870.0,492161132790.0
2062.0,496702427360.0,590230654340.0,608973651890.0,579766734020.0,604130561420.0,586592011080.0,482750047110.0,597724616850.0,563584134240.0,524574367870.0,541437255890.0,577457777910.0,486129821470.0
2063.0,489519697320.0,587833460940.0,606154371170.0,574976099060.0,600446304550.0,581177093450.0,476158961360.0,595701272040.0,558584972270.0,518912026710.0,535940861100.0,572389740300.0,481199059660.0
2064.0,484036143870.0,582905298460.0,602833655140.0,570450345030.0,597367180330.0,577277464920.0,470140831930.0,589806454160.0,553117468910.0,514257453210.0,530802801650.0,571929164030.0,476033755080.0
2065.0,478647762370.0,578094189450.0,598152028450.0,565707869160.0,594449429500.0,572701593130.0,464058268340.0,585965693750.0,547735887500.0,506481059520.0,526311924110.0,565707888990.0,470427574210.0
2066.0,472117066840.0,572976844780.0,594530075350.0,561765959460.0,590543135810.0,568846879170.0,457626074884.0,581457542050.0,543153664970.0,500446460070.0,523079184750.0,561756345580.0,464984193340.0
2067.0,465417989110.0,568552885810.0,592171757090.0,557652899690.0,587414758600.0,565174962350.0,450998321184.0,577036848000.0,538280378790.0,494715879000.0,518457755890.0,557011347410.0,459379794980.0
2068.0,459248653390.0,563961729190.0,589194577940.0,552956752720.0,585242484930.0,561284721310.0,444109567100.0,578227981770.0,534228833580.0,488670594960.0,513275106280.0,552100672590.0,454513838960.0
2069.0,453334842070.0,559942561410.0,585266796740.0,549687422660.0,580334333500.0,557397796040.0,437086062230.0,570084217070.0,529272860070.0,482317807910.0,509306440554.0,549718330190.0,448775039060.0
2070.0,447424820350.0,555689259080.0,581194057490.0,544035152080.0,578119140010.0,553133483180.0,430731204540.0,565387508590.0,524959814920.0,474897053680.0,504081100120.0,544240643830.0,443350915564.0
2071.0,441444810780.0,551853658660.0,577201902890.0,539835559560.0,574125391540.0,550366736220.0,422989668564.0,563439152210.0,519870176100.0,468233011590.0,499729207260.0,538616154620.0,438513315610.0
2072.0,435946509420.0,544865429160.0,574239108930.0,534985184450.0,570735693790.0,544324785900.0,415364661420.0,555809381480.0,514889037840.0,461201275940.0,494874603414.0,534177838890.0,433469948340.0
2073.0,429782061420.0,541198828420.0,571017042480.0,530023751540.0,568357826320.0,539933610660.0,408640340720.0,551227157330.0,511160577510.0,455316328520.0,490937875430.0,529846153410.0,428886311150.0
2074.0,423998140390.0,535716290500.0,568088024840.0,525809271020.0,563718278140.0,534591854910.0,402431664118.0,546383996020.0,505342183680.0,448424110330.0,485609116870.0,524981701080.0,423665254050.0
2075.0,418579815460.0,529420581520.0,564444460790.0,521688601700.0,559884940600.0,530291820650.0,396095172922.0,541576572060.0,500225687370.0,442275495230.0,481378638930.0,521580459650.0,418971983606.0
2076.0,412299756424.0,523641270890.0,560655438790.0,515683897920.0,559006730650.0,525469133310.0,389101052486.0,536512953020.0,495197127670.0,435656328310.0,477786647720.0,515979121390.0,413761505100.0
2077.0,406632518820.0,517893562370.0,557547728040.0,511361259450.0,552148418790.0,521031240250.0,382481638356.0,530152040610.0,489680625380.0,427950446670.0,473439939070.0,511220260490.0,409534177944.0
2078.0,400433581780.0,512110675560.0,554038456150.0,507725693950.0,549076277970.0,516374004850.0,376040711028.0,524877767380.0,484644156330.0,421495122840.0,467768088300.0,506667962510.0,405342228890.0
2079.0,393587414200.0,511451176300.0,549905704510.0,502320020700.0,546054185910.0,511864076090.0,369924057732.0,518439812180.0,480357133410.0,413860802040.0,462731271500.0,502337270510.0,400436547540.0
2080.0,386305603880.0,501706440680.0,546701091770.0,497861219780.0,542316706350.0,507651044480.0,363592438640.0,512004172720.0,474660219560.0,406884806980.0,458405816424.0,498099162160.0,395246252944.0
2081.0,379752187246.0,495498946060.0,544370089850.0,493503460150.0,538705040070.0,503220331060.0,357328436586.0,506172397380.0,469000658540.0,400663960610.0,453406346010.0,494171546870.0,389949413310.0
2082.0,373674770736.0,489428665230.0,542726579010.0,489199130480.0,535268998360.0,498262501380.0,350941514982.0,500106185190.0,463311163284.0,393846470084.0,448860433372.0,489591240150.0,385461660370.0
2083.0,368679903184.0,483977467980.0,538782148630.0,483773816200.0,531780688130.0,494470333090.0,343938412904.0,494458628150.0,457946824270.0,387307473790.0,443944865540.0,484705430750.0,380517735106.0
2084.0,362338798114.0,477770162320.0,535742812480.0,479052686570.0,527922877540.0,490205847180.0,338001280674.0,489093516280.0,452496469450.0,380109164166.0,439942606814.0,481052264250.0,375843882874.0
2085.0,356801654900.0,470199313060.0,532479755180.0,474256583690.0,524000968280.0,486248159870.0,331242946604.0,483753017220.0,447544972990.0,374279157886.0,434976632830.0,476382159990.0,371203767882.0
2086.0,350862581370.0,463053807380.0,529230012500.0,468685853150.0,521135019420.0,481265184360.0,325974911682.0,477606923586.0,441609275424.0,367917467976.0,430084218740.0,471643617700.0,366055752982.0
2087.0,344634390144.0,455969022210.0,525128749610.0,463239679960.0,517031838110.0,475859951870.0,318632733764.0,470878948864.0,435926577450.0,360761476000.0,425170851094.0,467090211520.0,360918635462.0
2088.0,339644665542.0,448790412020.0,522825208790.0,458416140140.0,513327369180.0,471933190570.0,311558968162.0,464465413720.0,429735300300.0,353287744316.0,420266109244.0,462454443300.0,356623594354.0
2089.0,333882234990.0,440983671726.0,518115025920.0,452639328420.0,510202182970.0,467482360930.0,305908646612.0,458165805740.0,423841370930.0,347665133992.0,415192084174.0,459169741410.0,352059154164.0
2090.0,327427849116.0,433763260230.0,515289424890.0,447669338206.0,508139031470.0,462979777940.0,300069211344.0,451330204710.0,418429335690.0,341310997506.0,410264060312.0,454318560800.0,347517229352.0
2091.0,321587436374.0,426157268470.0,513052077720.0,443583503040.0,503202012330.0,458538499450.0,294990335444.0,444930072070.0,412424190900.0,334775171540.0,405400228530.0,451000685880.0,342949909944.0
2092.0,315512150974.0,419818616796.0,508398576760.0,437034140130.0,500218635060.0,454239907500.0,289001202335.0,440054480330.0,407311372596.0,327130904196.0,401871965290.0,446346303620.0,338281163654.0
2093.0,309230686410.0,412236756230.0,504605851510.0,432222399860.0,495803743290.0,452483883260.0,283155080869.0,432195155300.0,400905082760.0,320941634426.0,395572662530.0,440285772340.0,333660774866.0
2094.0,303129412222.0,405808461040.0,501331737140.0,426877416680.0,492868483930.0,445615039280.0,277392666888.0,425047991800.0,394703598150.0,314269384866.0,390808363790.0,436076120920.0,328924633186.0
2095.0,297574884430.0,398128841980.0,498971663280.0,421197459430.0,488203235020.0,442278243510.0,270635822284.0,417578164450.0,388843416158.0,308249282492.0,388039082652.0,432363870490.0,324403941652.0
2096.0,292446172750.0,390576739390.0,495126325900.0,416488917666.0,485331569880.0,438359341360.0,264349810939.0,410475944096.0,382445202962.0,301508744092.0,381744781202.0,427648251380.0,320177503744.0
2097.0,286755275922.0,383381796892.0,493283421020.0,410864487426.0,482078130820.0,434259140314.0,258933214075.0,403862372350.0,376608185884.0,294620481310.0,376603143712.0,423508899320.0,315477758776.0
