time,MPI-ESM-LR,GISS-E2-R,CNRM-CM5,GFDL-CM3,CANESM2,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G
2000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0
2001.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0
2002.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0
2003.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0
2004.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0
2005.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0
2006.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0
2007.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0
2008.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0
2009.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0
2010.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0
2011.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0
2012.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0
2013.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0
2014.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0
2015.0,26835367000000.0,26835367000000.0,26835367000000.0,26835367000000.0,26835367000000.0,26835367000000.0,26835367000000.0,26835367000000.0,26835367000000.0,26835367000000.0
2016.0,26746141000000.0,26746141000000.0,26746141000000.0,26746141000000.0,26746141000000.0,26746141000000.0,26746141000000.0,26746141000000.0,26746141000000.0,26746141000000.0
2017.0,26736853000000.0,26736853000000.0,26736853000000.0,26736853000000.0,26736853000000.0,26736853000000.0,26736853000000.0,26736853000000.0,26736853000000.0,26736853000000.0
2018.0,26719212000000.0,26719212000000.0,26719212000000.0,26719212000000.0,26719212000000.0,26719212000000.0,26719212000000.0,26719212000000.0,26719212000000.0,26719212000000.0
2019.0,26728198000000.0,26728198000000.0,26728198000000.0,26728198000000.0,26728198000000.0,26728198000000.0,26728198000000.0,26728198000000.0,26728198000000.0,26728198000000.0
2020.0,26745030000000.0,26745030000000.0,26745030000000.0,26745030000000.0,26745030000000.0,26745030000000.0,26745030000000.0,26745030000000.0,26745030000000.0,26745030000000.0
2021.0,26632843000000.0,26676315000000.0,26658455000000.0,26665500000000.0,26693245000000.0,26661175000000.0,26768033000000.0,26645654000000.0,26720294000000.0,26650950000000.0
2022.0,26664470000000.0,26565878000000.0,26522048000000.0,26648016000000.0,26592758000000.0,26598787000000.0,26740393000000.0,26656947000000.0,26651883000000.0,26632442000000.0
2023.0,26627040000000.0,26504570000000.0,26495148000000.0,26631647000000.0,26514962000000.0,26626344000000.0,26797600000000.0,26692880000000.0,26608662000000.0,26568559000000.0
2024.0,26624322000000.0,26351206000000.0,26443277000000.0,26570840000000.0,26486510000000.0,26621065000000.0,26808515000000.0,26633690000000.0,26572474000000.0,26544544000000.0
2025.0,26584824000000.0,26338317000000.0,26397377000000.0,26480006000000.0,26417687000000.0,26613406000000.0,26782294000000.0,26669180000000.0,26521180000000.0,26442388000000.0
2026.0,26613446000000.0,26310225000000.0,26390494000000.0,26393210000000.0,26422802000000.0,26604663000000.0,26791268000000.0,26580607000000.0,26477515000000.0,26327342000000.0
2027.0,26551140000000.0,26245677000000.0,26311210000000.0,26331497000000.0,26365090000000.0,26553612000000.0,26684217000000.0,26486230000000.0,26382090000000.0,26255148000000.0
2028.0,26477320000000.0,26263012000000.0,26320981000000.0,26235883000000.0,26300522000000.0,26474908000000.0,26600159000000.0,26467195000000.0,26340923000000.0,26238542000000.0
2029.0,26444190000000.0,26299120000000.0,26203539000000.0,26112644000000.0,26168349000000.0,26405335000000.0,26555567000000.0,26473449000000.0,26239956000000.0,26161063000000.0
2030.0,26418720000000.0,26223529000000.0,26096379000000.0,25996844000000.0,26087392000000.0,26391039000000.0,26586322000000.0,26457133000000.0,26094678000000.0,26135895000000.0
2031.0,26337710000000.0,26182794000000.0,25965852000000.0,25915190000000.0,26033363000000.0,26351554000000.0,26604598000000.0,26489028000000.0,26038745000000.0,26069084000000.0
2032.0,26262372000000.0,26119242000000.0,25859377000000.0,25821459000000.0,25996317000000.0,26325161000000.0,26583583000000.0,26461325000000.0,25937560000000.0,26037916000000.0
2033.0,26210699000000.0,26094220000000.0,25836103000000.0,25741800000000.0,25929506000000.0,26255567000000.0,26462086000000.0,26400359000000.0,25885118000000.0,25980861000000.0
2034.0,26142671000000.0,25996367000000.0,25728209000000.0,25724528000000.0,25834232000000.0,26201198000000.0,26458645000000.0,26381740000000.0,25769699000000.0,25953200000000.0
2035.0,26125877000000.0,26004746000000.0,25625736000000.0,25675862000000.0,25771656000000.0,26131464000000.0,26360825000000.0,26308222000000.0,25737348000000.0,25883048000000.0
2036.0,26110146000000.0,26000340000000.0,25535527000000.0,25613392000000.0,25731472000000.0,26077043000000.0,26359538000000.0,26175305000000.0,25639850000000.0,25873644000000.0
2037.0,26099856000000.0,25908629000000.0,25433463000000.0,25548930000000.0,25679005000000.0,26100439000000.0,26262785000000.0,26133955000000.0,25574926000000.0,25831215000000.0
2038.0,25944018000000.0,25798931000000.0,25304897000000.0,25441736000000.0,25643958000000.0,26010198000000.0,26145580000000.0,26042178000000.0,25547608000000.0,25743931000000.0
2039.0,25897734000000.0,25747870000000.0,25240384000000.0,25384926000000.0,25520710000000.0,25960206000000.0,26150038000000.0,26005914000000.0,25477207000000.0,25691108000000.0
2040.0,25837617000000.0,25712700000000.0,25093800000000.0,25306014000000.0,25418912000000.0,25940330000000.0,26147815000000.0,25916808000000.0,25447897000000.0,25624863000000.0
2041.0,25749992000000.0,25632163000000.0,25082798000000.0,25206708000000.0,25325460000000.0,25845408000000.0,26128704000000.0,25850794000000.0,25377867000000.0,25504304000000.0
2042.0,25764292000000.0,25584110000000.0,24948848000000.0,25114647000000.0,25179990000000.0,25806852000000.0,26018134000000.0,25777138000000.0,25348362000000.0,25456682000000.0
2043.0,25717211000000.0,25504204000000.0,24801054000000.0,25029887000000.0,25114284000000.0,25709125000000.0,25947546000000.0,25628011000000.0,25239747000000.0,25427978000000.0
2044.0,25557763000000.0,25425640000000.0,24703368000000.0,24851325000000.0,25014923000000.0,25623855000000.0,25912140000000.0,25530118000000.0,25210190000000.0,25352490000000.0
2045.0,25487527000000.0,25216485000000.0,24598528000000.0,24744930000000.0,24916087000000.0,25487355000000.0,25834360000000.0,25521377000000.0,25093233000000.0,25280056000000.0
2046.0,25421310000000.0,25083830000000.0,24511406000000.0,24585030000000.0,24729400000000.0,25449055000000.0,25856544000000.0,25515444000000.0,25044124000000.0,25176222000000.0
2047.0,25360320000000.0,24989440000000.0,24455296000000.0,24469913000000.0,24689714000000.0,25432859000000.0,25736547000000.0,25393147000000.0,24916638000000.0,25069762000000.0
