time,GFDL-ESM2G,GFDL-CM3,CESM1-CAM5,CNRM-CM5,GISS-E2-R,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR,CCSM4
2000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0
2001.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0
2002.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0
2003.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0
2004.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0
2005.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0
2006.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0
2007.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0
2008.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0
2009.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0
2010.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0
2011.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0
2012.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0
2013.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0
2014.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0
2015.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0
2016.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0
2017.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0
2018.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0
2019.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0
2020.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0
2021.0,8101693000000.0,8059997000000.0,8082755700000.0,8101402000000.0,8110726400000.0,8107079500000.0,8078976600000.0,8107498000000.0,8090327400000.0,8106805000000.0,8116004000000.0
2022.0,8059898300000.0,7991405000000.0,8021060600000.0,8069585000000.0,8087308000000.0,8067743000000.0,8037825000000.0,8066194500000.0,8062996000000.0,8058876000000.0,8086920000000.0
2023.0,8025420600000.0,7907580600000.0,7948095500000.0,8031090000000.0,8053078000000.0,8045078000000.0,8010587000000.0,8037696300000.0,8014138000000.0,8008396000000.0,8065158500000.0
2024.0,7995725000000.0,7836047000000.0,7859953700000.0,7980241600000.0,8017611300000.0,8006755400000.0,7980195000000.0,8008523000000.0,7964897000000.0,7980421500000.0,8050685000000.0
2025.0,7969399000000.0,7756877700000.0,7761546000000.0,7960098000000.0,7989616000000.0,7971438300000.0,7920543000000.0,7983312000000.0,7907868400000.0,7942838400000.0,8039717000000.0
2026.0,7938565500000.0,7677269000000.0,7698802000000.0,7910892500000.0,7945112000000.0,7933276000000.0,7865701000000.0,7945350300000.0,7869375000000.0,7895924600000.0,8018597000000.0
2027.0,7907772500000.0,7596218000000.0,7615988400000.0,7880313400000.0,7916128600000.0,7882617700000.0,7809842000000.0,7900629600000.0,7828086000000.0,7831152500000.0,8002530700000.0
2028.0,7866484000000.0,7511349400000.0,7528174000000.0,7833899000000.0,7878826500000.0,7841457000000.0,7757191000000.0,7885053000000.0,7799882000000.0,7802819400000.0,7992032000000.0
2029.0,7816275300000.0,7444787000000.0,7438713500000.0,7777968000000.0,7856345600000.0,7812853300000.0,7710412000000.0,7845616500000.0,7753151500000.0,7757357000000.0,7968116000000.0
2030.0,7776702000000.0,7366990000000.0,7332105300000.0,7708898500000.0,7807433000000.0,7771523600000.0,7660704400000.0,7815234000000.0,7724959000000.0,7693417300000.0,7927136500000.0
2031.0,7735441600000.0,7276288500000.0,7236889300000.0,7668866000000.0,7767715000000.0,7733866700000.0,7605542500000.0,7763822000000.0,7686345000000.0,7658163700000.0,7891901000000.0
2032.0,7688640500000.0,7198436000000.0,7135261000000.0,7616774000000.0,7743280000000.0,7692048000000.0,7548869000000.0,7734616400000.0,7650313500000.0,7610327000000.0,7869778400000.0
2033.0,7657281300000.0,7114588000000.0,7019099600000.0,7574848500000.0,7713822600000.0,7665198600000.0,7492319000000.0,7691766000000.0,7612721000000.0,7550097400000.0,7857378000000.0
