time,CCSM4,GFDL-CM3,NORESM1-M,CNRM-CM5,GFDL-ESM2G,IPSL-CM5A-LR,CSIRO-MK3-6-0,MPI-ESM-LR,CANESM2,GISS-E2-R
2000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0
2001.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0
2002.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0
2003.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0
2004.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0
2005.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0
2006.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0
2007.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0
2008.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0
2009.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0
2010.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0
2011.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0
2012.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0
2013.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0
2014.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0
2015.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0
2016.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0
2017.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0
2018.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0
2019.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0
2020.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0
2021.0,14701905000000.0,14655815000000.0,14645467000000.0,14695080000000.0,14658178000000.0,14698925000000.0,14662101000000.0,14634595000000.0,14708712000000.0,14688410000000.0
2022.0,14665522000000.0,14593478000000.0,14588005000000.0,14614025000000.0,14643243000000.0,14635857000000.0,14566369000000.0,14622003000000.0,14655825000000.0,14619251000000.0
2023.0,14657503000000.0,14509006000000.0,14555168000000.0,14520043000000.0,14577079000000.0,14612163000000.0,14518068000000.0,14550873000000.0,14574331000000.0,14562157000000.0
2024.0,14601492000000.0,14434391000000.0,14532852000000.0,14512736000000.0,14518260000000.0,14512628000000.0,14506319000000.0,14492276000000.0,14530346000000.0,14465169000000.0
2025.0,14551726000000.0,14334596000000.0,14461314000000.0,14480795000000.0,14443959000000.0,14477330000000.0,14425768000000.0,14448520000000.0,14476562000000.0,14402920000000.0
2026.0,14525901000000.0,14208316000000.0,14411735000000.0,14468892000000.0,14385440000000.0,14405528000000.0,14370791000000.0,14411799000000.0,14420730000000.0,14339348000000.0
2027.0,14500604000000.0,14069092000000.0,14334429000000.0,14384332000000.0,14332704000000.0,14376200000000.0,14311072000000.0,14331030000000.0,14324265000000.0,14265014000000.0
2028.0,14452863000000.0,13973206000000.0,14266292000000.0,14276526000000.0,14282235000000.0,14307978000000.0,14232627000000.0,14260325000000.0,14225756000000.0,14186186000000.0
2029.0,14422838000000.0,13837413000000.0,14196280000000.0,14221278000000.0,14203751000000.0,14245849000000.0,14171969000000.0,14198740000000.0,14084366000000.0,14102047000000.0
2030.0,14366474000000.0,13745843000000.0,14093906000000.0,14145193000000.0,14228473000000.0,14181397000000.0,14114338000000.0,14145195000000.0,14004179000000.0,14028219000000.0
2031.0,14334865000000.0,13629937000000.0,13989113000000.0,14166373000000.0,14145402000000.0,14090858000000.0,14053778000000.0,14046207000000.0,13888641000000.0,13987924000000.0
2032.0,14304663000000.0,13498128000000.0,13903537000000.0,14082135000000.0,14091113000000.0,14079310000000.0,14038840000000.0,13970158000000.0,13811739000000.0,13898356000000.0
2033.0,14241934000000.0,13393980000000.0,13834619000000.0,14012823000000.0,13996063000000.0,13973439000000.0,14041971000000.0,13892684000000.0,13755024000000.0,13817951000000.0
2034.0,14260167000000.0,13287804000000.0,13759371000000.0,13911520000000.0,14000108000000.0,13863148000000.0,13964238000000.0,13791428000000.0,13671934000000.0,13733432000000.0
2035.0,14218172000000.0,13154430000000.0,13705694000000.0,13933518000000.0,13916427000000.0,13702145000000.0,13907340000000.0,13726865000000.0,13624710000000.0,13657821000000.0
2036.0,14183752000000.0,13027999000000.0,13608413000000.0,13856897000000.0,13863466000000.0,13639793000000.0,13853802000000.0,13656318000000.0,13538279000000.0,13580948000000.0
2037.0,14119678000000.0,12895251000000.0,13554796000000.0,13762745000000.0,13789168000000.0,13496256000000.0,13823640000000.0,13581956000000.0,13411256000000.0,13502000000000.0
2038.0,14071344000000.0,12756673000000.0,13496827000000.0,13720532000000.0,13698061000000.0,13372386000000.0,13742455000000.0,13449240000000.0,13292720000000.0,13394647000000.0
2039.0,14026440000000.0,12626769000000.0,13375378000000.0,13642931000000.0,13625098000000.0,13242013000000.0,13672467000000.0,13374887000000.0,13214332000000.0,13325517000000.0
2040.0,13985173000000.0,12511833000000.0,13256261000000.0,13566590000000.0,13547406000000.0,13092584000000.0,13567027000000.0,13285171000000.0,13083665000000.0,13221805000000.0
2041.0,13958547000000.0,12381015000000.0,13154426000000.0,13484508000000.0,13454347000000.0,13022309000000.0,13516496000000.0,13177661000000.0,12998132000000.0,13151183000000.0
2042.0,13951249000000.0,12250166000000.0,13107048000000.0,13414380000000.0,13398884000000.0,12916829000000.0,13459316000000.0,13063550000000.0,12910996000000.0,13033262000000.0
2043.0,13880192000000.0,12109793000000.0,12997664000000.0,13332265000000.0,13325007000000.0,12781634000000.0,13389736000000.0,12981933000000.0,12813429000000.0,12948944000000.0
2044.0,13805921000000.0,11990507000000.0,12916822000000.0,13266987000000.0,13263698000000.0,12657280000000.0,13334569000000.0,12804003000000.0,12719963000000.0,12829891000000.0
2045.0,13704386000000.0,11869820000000.0,12797587000000.0,13163052000000.0,13164861000000.0,12592403000000.0,13195286000000.0,12684439000000.0,12616005000000.0,12727506000000.0
2046.0,13638588000000.0,11716766000000.0,12730843000000.0,13083652000000.0,13087745000000.0,12449595000000.0,13121298000000.0,12574816000000.0,12473743000000.0,12646678000000.0
2047.0,13557104000000.0,11580176000000.0,12651721000000.0,13012941000000.0,13010809000000.0,12282610000000.0,13082896000000.0,12445602000000.0,12366715000000.0,12530818000000.0
2048.0,13419637000000.0,11402706000000.0,12582708000000.0,12905624000000.0,12921125000000.0,12220283000000.0,12982090000000.0,12321876000000.0,12239610000000.0,12461069000000.0
2049.0,13327861000000.0,11253123000000.0,12495967000000.0,12854463000000.0,12867201000000.0,12085264000000.0,12917528000000.0,12226355000000.0,12079066000000.0,12349504000000.0
2050.0,13278113000000.0,11069715000000.0,12414617000000.0,12814536000000.0,12778853000000.0,11947407000000.0,12860367000000.0,12136767000000.0,11975836000000.0,12257360000000.0
2051.0,13242570000000.0,10928719000000.0,12310034000000.0,12808972000000.0,12724022000000.0,11837349000000.0,12790359000000.0,11981818000000.0,11909281000000.0,12163391000000.0
2052.0,13123722000000.0,10771599000000.0,12190458000000.0,12800643000000.0,12610160000000.0,11712933000000.0,12761347000000.0,11864846000000.0,11843280000000.0,12103866000000.0
2053.0,13046878000000.0,10608914000000.0,12014800000000.0,12685820000000.0,12585506000000.0,11587575000000.0,12675789000000.0,11751929000000.0,11728479000000.0,12014123000000.0
2054.0,12961578000000.0,10465070000000.0,11883455000000.0,12557391000000.0,12521328000000.0,11463168000000.0,12576878000000.0,11631220000000.0,11623670000000.0,11942104000000.0
