time,CESM1-CAM5,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-CM3,CANESM2,NORESM1-M
2000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0
2001.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0
2002.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0
2003.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0
2004.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0
2005.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0
2006.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0
2007.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0
2008.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0
2009.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0
2010.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0
2011.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0,13829717000000.0
2012.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0,13825210000000.0
