time,CANESM2,IPSL-CM5A-LR,CESM1-CAM5,NORESM1-M,CNRM-CM5,GFDL-ESM2G,CCSM4,GFDL-CM3,GISS-E2-R,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0
2001.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0
2002.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0
2003.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0
2004.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0
2005.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0
2006.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0
2007.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0
2008.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0
2009.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0
2010.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0
2011.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0
2012.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0
2013.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0
2014.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0
2015.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0
2016.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0
2017.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0
2018.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0
2019.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0
2020.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0
2021.0,47832412000.0,47434265000.0,46550176000.0,46939120000.0,46407320000.0,47277924000.0,47488893000.0,47047030000.0,46937694000.0,47354167000.0,47365775000.0
2022.0,46886520000.0,45786464000.0,43432150000.0,46223847000.0,46352003000.0,46076006000.0,46875443000.0,45521744000.0,47284417000.0,45683910000.0,45990860000.0
2023.0,44193604000.0,45702705000.0,41460728000.0,44006605000.0,45309860000.0,45575614000.0,45407994000.0,42839680000.0,46216024000.0,43532366000.0,45740230000.0
2024.0,43543835000.0,44889104000.0,40259740000.0,42697077000.0,43551920000.0,45211120000.0,43913146000.0,40755216000.0,45480735000.0,41677505000.0,46066500000.0
2025.0,43376198000.0,43202450000.0,40322384000.0,41895645000.0,42322334000.0,43568170000.0,43338230000.0,40070250000.0,45212635000.0,39515603000.0,44848920000.0
2026.0,41219334000.0,41330536000.0,40795947000.0,40187257000.0,42598380000.0,42041962000.0,42081075000.0,38705148000.0,45205190000.0,36891390000.0,44458780000.0
2027.0,39316333000.0,40549750000.0,39712055000.0,39103422000.0,42144096000.0,40367480000.0,40739720000.0,37273506000.0,44383430000.0,37468287000.0,42052362000.0
2028.0,37973190000.0,39586580000.0,37997070000.0,37492930000.0,40004907000.0,39891110000.0,40720030000.0,35461400000.0,44188955000.0,36285993000.0,42280907000.0
2029.0,37314910000.0,38916993000.0,37582090000.0,36091236000.0,40552514000.0,39912575000.0,40173957000.0,34618540000.0,43013153000.0,35528260000.0,41042575000.0
2030.0,37527630000.0,38223155000.0,37897620000.0,36082885000.0,39429800000.0,39243360000.0,39600087000.0,33846503000.0,42613700000.0,34649040000.0,42004152000.0
2031.0,36496617000.0,36761645000.0,37304240000.0,35601084000.0,38463422000.0,38675580000.0,39040990000.0,32576825000.0,43041985000.0,32918368000.0,41422980000.0
2032.0,35050545000.0,35795990000.0,36263825000.0,34768826000.0,38425350000.0,38263030000.0,39123770000.0,32591727000.0,42095310000.0,31745420000.0,40343626000.0
2033.0,33136919000.0,35492696000.0,34895780000.0,33385222000.0,38281840000.0,38564975000.0,37292745000.0,31855958000.0,41593170000.0,30791236000.0,39603433000.0
2034.0,33795880000.0,34815308000.0,34172666000.0,31863048000.0,37674656000.0,38176248000.0,35794540000.0,30998514000.0,41216627000.0,30328582000.0,39062250000.0
2035.0,32886376000.0,34290602000.0,32234584000.0,30611400000.0,36728226000.0,37553512000.0,34331345000.0,29371236000.0,41336780000.0,29834906000.0,37393424000.0
2036.0,32134506000.0,33789772000.0,31202400000.0,30335780000.0,36193600000.0,37177532000.0,33428036000.0,27995394000.0,40002990000.0,29326725000.0,36273115000.0
2037.0,30993306000.0,33242800000.0,30490680000.0,29344600000.0,36071460000.0,35869598000.0,32620032000.0,26860920000.0,39739245000.0,29702834000.0,35267334000.0
2038.0,30472948000.0,32763836000.0,29866715000.0,28458076000.0,34692506000.0,35826770000.0,31274097000.0,26613484000.0,38451750000.0,29213884000.0,35330540000.0
2039.0,28838427000.0,31815367000.0,29361623000.0,27636273000.0,33774821000.0,36403577000.0,31012887000.0,26040252000.0,37773017000.0,28748122000.0,35722710000.0
2040.0,28256629000.0,30527762000.0,28858208000.0,27003478000.0,33021911000.0,36313063000.0,30486305000.0,24302574000.0,37562430000.0,29384400000.0,35152163000.0
2041.0,28657820000.0,30491415000.0,28205265000.0,25672070000.0,32549984000.0,36257900000.0,29894613000.0,22548023000.0,36902770000.0,28711588000.0,34360980000.0
2042.0,27863091000.0,29781314000.0,27687954000.0,24408484000.0,31093606000.0,35052417000.0,29177846000.0,22591996000.0,35986715000.0,27752829000.0,34906472000.0
2043.0,26604775000.0,29225386000.0,26858523000.0,23710589000.0,29980848000.0,33881577000.0,28949805000.0,21539045000.0,35069546000.0,26453518000.0,34344374000.0
2044.0,26346316000.0,29059980000.0,27528868000.0,23403473000.0,29464596000.0,31904023000.0,29435372000.0,20568398000.0,33884744000.0,25996843000.0,35381363000.0
