time,NORESM1-M,GFDL-ESM2G,CNRM-CM5,GFDL-CM3,CCSM4,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,MPI-ESM-LR
2000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0
2001.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0
2002.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0
2003.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0
2004.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0
2005.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0
2006.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0
2007.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0
2008.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0
2009.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0
2010.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0
2011.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0
2012.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0
2013.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0
2014.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0
2015.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0
2016.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0
2017.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0
2018.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0
2019.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0
2020.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0
2021.0,46670440000.0,45514625000.0,46661290000.0,47502630000.0,46495680000.0,49105424000.0,46411317000.0,46750840000.0,47370730000.0,47984120000.0
2022.0,45780443000.0,43907990000.0,44856430000.0,46688965000.0,45586730000.0,48293650000.0,46079287000.0,45875732000.0,46113530000.0,48303930000.0
2023.0,45270210000.0,41896170000.0,42596960000.0,45260720000.0,45559484000.0,46741836000.0,45578134000.0,44805394000.0,45100155000.0,47898534000.0
2024.0,43123160000.0,41444030000.0,42267740000.0,42559717000.0,43985650000.0,45208007000.0,45514460000.0,46401696000.0,45268600000.0,46061294000.0
2025.0,41509020000.0,40416700000.0,41196216000.0,40706760000.0,42568774000.0,45991002000.0,44163564000.0,45891604000.0,44793324000.0,45025243000.0
2026.0,40072960000.0,39823160000.0,41299075000.0,39835080000.0,42837594000.0,45297074000.0,43219090000.0,44617605000.0,44278660000.0,44689637000.0
2027.0,39172702000.0,38489616000.0,39866278000.0,37361955000.0,42140750000.0,44662870000.0,41580540000.0,43323298000.0,43044750000.0,43057627000.0
2028.0,38059258000.0,37634310000.0,38808396000.0,36489590000.0,40676780000.0,43658020000.0,39864947000.0,44336880000.0,41166275000.0,42981770000.0
2029.0,36486197000.0,37404210000.0,38006268000.0,34759420000.0,40083927000.0,41854968000.0,36524680000.0,43165557000.0,40439180000.0,43129844000.0
2030.0,35003044000.0,37531600000.0,37959080000.0,32996655000.0,38880590000.0,40305082000.0,35933190000.0,42605980000.0,38730076000.0,42676027000.0
2031.0,32805167000.0,36485510000.0,37589594000.0,31379175000.0,37483790000.0,40242745000.0,35583865000.0,41874980000.0,37977407000.0,42860847000.0
2032.0,31553794000.0,35629340000.0,36896890000.0,28916177000.0,35989630000.0,40020234000.0,34812120000.0,39116880000.0,36713955000.0,41208470000.0
2033.0,30402544000.0,35836035000.0,36791330000.0,27381492000.0,35376750000.0,39737692000.0,33951400000.0,38667160000.0,35371782000.0,39639847000.0
2034.0,29640774000.0,35680297000.0,35549570000.0,26096953000.0,33858860000.0,40152707000.0,32904480000.0,36241445000.0,33359305000.0,39897510000.0
2035.0,29035580000.0,33701927000.0,34270126000.0,24172390000.0,32729975000.0,38937240000.0,32341688000.0,34885034000.0,31913443000.0,39876833000.0
