time,CCSM4,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR
2000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0
2001.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0
2002.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0
2003.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0
2004.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0
2005.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0
2006.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0
2007.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0
2008.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0
2009.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0
2010.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0
2011.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0
2012.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0
2013.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0
2014.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0
2015.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0
2016.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0
2017.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0
2018.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0
2019.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0
2020.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0
2021.0,3039256000000.0,3024372000000.0,3071752500000.0,3057228000000.0,3060855000000.0,3065297200000.0,3077240000000.0,3066427900000.0
2022.0,3024842400000.0,2981196700000.0,3057956000000.0,3033091300000.0,3048281700000.0,3044551000000.0,3054912700000.0,3052058400000.0
2023.0,3010945000000.0,2938511600000.0,3037595400000.0,3010096800000.0,3035930800000.0,3042825200000.0,3037696400000.0,3042529200000.0
2024.0,2972109000000.0,2889758300000.0,3033710000000.0,2988377600000.0,3025691200000.0,3028141700000.0,3019790600000.0,3022132600000.0
2025.0,2956804000000.0,2833326300000.0,3008952800000.0,2974048800000.0,3008153800000.0,3004789200000.0,2999453500000.0,3003681300000.0
2026.0,2939033700000.0,2771393000000.0,2985955200000.0,2956898300000.0,2980689500000.0,2967588600000.0,2968217500000.0,2993685800000.0
2027.0,2935496000000.0,2702575000000.0,2953238300000.0,2944303400000.0,2958324400000.0,2929942900000.0,2946438800000.0,2967749000000.0
2028.0,2908620800000.0,2650343000000.0,2936889700000.0,2931621000000.0,2921687400000.0,2896319700000.0,2918793000000.0,2940797700000.0
2029.0,2898906300000.0,2591629500000.0,2927722000000.0,2905768500000.0,2910151200000.0,2894352400000.0,2882444200000.0,2918805000000.0
2030.0,2889582400000.0,2542595500000.0,2902043700000.0,2870706000000.0,2902710000000.0,2859360300000.0,2860620200000.0,2892018500000.0
2031.0,2892110500000.0,2487959200000.0,2893023300000.0,2851884800000.0,2873045000000.0,2846480000000.0,2848578600000.0,2860194700000.0
2032.0,2887307800000.0,2436756700000.0,2875849200000.0,2845752400000.0,2844215500000.0,2858423000000.0,2836771600000.0,2834600000000.0
2033.0,2858415600000.0,2385627300000.0,2857575000000.0,2834279400000.0,2820666600000.0,2845209000000.0,2807610500000.0,2804579600000.0
2034.0,2829047000000.0,2334903000000.0,2844747400000.0,2806277200000.0,2798158600000.0,2807186300000.0,2783544000000.0,2778808700000.0
2035.0,2805247000000.0,2282490200000.0,2819496600000.0,2774740200000.0,2782380700000.0,2818062200000.0,2761493600000.0,2736941700000.0
2036.0,2782920200000.0,2229290000000.0,2789744300000.0,2749795700000.0,2767743000000.0,2808254800000.0,2736755600000.0,2702027300000.0
2037.0,2766512800000.0,2183701100000.0,2763499500000.0,2717939000000.0,2745507000000.0,2796781600000.0,2709988800000.0,2670811400000.0
2038.0,2731852400000.0,2124319600000.0,2732145200000.0,2699746300000.0,2719834400000.0,2775570200000.0,2695621800000.0,2634775500000.0
2039.0,2694390700000.0,2063253500000.0,2710726800000.0,2684346700000.0,2678489000000.0,2760963300000.0,2668180000000.0,2593712500000.0
2040.0,2660455000000.0,2009966700000.0,2678455000000.0,2667722800000.0,2657553000000.0,2758563900000.0,2629338100000.0,2549052600000.0
2041.0,2612990000000.0,1963966700000.0,2648039500000.0,2655083000000.0,2621427700000.0,2759067400000.0,2601053600000.0,2518385200000.0
2042.0,2586954700000.0,1914700000000.0,2622835400000.0,2618911600000.0,2605325200000.0,2729055600000.0,2566979000000.0,2488041700000.0
2043.0,2552627200000.0,1870592200000.0,2602581400000.0,2586266000000.0,2580314800000.0,2713899500000.0,2542422500000.0,2456985800000.0
2044.0,2546281700000.0,1808216900000.0,2593656400000.0,2546693800000.0,2553916000000.0,2696153400000.0,2509207800000.0,2416685400000.0
2045.0,2495132700000.0,1759686000000.0,2582837000000.0,2517127400000.0,2525319000000.0,2668788200000.0,2480961200000.0,2385415200000.0
2046.0,2468480000000.0,1710889100000.0,2552284800000.0,2503419400000.0,2489069600000.0,2655580800000.0,2452951100000.0,2353207200000.0
2047.0,2446742500000.0,1666196600000.0,2520440000000.0,2464735600000.0,2469858400000.0,2667373400000.0,2420292500000.0,2305903000000.0
2048.0,2416930000000.0,1615655300000.0,2499315000000.0,2437799000000.0,2453277500000.0,2650421600000.0,2398708800000.0,2263576200000.0
2049.0,2392770200000.0,1563469700000.0,2477860300000.0,2405050600000.0,2431312700000.0,2642998500000.0,2379223100000.0,2197177600000.0
2050.0,2345299600000.0,1521094800000.0,2442615300000.0,2372775000000.0,2429193600000.0,2629983800000.0,2358996400000.0,2160044400000.0
2051.0,2316198500000.0,1477926600000.0,2413397300000.0,2343672500000.0,2406054600000.0,2639247200000.0,2328547600000.0,2130233700000.0
2052.0,2297196200000.0,1427281700000.0,2403373400000.0,2327447600000.0,2366286300000.0,2631986000000.0,2293464800000.0,2095137000000.0
2053.0,2273793800000.0,1384875300000.0,2387202500000.0,2299434400000.0,2328858500000.0,2603162300000.0,2276089700000.0,2060921700000.0
2054.0,2234826600000.0,1341566500000.0,2367668000000.0,2270281900000.0,2289497800000.0,2560958400000.0,2246793000000.0,2021621200000.0
2055.0,2206040000000.0,1293609000000.0,2343633400000.0,2262019300000.0,2253595300000.0,2517136300000.0,2212279400000.0,1983361400000.0
2056.0,2186774400000.0,1246251600000.0,2315988500000.0,2264952000000.0,2227100000000.0,2505776300000.0,2174677400000.0,1944454200000.0
2057.0,2155063300000.0,1201430900000.0,2282046000000.0,2245003800000.0,2177743000000.0,2476511300000.0,2145847900000.0,1905290900000.0
2058.0,2122843400000.0,1157227000000.0,2260314000000.0,2211729400000.0,2148987800000.0,2431011000000.0,2114361000000.0,1878479100000.0
2059.0,2092527800000.0,1116461900000.0,2248780300000.0,2210238000000.0,2131248800000.0,2403811500000.0,2098490900000.0,1854350800000.0
2060.0,2056131700000.0,1079546700000.0,2224052500000.0,2200316400000.0,2091490000000.0,2348147800000.0,2070187900000.0,1830325200000.0
2061.0,2025983300000.0,1035519070000.0,2203144400000.0,2166650400000.0,2044804200000.0,2297261700000.0,2055158400000.0,1802236600000.0
2062.0,2003313400000.0,1000255650000.0,2177479700000.0,2121788600000.0,2003189000000.0,2272020400000.0,2033269100000.0,1778268100000.0
2063.0,1981806800000.0,957035100000.0,2151728400000.0,2095723400000.0,1964626500000.0,2238040200000.0,2003223300000.0,1745476000000.0
2064.0,1956582400000.0,918639700000.0,2123959000000.0,2078119600000.0,1923167400000.0,2211175000000.0,1978036600000.0,1716593900000.0
2065.0,1929685200000.0,884465000000.0,2101815100000.0,2049710500000.0,1892696500000.0,2191917600000.0,1958314100000.0,1684628600000.0
2066.0,1902948100000.0,855425550000.0,2088932200000.0,2016364000000.0,1869829600000.0,2161528900000.0,1935522000000.0,1654776300000.0
2067.0,1868283400000.0,822726500000.0,2074550600000.0,1986532200000.0,1845845400000.0,2110796700000.0,1894680500000.0,1624335800000.0
2068.0,1829920200000.0,789993360000.0,2052945900000.0,1962078100000.0,1793123500000.0,2087087100000.0,1878540400000.0,1595538400000.0
2069.0,1794251200000.0,765368100000.0,2037267000000.0,1929417300000.0,1772204500000.0,2048007000000.0,1840546600000.0,1563904200000.0
2070.0,1762874900000.0,731501900000.0,2011159700000.0,1891971600000.0,1728556000000.0,2001007400000.0,1810445900000.0,1531631600000.0
2071.0,1735633900000.0,706429200000.0,1994945500000.0,1863527300000.0,1676491900000.0,1971624300000.0,1778021300000.0,1508123900000.0
2072.0,1700929000000.0,678368840000.0,1977212900000.0,1832947500000.0,1652351000000.0,1933669700000.0,1741484700000.0,1474263100000.0
2073.0,1661263800000.0,654307900000.0,1961060300000.0,1811181300000.0,1634713300000.0,1898152300000.0,1707243900000.0,1449041100000.0
2074.0,1632267300000.0,631710000000.0,1941338700000.0,1778969700000.0,1601921200000.0,1882985700000.0,1681315200000.0,1419271600000.0
2075.0,1599129300000.0,606555870000.0,1922329900000.0,1736425100000.0,1564860000000.0,1850418100000.0,1640922600000.0,1386037400000.0
2076.0,1559726100000.0,582410400000.0,1896036000000.0,1689421200000.0,1528038000000.0,1823625700000.0,1586675200000.0,1346377400000.0
2077.0,1535928800000.0,556502550000.0,1872566300000.0,1649697900000.0,1498207500000.0,1785075300000.0,1564394000000.0,1321902000000.0
2078.0,1510304900000.0,538540240000.0,1854888500000.0,1626252000000.0,1459380200000.0,1760393700000.0,1542910800000.0,1286381400000.0
2079.0,1485223200000.0,518671700000.0,1841772400000.0,1600562400000.0,1424800700000.0,1720240600000.0,1511624000000.0,1254989600000.0
2080.0,1461384200000.0,498617160000.0,1812237900000.0,1550689000000.0,1402083000000.0,1674667000000.0,1483783000000.0,1222856100000.0
2081.0,1428358400000.0,481286200000.0,1787691100000.0,1505873400000.0,1366558800000.0,1641291200000.0,1451136800000.0,1192045800000.0
2082.0,1391047200000.0,465052760000.0,1761366900000.0,1469173000000.0,1335471100000.0,1613138000000.0,1428172800000.0,1165111000000.0
2083.0,1364772300000.0,447182400000.0,1737195000000.0,1445620400000.0,1307823600000.0,1579943000000.0,1404013000000.0,1139269000000.0
2084.0,1336641300000.0,431582200000.0,1710249300000.0,1416608900000.0,1289775300000.0,1545374300000.0,1378543600000.0,1107176000000.0
2085.0,1302001900000.0,414382030000.0,1677184600000.0,1376869400000.0,1266926100000.0,1520158400000.0,1356945400000.0,1085417700000.0
2086.0,1280837600000.0,398985400000.0,1645334800000.0,1341482700000.0,1241972900000.0,1499369600000.0,1330511100000.0,1055955200000.0
2087.0,1259825900000.0,384451400000.0,1625872100000.0,1316625000000.0,1222381400000.0,1478794000000.0,1293841000000.0,1031372140000.0
2088.0,1235859500000.0,370078300000.0,1602049700000.0,1286934900000.0,1195392000000.0,1457071500000.0,1264784900000.0,1006381100000.0
2089.0,1224221700000.0,357106320000.0,1579889700000.0,1254623800000.0,1168448400000.0,1431390500000.0,1245100900000.0,980972670000.0
2090.0,1196251000000.0,343088920000.0,1551151900000.0,1216595600000.0,1138542100000.0,1408686600000.0,1216368500000.0,950993600000.0
2091.0,1168245800000.0,330331550000.0,1528914000000.0,1195833200000.0,1107637300000.0,1375473400000.0,1185725000000.0,926033400000.0
2092.0,1143316800000.0,318857350000.0,1498927200000.0,1169602000000.0,1083602800000.0,1361900600000.0,1163403600000.0,897341400000.0
2093.0,1123267000000.0,303483650000.0,1476353600000.0,1138653900000.0,1060725850000.0,1347112800000.0,1143392000000.0,865462060000.0
2094.0,1103989200000.0,289777940000.0,1465468000000.0,1114710200000.0,1044499660000.0,1305858500000.0,1121353000000.0,839788900000.0
2095.0,1083038700000.0,277613300000.0,1444731000000.0,1090819700000.0,1018449900000.0,1300116800000.0,1092644500000.0,814857700000.0
2096.0,1062784200000.0,266203190000.0,1426540100000.0,1051858240000.0,994575500000.0,1301175200000.0,1067794800000.0,792124500000.0
2097.0,1045474200000.0,254879320000.0,1404815300000.0,1010860200000.0,976366860000.0,1292038400000.0,1043587860000.0,770416440000.0
2098.0,1027763200000.0,245122920000.0,1379077800000.0,979575770000.0,954842800000.0,1276088800000.0,1014358500000.0,753701900000.0
2099.0,1012048500000.0,234424840000.0,1354238700000.0,959926400000.0,938112700000.0,1257006700000.0,988238450000.0,732083260000.0
2100.0,1000309900000.0,224603490000.0,1334138400000.0,934623050000.0,911648750000.0,1238530300000.0,963361640000.0,710463400000.0
