time,CNRM-CM5,MPI-ESM-LR,GFDL-CM3,CCSM4,GISS-E2-R,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G,CANESM2
2000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0
2001.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0
2002.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0
2003.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0
2004.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0
2005.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0
2006.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0
2007.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0
2008.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0
2009.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0
2010.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0
2011.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0
2012.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0
2013.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0
2014.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0
2015.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0
2016.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0
2017.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0
2018.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0
2019.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0
2020.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0
2021.0,72890000000.0,70123545000.0,69775220000.0,74864010000.0,69684880000.0,69155440000.0,72354824000.0,71111280000.0,73577730000.0,70613600000.0
2022.0,70993306000.0,63818867000.0,68439160000.0,75893870000.0,67501605000.0,65890520000.0,70901680000.0,71181780000.0,72917450000.0,68827080000.0
2023.0,68938875000.0,60542816000.0,63728443000.0,73945350000.0,66987938000.0,66241020000.0,67068285000.0,69982400000.0,69439005000.0,65976295000.0
2024.0,69049800000.0,60199203000.0,58960060000.0,69151280000.0,66682094000.0,66418760000.0,65421570000.0,68069030000.0,67815133000.0,64404173000.0
2025.0,67265393000.0,59128170000.0,56941683000.0,67739877000.0,67338715000.0,64038240000.0,65243054000.0,67133956000.0,65563345000.0,60602690000.0
2026.0,66823970000.0,56150192000.0,53066793000.0,65467683000.0,64480764000.0,62595637000.0,64239840000.0,66116944000.0,63455617000.0,58520195000.0
2027.0,64713843000.0,51631714000.0,47896340000.0,60660570000.0,62459160000.0,60501225000.0,63079330000.0,61910260000.0,62725415000.0,55909130000.0
2028.0,62555857000.0,48592270000.0,42601640000.0,59135246000.0,60339606000.0,56159000000.0,58882440000.0,58151960000.0,60018560000.0,52244062000.0
2029.0,62108480000.0,48085213000.0,40701178000.0,59806683000.0,58805346000.0,52919607000.0,56152970000.0,58197290000.0,54667076000.0,51420914000.0
2030.0,60133970000.0,47157293000.0,37517595000.0,57256882000.0,57949123000.0,50401546000.0,55688135000.0,57750454000.0,54138010000.0,51149283000.0
2031.0,58398490000.0,47398502000.0,33903804000.0,54102344000.0,56142900000.0,49483813000.0,55051390000.0,55411085000.0,55606063000.0,47975326000.0
2032.0,57057214000.0,48218333000.0,32541972000.0,53665000000.0,55715045000.0,47701410000.0,54458770000.0,51229080000.0,53096560000.0,44128653000.0
