time,CCSM4,IPSL-CM5A-LR,CSIRO-MK3-6-0,MPI-ESM-LR,NORESM1-M,CANESM2,CNRM-CM5,GISS-E2-R,GFDL-CM3,GFDL-ESM2G
2000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0
2001.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0
2002.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0
2003.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0
2004.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0
2005.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0
2006.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0
2007.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0
2008.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0
2009.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0
2010.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0
2011.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0
