time,MRI-ESM2-0
2000.0,27426394000000.0
2001.0,27414529000000.0
2002.0,27397385000000.0
2003.0,27385393000000.0
2004.0,27338381000000.0
2005.0,27372881000000.0
2006.0,27339312000000.0
2007.0,27349395000000.0
2008.0,27262108000000.0
2009.0,27194917000000.0
2010.0,27087155000000.0
2011.0,27019763000000.0
2012.0,26938935000000.0
2013.0,26814278000000.0
2014.0,26874065000000.0
2015.0,26835367000000.0
2016.0,26746141000000.0
2017.0,26736853000000.0
2018.0,26719212000000.0
2019.0,26728198000000.0
2020.0,26745030000000.0
2021.0,26692666000000.0
2022.0,26734519000000.0
2023.0,26708179000000.0
2024.0,26673567000000.0
2025.0,26591447000000.0
2026.0,26547518000000.0
2027.0,26461367000000.0
2028.0,26414412000000.0
2029.0,26372603000000.0
2030.0,26305001000000.0
2031.0,26257637000000.0
2032.0,26153990000000.0
2033.0,26045600000000.0
2034.0,25893892000000.0
2035.0,25796226000000.0
2036.0,25685295000000.0
2037.0,25516457000000.0
2038.0,25419846000000.0
2039.0,25430602000000.0
2040.0,25433380000000.0
2041.0,25311796000000.0
2042.0,25215126000000.0
2043.0,25117332000000.0
2044.0,25104155000000.0
2045.0,25062086000000.0
2046.0,24955928000000.0
2047.0,24861880000000.0
2048.0,24672062000000.0
2049.0,24632525000000.0
2050.0,24533946000000.0
2051.0,24505422000000.0
2052.0,24407553000000.0
2053.0,24356128000000.0
2054.0,24244669000000.0
2055.0,24205488000000.0
2056.0,24162467000000.0
2057.0,24137423000000.0
2058.0,24027380000000.0
2059.0,23903590000000.0
2060.0,23849180000000.0
2061.0,23775268000000.0
2062.0,23566360000000.0
2063.0,23511651000000.0
2064.0,23437968000000.0
2065.0,23326300000000.0
2066.0,23278308000000.0
2067.0,23185680000000.0
2068.0,23120094000000.0
2069.0,23138230000000.0
2070.0,23016084000000.0
2071.0,22930200000000.0
2072.0,22820210000000.0
2073.0,22673646000000.0
2074.0,22550938000000.0
2075.0,22482977000000.0
2076.0,22349177000000.0
2077.0,22297465000000.0
2078.0,22188164000000.0
2079.0,22055827000000.0
2080.0,22017946000000.0
2081.0,21991055000000.0
2082.0,21894605000000.0
2083.0,21849272000000.0
2084.0,21791165000000.0
2085.0,21704030000000.0
2086.0,21628774000000.0
2087.0,21404875000000.0
2088.0,21262620000000.0
2089.0,21022718000000.0
2090.0,20915713000000.0
2091.0,20784288000000.0
2092.0,20704754000000.0
2093.0,20648663000000.0
2094.0,20651973000000.0
2095.0,20553149000000.0
2096.0,20483144000000.0
2097.0,20352218000000.0
2098.0,20288056000000.0
2099.0,20172748000000.0
2100.0,20151469000000.0
