time,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,CANESM5,EC-EARTH3-VEG,IPSL-CM6A-LR,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,CESM2,BCC-CSM2-MR,MRI-ESM2-0,EC-EARTH3,TAIESM1,INM-CM4-8,ACCESS-ESM1-5,CAMS-CSM1-0,FGOALS-F3-L
2000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0,15520646000000.0
2001.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0,15486913000000.0
2002.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0,15456463000000.0
2003.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0,15387606000000.0
2004.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0,15281795000000.0
2005.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0,15234202000000.0
2006.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0,15192746000000.0
2007.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0,15175851000000.0
2008.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0,15133356000000.0
2009.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0,15079385000000.0
2010.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0,14994434000000.0
2011.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0,14913986000000.0
2012.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0,14877685000000.0
2013.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0,14854324000000.0
2014.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0,14841412000000.0
2015.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0,14807616000000.0
2016.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0
2017.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0
2018.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0
2019.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0
