time,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,CESM2-WACCM
2000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0
2001.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0
2002.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0
2003.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0
2004.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0
2005.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0
2006.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0
2007.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0
2008.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0
2009.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0
2010.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0
2011.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0
2012.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0
2013.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0
2014.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0
2015.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0
2016.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0
2017.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0
2018.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0
2019.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0
2020.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0
2021.0,3524683400000.0,3521295700000.0,3505265300000.0,3524844300000.0
2022.0,3516611700000.0,3503738600000.0,3478805500000.0,3500303000000.0
2023.0,3499278000000.0,3479510200000.0,3433059600000.0,3481426500000.0
2024.0,3493220600000.0,3445426700000.0,3390009500000.0,3468401600000.0
2025.0,3480629800000.0,3417240500000.0,3353966500000.0,3456977300000.0
2026.0,3465216300000.0,3392191300000.0,3309250300000.0,3435046400000.0
2027.0,3448804200000.0,3366233800000.0,3277614200000.0,3421714300000.0
2028.0,3424599700000.0,3355379800000.0,3236143600000.0,3403830300000.0
2029.0,3414548500000.0,3324542200000.0,3190745500000.0,3381368000000.0
2030.0,3392665600000.0,3294069000000.0,3158117200000.0,3370943500000.0
2031.0,3370927300000.0,3263029000000.0,3115537400000.0,3340928000000.0
2032.0,3348085600000.0,3231361500000.0,3077675000000.0,3323314300000.0
2033.0,3329880800000.0,3195901600000.0,3041854500000.0,3302424800000.0
2034.0,3313349200000.0,3162118300000.0,3002265800000.0,3283813000000.0
2035.0,3286373000000.0,3120541000000.0,2966379800000.0,3262540000000.0
2036.0,3276850900000.0,3090166000000.0,2923221200000.0,3252194000000.0
2037.0,3265518600000.0,3069199300000.0,2889497400000.0,3229743800000.0
2038.0,3248018700000.0,3028809000000.0,2850826500000.0,3212996000000.0
2039.0,3227174300000.0,3004151400000.0,2807114200000.0,3203168500000.0
2040.0,3204688600000.0,2973848600000.0,2757222500000.0,3183434500000.0
2041.0,3181425200000.0,2943020700000.0,2710663600000.0,3167646400000.0
2042.0,3157993200000.0,2914602700000.0,2674960600000.0,3145538200000.0
2043.0,3136981000000.0,2875172800000.0,2639205000000.0,3136344600000.0
2044.0,3116663300000.0,2843413800000.0,2595746500000.0,3119070600000.0
2045.0,3090853700000.0,2800219300000.0,2538848400000.0,3098554700000.0
