time,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,CAMS-CSM1-0,BCC-CSM2-MR,FGOALS-F3-L,INM-CM4-8,EC-EARTH3,CESM2,MRI-ESM2-0
2000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0,13946825000000.0
2001.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0,13923575000000.0
2002.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0,13904492000000.0
2003.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0,13893083000000.0
2004.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0,13891446000000.0
2005.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0,13887378000000.0
2006.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0,13875188000000.0
2007.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0,13860015000000.0
2008.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0,13855886000000.0
2009.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0,13849322000000.0
2010.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0,13836235000000.0
