time,MRI-ESM2-0,EC-EARTH3,CESM2-WACCM,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,INM-CM5-0,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4
2000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0
2001.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0
2002.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0
2003.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0
2004.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0
2005.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0
2006.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0
2007.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0
2008.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0
2009.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0
2010.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0
2011.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0
2012.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0
2013.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0
2014.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0
2015.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0
2016.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0
2017.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0
2018.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0
2019.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0
2020.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0
2021.0,3032421500000.0,3042970000000.0,3054817500000.0,3035938200000.0,3060815600000.0,3049557000000.0,3067234700000.0,3058730800000.0,3046823200000.0,3039621800000.0,3065422300000.0,3050331400000.0,3058235900000.0
2022.0,3014058600000.0,3004184000000.0,3038158000000.0,3027026600000.0,3039631800000.0,3021590800000.0,3043749800000.0,3039401000000.0,3005730300000.0,3011224500000.0,3045701500000.0,3029061600000.0,3057771300000.0
