time,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,ACCESS-CM2,INM-CM5-0,CESM2,TAIESM1,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4,CMCC-CM2-SR5,ACCESS-ESM1-5,MRI-ESM2-0,IPSL-CM6A-LR,EC-EARTH3,CANESM5,CESM2-WACCM,INM-CM4-8
2000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0
2001.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0
2002.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0
2003.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0
2004.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0
2005.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0
2006.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0
2007.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0
2008.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0
2009.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0
