time,CAMS-CSM1-0,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0
2000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0
2001.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0
2002.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0
2003.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0
2004.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0
2005.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0
2006.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0
2007.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0
2008.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0
2009.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0
2010.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0
2011.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0
2012.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0
2013.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0
2014.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0
2015.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0
2016.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0
2017.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0
2018.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0
2019.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0
2020.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0
2021.0,2765165000000.0,2740483800000.0,2760931300000.0,2777288000000.0
2022.0,2759122700000.0,2709902300000.0,2754502000000.0,2778883400000.0
2023.0,2773465700000.0,2706251700000.0,2740426400000.0,2754123000000.0
2024.0,2764696000000.0,2693067400000.0,2733812000000.0,2743114000000.0
2025.0,2743493000000.0,2667036000000.0,2718290100000.0,2723687400000.0
2026.0,2733925700000.0,2636225200000.0,2706224200000.0,2701802300000.0
2027.0,2736331700000.0,2610394000000.0,2705680500000.0,2674306600000.0
2028.0,2723186200000.0,2593289700000.0,2679349700000.0,2641045700000.0
2029.0,2705875000000.0,2589103800000.0,2673101800000.0,2637982300000.0
2030.0,2703031800000.0,2581284800000.0,2650591500000.0,2608226000000.0
2031.0,2684543600000.0,2575233000000.0,2634446500000.0,2585107600000.0
