time,EC-EARTH3,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,CESM2,EC-EARTH3-VEG,CESM2-WACCM,GFDL-ESM4,CMCC-CM2-SR5,MPI-ESM1-2-HR,MRI-ESM2-0,INM-CM5-0
2000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0
2001.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0
2002.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0
2003.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0
2004.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0
2005.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0
2006.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0
2007.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0
2008.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0
2009.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0
2010.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0
2011.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0
2012.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0
2013.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0
2014.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0
2015.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0
2016.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0
2017.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0
2018.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0
2019.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0
2020.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0
2021.0,2743832200000.0,2757468400000.0,2759475900000.0,2775404500000.0,2747428800000.0,2758621800000.0,2758939000000.0,2757590500000.0,2760281000000.0,2747346200000.0,2763165300000.0,2766268800000.0,2763094000000.0,2767456300000.0
2022.0,2704802000000.0,2745011000000.0,2746486400000.0,2751250300000.0,2741959000000.0,2752189300000.0,2738957300000.0,2736743800000.0,2760862000000.0,2730313000000.0,2754654200000.0,2761878700000.0,2735864800000.0,2752199500000.0
2023.0,2673879000000.0,2742692600000.0,2731624600000.0,2744304000000.0,2744923200000.0,2750392000000.0,2714530500000.0,2715679200000.0,2747726300000.0,2712417600000.0,2745340000000.0,2737496400000.0,2719272000000.0,2738193200000.0
2024.0,2654590500000.0,2735279000000.0,2698949000000.0,2738661000000.0,2738244000000.0,2733669600000.0,2689708600000.0,2696246500000.0,2724909800000.0,2705852700000.0,2744805800000.0,2729236500000.0,2699341300000.0,2724464400000.0
2025.0,2605434000000.0,2747627500000.0,2684693500000.0,2713787300000.0,2702572000000.0,2724760000000.0,2685883600000.0,2688505600000.0,2706101800000.0,2698417500000.0,2739882700000.0,2720865500000.0,2673929000000.0,2708102000000.0
