time,IPSL-CM6A-LR,GFDL-ESM4,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,INM-CM5-0,EC-EARTH3,CANESM5,FGOALS-F3-L,MPI-ESM1-2-HR,INM-CM4-8,BCC-CSM2-MR,CESM2,NORESM2-MM,EC-EARTH3-VEG,CAMS-CSM1-0,ACCESS-CM2
2000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0
2001.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0
2002.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0
2003.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0
2004.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0
2005.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0
2006.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0
2007.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0
2008.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0
2009.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0
2010.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0
2011.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0
2012.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0
2013.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0
2014.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0
2015.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0
2016.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0
2017.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0
2018.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0
2019.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0
2020.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0
2021.0,72513100000.0,70283665000.0,72712200000.0,68976080000.0,71700550000.0,71095165000.0,73197820000.0,72944660000.0,67967193000.0,73052340000.0,72273180000.0,70283420000.0,69345080000.0,70686650000.0,71230630000.0,71274890000.0,72385920000.0
2022.0,69673040000.0,65433137000.0,69532656000.0,63553780000.0,71683880000.0,68931440000.0,71262900000.0,71625466000.0,67444515000.0,73421670000.0,71185090000.0,68738310000.0,68038398000.0,68364108000.0,68608164000.0,68450760000.0,70267690000.0
2023.0,68817880000.0,64886215000.0,63566758000.0,62995420000.0,72594120000.0,67250440000.0,71422070000.0,71250450000.0,66745740000.0,70972300000.0,69621150000.0,66323497000.0,64516350000.0,66419786000.0,66777190000.0,69065780000.0,66212086000.0
2024.0,67395390000.0,65400357000.0,61866353000.0,62064275000.0,71474954000.0,66358387000.0,68827430000.0,68547318000.0,61742453000.0,68559327000.0,70136940000.0,66549404000.0,62076146000.0,64731180000.0,65213063000.0,66298937000.0,63258470000.0
