time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
2010.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0
2011.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0
2012.0,4929508300000.0,4929508300000.0,4929508300000.0,4929508300000.0
2013.0,4905386400000.0,4905386400000.0,4905386400000.0,4905386400000.0
2014.0,4871476000000.0,4871476000000.0,4871476000000.0,4871476000000.0
2015.0,4870035000000.0,4870035000000.0,4870035000000.0,4870035000000.0
2016.0,4846093600000.0,4846093600000.0,4846093600000.0,4846093600000.0
2017.0,4792803000000.0,4792803000000.0,4792803000000.0,4792803000000.0
2018.0,4765307600000.0,4765307600000.0,4765307600000.0,4765307600000.0
2019.0,4723266000000.0,4723266000000.0,4723266000000.0,4723266000000.0
2020.0,4693323400000.0,4693323400000.0,4693323400000.0,4693323400000.0
2021.0,4679965600000.0,4678765500000.0,4682946000000.0,4672330400000.0
2022.0,4662023000000.0,4636000000000.0,4659905000000.0,4662676000000.0
2023.0,4640740500000.0,4605202000000.0,4656172400000.0,4634288600000.0
2024.0,4635137000000.0,4603448000000.0,4642978700000.0,4608878400000.0
2025.0,4626267000000.0,4578461400000.0,4615791700000.0,4569700500000.0
2026.0,4604612000000.0,4554824000000.0,4610520500000.0,4554898000000.0
2027.0,4578063000000.0,4519588000000.0,4607198600000.0,4520307300000.0
2028.0,4555719300000.0,4461226000000.0,4578265300000.0,4471695000000.0
2029.0,4543574700000.0,4425590000000.0,4554536500000.0,4425976400000.0
2030.0,4520140000000.0,4391731700000.0,4524529000000.0,4408425300000.0
2031.0,4511977400000.0,4356606800000.0,4519260300000.0,4395183000000.0
2032.0,4483014000000.0,4309609600000.0,4492328700000.0,4382995500000.0
2033.0,4451492400000.0,4288167500000.0,4477464600000.0,4378851800000.0
2034.0,4399674400000.0,4273544600000.0,4455413000000.0,4362846600000.0
2035.0,4373266000000.0,4241377200000.0,4404627000000.0,4344573000000.0
2036.0,4347649900000.0,4223223700000.0,4353925600000.0,4311690800000.0
2037.0,4309998000000.0,4178934500000.0,4327206800000.0,4275118500000.0
2038.0,4301053800000.0,4145846700000.0,4306597800000.0,4263745000000.0
2039.0,4295477700000.0,4120929400000.0,4290387400000.0,4231857700000.0
2040.0,4283709500000.0,4093948700000.0,4284762300000.0,4217069000000.0
2041.0,4240628500000.0,4053620800000.0,4284077000000.0,4200452800000.0
2042.0,4224217300000.0,4023933500000.0,4257063600000.0,4168677000000.0
2043.0,4203018700000.0,4000151000000.0,4225308300000.0,4147653000000.0
2044.0,4162818700000.0,3968180400000.0,4220410700000.0,4136532200000.0
2045.0,4133248000000.0,3949430000000.0,4203567600000.0,4128623600000.0
2046.0,4121458400000.0,3905822000000.0,4183706000000.0,4107278500000.0
2047.0,4099690200000.0,3864300000000.0,4160869000000.0,4082304500000.0
2048.0,4081794200000.0,3842802700000.0,4153885300000.0,4066137600000.0
2049.0,4075446300000.0,3821637700000.0,4145039800000.0,4040226800000.0
2050.0,4086090200000.0,3801459200000.0,4140074500000.0,3994015200000.0
2051.0,4068374200000.0,3769905000000.0,4133527500000.0,3980146200000.0
2052.0,4050714600000.0,3753100000000.0,4101814600000.0,3969241800000.0
2053.0,4039337600000.0,3718908700000.0,4065631700000.0,3954774000000.0
2054.0,4022198900000.0,3676830700000.0,4044570500000.0,3943195500000.0
2055.0,4006555400000.0,3645329600000.0,4012353800000.0,3928985400000.0
2056.0,4005822000000.0,3612349000000.0,3983484000000.0,3926889300000.0
2057.0,4011585000000.0,3579872300000.0,3947417600000.0,3908093600000.0
2058.0,3987428600000.0,3551462200000.0,3936392000000.0,3909041000000.0
2059.0,3975318000000.0,3532318300000.0,3921637500000.0,3897963600000.0
2060.0,3952895300000.0,3520585000000.0,3912459600000.0,3895887400000.0
2061.0,3946366600000.0,3510396500000.0,3920339400000.0,3892020200000.0
2062.0,3933526600000.0,3504702500000.0,3913737000000.0,3885500500000.0
2063.0,3919074300000.0,3490714000000.0,3880842200000.0,3885633400000.0
2064.0,3913762500000.0,3484969300000.0,3871016700000.0,3871353900000.0
2065.0,3907985600000.0,3473014300000.0,3859155800000.0,3844761500000.0
2066.0,3907256800000.0,3468096400000.0,3853990500000.0,3834148800000.0
2067.0,3888430700000.0,3458960500000.0,3822495000000.0,3817958800000.0
2068.0,3868377000000.0,3435311400000.0,3803521000000.0,3808730300000.0
2069.0,3862530400000.0,3428108700000.0,3787535200000.0,3804839300000.0
2070.0,3843374000000.0,3439094700000.0,3778335700000.0,3794597300000.0
2071.0,3834632500000.0,3434251000000.0,3776069000000.0,3790882500000.0
