time,CAMS-CSM1-0,ACCESS-ESM1-5,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,TAIESM1,MRI-ESM2-0,INM-CM5-0,CESM2,CESM2-WACCM,EC-EARTH3-VEG,NORESM2-MM,CANESM5,CMCC-CM2-SR5,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR,ACCESS-CM2
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
