time,CNRM-CM6-1,IPSL-CM6A-LR,MPI-ESM1-2-HR,TAIESM1,MIROC6,CESM2-WACCM,CANESM5,GFDL-ESM4,UKESM1-0-LL,CNRM-ESM2-1,EC-EARTH3,KACE-1-0-G,MRI-ESM2-0
2000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0
2001.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0
2002.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0
2003.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0
2004.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0
2005.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0
2006.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0
2007.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0
2008.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0
2009.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0
