time,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,306328930000.0,306328930000.0
2001.0,307506680000.0,307506680000.0
2002.0,305881580000.0,305881580000.0
2003.0,300428260000.0,300428260000.0
2004.0,297830840000.0,297830840000.0
2005.0,296095220000.0,296095220000.0
2006.0,296015430000.0,296015430000.0
2007.0,291898520000.0,291898520000.0
2008.0,292775850000.0,292775850000.0
2009.0,291812600000.0,291812600000.0
2010.0,287543600000.0,287543600000.0
2011.0,285188230000.0,285188230000.0
2012.0,284529400000.0,284529400000.0
2013.0,285088970000.0,285088970000.0
2014.0,282159220000.0,282159220000.0
2015.0,278154970000.0,278154970000.0
2016.0,280165580000.0,280165580000.0
2017.0,276606840000.0,276606840000.0
2018.0,276399820000.0,276399820000.0
2019.0,271140130000.0,271140130000.0
2020.0,269031820000.0,269031820000.0
2021.0,268473940000.0,263513310000.0
2022.0,268334500000.0,257463580000.0
2023.0,266969900000.0,253376940000.0
2024.0,264347340000.0,251167750000.0
2025.0,259751770000.0,248264360000.0
2026.0,255055020000.0,246004140000.0
2027.0,252994760000.0,241540380000.0
2028.0,250484590000.0,236173660000.0
2029.0,246716580000.0,231657930000.0
2030.0,245644900000.0,220908650000.0
2031.0,243306500000.0,216957730000.0
2032.0,242792870000.0,215387730000.0
2033.0,240048180000.0,212008000000.0
2034.0,239088300000.0,211148000000.0
2035.0,233937700000.0,205658240000.0
2036.0,230678890000.0,201427760000.0
2037.0,229244580000.0,199460770000.0
2038.0,226611100000.0,196071650000.0
2039.0,222452880000.0,193275270000.0
2040.0,221883220000.0,189744730000.0
2041.0,215650400000.0,187883060000.0
2042.0,214123200000.0,186695000000.0
2043.0,210554980000.0,183039600000.0
2044.0,206328770000.0,179050020000.0
2045.0,200621600000.0,175362600000.0
2046.0,196687050000.0,169861920000.0
2047.0,192455100000.0,166041490000.0
2048.0,187378430000.0,163456010000.0
2049.0,184270340000.0,161098660000.0
2050.0,180354890000.0,158287630000.0
2051.0,174811580000.0,153946140000.0
2052.0,172847550000.0,150028270000.0
2053.0,171645350000.0,148039370000.0
2054.0,167317210000.0,147188500000.0
2055.0,164809570000.0,142318130000.0
2056.0,159034340000.0,140735630000.0
2057.0,153124400000.0,136945070000.0
2058.0,148475430000.0,134369070000.0
2059.0,145515720000.0,131551110000.0
2060.0,143318120000.0,126847030000.0
2061.0,141057490000.0,126417520000.0
2062.0,135155440000.0,125750740000.0
2063.0,127516066000.0,120859525000.0
2064.0,124014230000.0,118041680000.0
2065.0,118841440000.0,115236135000.0
2066.0,112925020000.0,114514080000.0
2067.0,108457600000.0,111805100000.0
2068.0,105701000000.0,111671206000.0
2069.0,101037210000.0,110058350000.0
2070.0,96761045000.0,108471435000.0
2071.0,93304910000.0,104227230000.0
2072.0,88142710000.0,100869554000.0
2073.0,84038550000.0,100592100000.0
2074.0,80550420000.0,99626680000.0
2075.0,77476400000.0,98000210000.0
2076.0,74462400000.0,96826060000.0
2077.0,71330220000.0,94992570000.0
2078.0,68326973000.0,92890370000.0
2079.0,65662534000.0,90224140000.0
2080.0,61964040000.0,88509310000.0
2081.0,58694360000.0,87924130000.0
2082.0,55048864000.0,85893630000.0
2083.0,53809115000.0,83735660000.0
2084.0,50933674000.0,81935155000.0
2085.0,47727555000.0,81339930000.0
2086.0,44508512000.0,80164635000.0
2087.0,41748857000.0,78081130000.0
2088.0,39915225000.0,77659960000.0
2089.0,39192785000.0,76223050000.0
2090.0,37430563000.0,74253705000.0
2091.0,34761920000.0,73888860000.0
2092.0,32702484000.0,72485850000.0
2093.0,30900537000.0,71320250000.0
2094.0,29171080000.0,70899520000.0
2095.0,28084015000.0,69746640000.0
2096.0,26110122000.0,67357870000.0
2097.0,25261763000.0,65609350000.0
2098.0,24144232000.0,65175118000.0
2099.0,23057711000.0,64554590000.0
2100.0,21746600000.0,62836855000.0
