time,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL
2000.0,60881550000.0,60881550000.0,60881550000.0,60881550000.0
2001.0,59775930000.0,59775930000.0,59775930000.0,59775930000.0
2002.0,59756544000.0,59756544000.0,59756544000.0,59756544000.0
2003.0,59852976000.0,59852976000.0,59852976000.0,59852976000.0
2004.0,60165902000.0,60165902000.0,60165902000.0,60165902000.0
2005.0,60924650000.0,60924650000.0,60924650000.0,60924650000.0
2006.0,61707715000.0,61707715000.0,61707715000.0,61707715000.0
2007.0,61192530000.0,61192530000.0,61192530000.0,61192530000.0
2008.0,60345140000.0,60345140000.0,60345140000.0,60345140000.0
2009.0,59844110000.0,59844110000.0,59844110000.0,59844110000.0
2010.0,60465648000.0,60465648000.0,60465648000.0,60465648000.0
2011.0,58547806000.0,58547806000.0,58547806000.0,58547806000.0
2012.0,57790243000.0,57790243000.0,57790243000.0,57790243000.0
2013.0,56235600000.0,56235600000.0,56235600000.0,56235600000.0
2014.0,55737490000.0,55737490000.0,55737490000.0,55737490000.0
2015.0,54232060000.0,54232060000.0,54232060000.0,54232060000.0
2016.0,52593234000.0,52593234000.0,52593234000.0,52593234000.0
2017.0,52103602000.0,52103602000.0,52103602000.0,52103602000.0
2018.0,50844090000.0,50844090000.0,50844090000.0,50844090000.0
2019.0,49261765000.0,49261765000.0,49261765000.0,49261765000.0
2020.0,47723913000.0,47723913000.0,47723913000.0,47723913000.0
2021.0,45601630000.0,47533953000.0,46194786000.0,46663356000.0
2022.0,45318103000.0,46690980000.0,42945820000.0,45704380000.0
2023.0,43735250000.0,45558560000.0,42037035000.0,43134153000.0
2024.0,41771960000.0,43184394000.0,40090616000.0,41320452000.0
2025.0,40644293000.0,41186660000.0,39209820000.0,38908530000.0
2026.0,39629120000.0,39554576000.0,37727224000.0,37883974000.0
2027.0,38195670000.0,38675330000.0,37113324000.0,36853300000.0
2028.0,36301373000.0,37765345000.0,35199287000.0,35333470000.0
2029.0,35590560000.0,38127833000.0,34181800000.0,33960660000.0
2030.0,34019942000.0,38286316000.0,32682619000.0,32324010000.0
2031.0,33106356000.0,37445170000.0,31918412000.0,31803068000.0
2032.0,31980268000.0,35971010000.0,31654930000.0,30459453000.0
2033.0,30944203000.0,35427127000.0,30096366000.0,28259730000.0
2034.0,30507880000.0,35612996000.0,29823894000.0,27696050000.0
2035.0,29488773000.0,34025218000.0,28945670000.0,27848497000.0
2036.0,27395060000.0,32168410000.0,28703918000.0,26103407000.0
2037.0,27052835000.0,31227124000.0,27253700000.0,24828926000.0
2038.0,27159587000.0,29313757000.0,26140869000.0,24537078000.0
2039.0,26534120000.0,28994714000.0,25865826000.0,23200560000.0
2040.0,25461043000.0,28399065000.0,25124559000.0,23121607000.0
2041.0,24167217000.0,27273525000.0,24368525000.0,22445451000.0
2042.0,23666000000.0,26179540000.0,23541137000.0,21598007000.0
2043.0,23449293000.0,25788697000.0,23106367000.0,19787120000.0
2044.0,23222016000.0,25056008000.0,22628053000.0,19393206000.0
2045.0,22606836000.0,25488712000.0,22515990000.0,18773178000.0
2046.0,22689278000.0,25810543000.0,21633081000.0,17844513000.0
