time,CANESM5,CNRM-CM6-1,MPI-ESM1-2-HR,MIROC6,CESM2-WACCM,TAIESM1,EC-EARTH3,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,KACE-1-0-G
2000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0
2001.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0
2002.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0
2003.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0
2004.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0
2005.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0
2006.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0
2007.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0
2008.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0
2009.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0
2010.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0
2011.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0
2012.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0
2013.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0
2014.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0
2015.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0
2016.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0
2017.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0
2018.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0
2019.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0
2020.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0
2021.0,699675440000.0,717325500000.0,723577800000.0,714784700000.0,715375440000.0,713424900000.0,722012200000.0,720695700000.0,712060760000.0,714392860000.0,716472000000.0,723510950000.0,719347450000.0
2022.0,661138830000.0,702391060000.0,714372700000.0,710299200000.0,696800050000.0,707180400000.0,692573440000.0,709052860000.0,694928740000.0,699725250000.0,696266060000.0,710859500000.0,705821700000.0
2023.0,644391100000.0,702867440000.0,706696840000.0,691941900000.0,677213300000.0,694804500000.0,672131600000.0,692429800000.0,675528250000.0,683679600000.0,682418240000.0,701737860000.0,694349700000.0
2024.0,606649200000.0,696121700000.0,693381200000.0,687328500000.0,677068200000.0,679911500000.0,661744000000.0,683700400000.0,660700700000.0,673308700000.0,663018860000.0,688829960000.0,680652300000.0
2025.0,569095500000.0,682701700000.0,681299800000.0,682875160000.0,647541950000.0,654416150000.0,644232000000.0,669164800000.0,653850100000.0,669332500000.0,647588800000.0,674297740000.0,684608850000.0
2026.0,551390940000.0,661973760000.0,679188500000.0,681394200000.0,628851000000.0,635200700000.0,627613560000.0,668084700000.0,633358250000.0,648723300000.0,640970300000.0,657022500000.0,666128000000.0
2027.0,522049100000.0,639887400000.0,670980050000.0,668594300000.0,616781900000.0,624864660000.0,611870200000.0,655120400000.0,609929460000.0,644249600000.0,631373500000.0,641929300000.0,663443540000.0
2028.0,488337540000.0,621837700000.0,661040600000.0,661129400000.0,596007600000.0,609377400000.0,598689600000.0,645468100000.0,596563500000.0,643932950000.0,611775000000.0,632031500000.0,650355930000.0
2029.0,463000670000.0,610406240000.0,656334500000.0,655730150000.0,586304600000.0,588139660000.0,579608640000.0,631421670000.0,575683400000.0,626588060000.0,593774600000.0,621164000000.0,642088440000.0
2030.0,442160700000.0,612329200000.0,640916900000.0,644525600000.0,585511900000.0,575262950000.0,561309200000.0,613281230000.0,553837130000.0,608478200000.0,586219650000.0,612330440000.0,631000140000.0
2031.0,419140760000.0,598009000000.0,639228100000.0,641602750000.0,567087800000.0,560559950000.0,542977500000.0,596022070000.0,538737300000.0,605186200000.0,579328000000.0,596781000000.0,616622460000.0
