time,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,67804960000.0,67804960000.0
2001.0,68206002000.0,68206002000.0
2002.0,67095146000.0,67095146000.0
2003.0,67392650000.0,67392650000.0
2004.0,67503886000.0,67503886000.0
2005.0,68653410000.0,68653410000.0
2006.0,66978894000.0,66978894000.0
2007.0,67350200000.0,67350200000.0
2008.0,66361373000.0,66361373000.0
2009.0,65109135000.0,65109135000.0
2010.0,65113362000.0,65113362000.0
2011.0,63595114000.0,63595114000.0
2012.0,62328484000.0,62328484000.0
2013.0,61857790000.0,61857790000.0
2014.0,60453618000.0,60453618000.0
2015.0,59934560000.0,59934560000.0
2016.0,59552256000.0,59552256000.0
2017.0,58677715000.0,58677715000.0
2018.0,57561596000.0,57561596000.0
2019.0,55998464000.0,55998464000.0
2020.0,55356260000.0,55356260000.0
2021.0,55757357000.0,54568157000.0
2022.0,56848260000.0,55382254000.0
2023.0,55730434000.0,50950738000.0
2024.0,56406960000.0,49648407000.0
2025.0,57580642000.0,49938600000.0
2026.0,55157850000.0,50307550000.0
2027.0,54683390000.0,51222073000.0
2028.0,55569080000.0,49873932000.0
2029.0,53488660000.0,47449424000.0
2030.0,53596210000.0,46842753000.0
2031.0,53564510000.0,46691280000.0
2032.0,52149436000.0,45033873000.0
2033.0,51440710000.0,44267710000.0
2034.0,49774530000.0,43180843000.0
2035.0,50039824000.0,44101083000.0
2036.0,49800980000.0,42668593000.0
2037.0,47590940000.0,40759970000.0
2038.0,47315132000.0,40721826000.0
2039.0,48053440000.0,40313078000.0
2040.0,47126585000.0,38903300000.0
2041.0,45935665000.0,38412685000.0
2042.0,45656630000.0,37280735000.0
2043.0,44701372000.0,35694230000.0
2044.0,44701040000.0,35289965000.0
2045.0,44885330000.0,33663551000.0
2046.0,45111853000.0,32562885000.0
2047.0,44445580000.0,32039397000.0
2048.0,43624264000.0,31405005000.0
2049.0,42749070000.0,30533149000.0
2050.0,42854416000.0,29548026000.0
2051.0,41787257000.0,29458653000.0
2052.0,41123220000.0,28932067000.0
2053.0,37844275000.0,28253536000.0
2054.0,36455860000.0,27689992000.0
2055.0,36737528000.0,27336083000.0
2056.0,35956593000.0,27750955000.0
2057.0,37512032000.0,27513313000.0
2058.0,35999687000.0,26541533000.0
2059.0,35291580000.0,26541023000.0
2060.0,34435146000.0,26393400000.0
2061.0,32733397000.0,26105434000.0
2062.0,32878817000.0,25003545000.0
2063.0,33604348000.0,24281694000.0
2064.0,34976027000.0,23674155000.0
2065.0,33944238000.0,23614216000.0
2066.0,32473730000.0,23494400000.0
2067.0,32673354000.0,23883508000.0
2068.0,31205510000.0,23878150000.0
2069.0,31271492000.0,23325819000.0
2070.0,30084303000.0,22848350000.0
2071.0,29121098000.0,22427585000.0
2072.0,28233896000.0,22582778000.0
2073.0,27934054000.0,22049229000.0
2074.0,28041611000.0,22420115000.0
2075.0,27516742000.0,21271212000.0
2076.0,26514470000.0,20430258000.0
2077.0,26070354000.0,19195527000.0
2078.0,25236933000.0,18591367000.0
2079.0,25315670000.0,17764348000.0
2080.0,24501901000.0,16833889000.0
2081.0,24210360000.0,16434394000.0
2082.0,24024748000.0,15908775000.0
2083.0,23829770000.0,15403593000.0
2084.0,23402570000.0,15926469000.0
2085.0,23260742000.0,15737003000.0
2086.0,22898393000.0,15355447000.0
2087.0,21895012000.0,15691643000.0
2088.0,21461348000.0,15263131000.0
2089.0,20589804000.0,14692137000.0
2090.0,21050730000.0,14446332000.0
2091.0,20844208000.0,14320350000.0
2092.0,20300237000.0,14374765000.0
2093.0,20545024000.0,13774462000.0
2094.0,20541467000.0,13431713000.0
2095.0,19540382000.0,13071068000.0
2096.0,19013720000.0,12351447000.0
2097.0,17764553000.0,12425993000.0
2098.0,17376508000.0,12133859000.0
2099.0,16579831000.0,11747466000.0
2100.0,16089114000.0,12070059000.0
