time,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,CESM1-CAM5,CCSM4,IPSL-CM5A-LR,GFDL-CM3,GISS-E2-R
2000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0
2001.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0
2002.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0
2003.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0
2004.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0
2005.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0
2006.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0
2007.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0
2008.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0
2009.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0
2010.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0
2011.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0
2012.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0,10038556000.0
2013.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0,10036000000.0
2014.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0,10034335000.0
2015.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0,10030509000.0
2016.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0,10029952000.0
2017.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0,10023407000.0
2018.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0,10018842000.0
2019.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0,10017142000.0
2020.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0,10011598000.0
2021.0,10007214000.0,10029936000.0,10006536000.0,10006611000.0,10007137000.0,10004435000.0,10005716000.0,10007653000.0
2022.0,9999981000.0,10019804000.0,9999787000.0,9996412000.0,9998716000.0,9997496000.0,9997722000.0,9999791000.0
2023.0,10001522000.0,10017196000.0,9996127000.0,9988964000.0,9996327000.0,9992643000.0,9992170000.0,9996061000.0
2024.0,9996238000.0,10014857000.0,9990873000.0,9982476000.0,9990645000.0,9986280000.0,9987544000.0,9992387000.0
2025.0,9992124000.0,10014963000.0,9987690000.0,9974602000.0,9984950000.0,9981553000.0,9979547000.0,9985424000.0
2026.0,9986200000.0,10014762000.0,9982703000.0,9967845000.0,9980104000.0,9974530000.0,9974755000.0,9979045000.0
2027.0,9981711000.0,10013039000.0,9977275000.0,9949718000.0,9973549000.0,9968797000.0,9969773000.0,9973855000.0
2028.0,9971801000.0,10012467000.0,9971584000.0,9931720000.0,9960336000.0,9953194000.0,9955072000.0,9959912000.0
2029.0,9959897000.0,10026855000.0,9959063000.0,9903361000.0,9945884000.0,9933563000.0,9939391000.0,9948256000.0
2030.0,9952318000.0,10028857000.0,9947991000.0,9888713000.0,9920553000.0,9910096000.0,9915103000.0,9937321000.0
2031.0,9934345000.0,10024191000.0,9937533000.0,9863417000.0,9914442000.0,9896521000.0,9902926000.0,9913631000.0
2032.0,9928391000.0,10020546000.0,9921427000.0,9833122000.0,9901311000.0,9868869000.0,9874883000.0,9901065000.0
