time,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G,CCSM4,GFDL-CM3,CANESM2,IPSL-CM5A-LR,CNRM-CM5,MPI-ESM-LR,NORESM1-M
2000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0,51698606000.0
2001.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0,51718270000.0
2002.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0,51699010000.0
2003.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0,51678550000.0
2004.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0,51658387000.0
2005.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0,51747754000.0
2006.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0,51633394000.0
2007.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0,51634340000.0
2008.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0,51698680000.0
2009.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0,52219974000.0
2010.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0,51651250000.0
2011.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0,51634115000.0
2012.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0,51669510000.0
2013.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0,51613540000.0
2014.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0,51588130000.0
2015.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0,51609880000.0
2016.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0,51604218000.0
2017.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0,51556225000.0
2018.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0,51552620000.0
2019.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0,51537334000.0
2020.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0,51519840000.0
2021.0,51500667000.0,51508453000.0,51503210000.0,51502895000.0,51500556000.0,51514098000.0,51499626000.0,51499102000.0,51505150000.0,51559250000.0
2022.0,51507528000.0,51493057000.0,51481207000.0,51463725000.0,51487056000.0,51488264000.0,51486527000.0,51490415000.0,51499463000.0,51491690000.0
2023.0,51454005000.0,51460660000.0,51441787000.0,51459370000.0,51433740000.0,51446050000.0,51489264000.0,51440190000.0,51455320000.0,51434783000.0
2024.0,51452363000.0,51490583000.0,51428504000.0,51430253000.0,51418690000.0,51403320000.0,51435330000.0,51423810000.0,51434210000.0,51387990000.0
2025.0,51397145000.0,51447312000.0,51399995000.0,51386100000.0,51374680000.0,51397386000.0,51390358000.0,51398582000.0,51422910000.0,51366965000.0
2026.0,51376157000.0,51421676000.0,51356725000.0,51357810000.0,51355476000.0,51364467000.0,51466530000.0,51372044000.0,51382346000.0,51341672000.0
2027.0,51372265000.0,51389050000.0,51338990000.0,51360236000.0,51312333000.0,51348500000.0,51372806000.0,51338535000.0,51367125000.0,51300176000.0
2028.0,51338772000.0,51384005000.0,51322460000.0,51329032000.0,51281850000.0,51304907000.0,51342963000.0,51321440000.0,51317277000.0,51275837000.0
2029.0,51310250000.0,51357690000.0,51315680000.0,51308737000.0,51243630000.0,51295044000.0,51328770000.0,51290070000.0,51296727000.0,51244724000.0
2030.0,51304743000.0,51395150000.0,51275820000.0,51318370000.0,51214470000.0,51283915000.0,51315090000.0,51259320000.0,51275915000.0,51221217000.0
2031.0,51282567000.0,51326830000.0,51247428000.0,51266945000.0,51155796000.0,51263170000.0,51281633000.0,51208000000.0,51258490000.0,51197137000.0
2032.0,51254330000.0,51287896000.0,51209910000.0,51245396000.0,51119104000.0,51220820000.0,51262583000.0,51174060000.0,51236990000.0,51188080000.0
2033.0,51245777000.0,51278213000.0,51185254000.0,51239526000.0,51087250000.0,51191235000.0,51262070000.0,51127804000.0,51204060000.0,51154230000.0
2034.0,51236418000.0,51276235000.0,51172030000.0,51247935000.0,51007373000.0,51154186000.0,51219390000.0,51106906000.0,51195940000.0,51096183000.0
