time,MPI-ESM-LR,GFDL-CM3,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,GISS-E2-R,CESM1-CAM5,IPSL-CM5A-LR,NORESM1-M,CANESM2,GFDL-ESM2G
2000.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0
2001.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0
2002.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0
2003.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0
2004.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0
2005.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0
2006.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0
2007.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0
2008.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0
2009.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0
2010.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0
2011.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0
2012.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0
2013.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0
2014.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0
