time,NORESM1-M,GFDL-CM3,CCSM4,IPSL-CM5A-LR,GFDL-ESM2G,GISS-E2-R,CESM1-CAM5,CSIRO-MK3-6-0
2000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0
2001.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0
2002.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0
2003.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0
2004.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0
2005.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0
2006.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0
2007.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0
2008.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0
2009.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0
2010.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0
2011.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0
2012.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0
2013.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0
2014.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0
2015.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0
2016.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0
2017.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0
2018.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0
2019.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0
2020.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0
2021.0,26902837000.0,26854531000.0,26893484000.0,26874614000.0,27068630000.0,26882621000.0,26835225000.0,27033879000.0
2022.0,26793683000.0,26678161000.0,26855840000.0,26740636000.0,26934692000.0,26753858000.0,26745780000.0,26758294000.0
2023.0,26702905000.0,26503524000.0,26702260000.0,26622810000.0,27155542000.0,26609904000.0,26730205000.0,26648594000.0
2024.0,26552416000.0,26544955000.0,26640220000.0,26441845000.0,26784678000.0,26458978000.0,26684867000.0,26578047000.0
2025.0,26413758000.0,26426120000.0,26558910000.0,26329387000.0,26666942000.0,26324728000.0,26810943000.0,26426024000.0
2026.0,26585653000.0,26142212000.0,26452320000.0,26178302000.0,26560799000.0,26346959000.0,26552603000.0,26291108000.0
2027.0,26278110000.0,26027723000.0,26202001000.0,25988395000.0,26806921000.0,26309224000.0,26503246000.0,26232416000.0
2028.0,26126752000.0,26019568000.0,26092157000.0,25857880000.0,26600202000.0,26040117000.0,26348438000.0,26097302000.0
2029.0,26103542000.0,25743080000.0,25947754000.0,25849004000.0,26398226000.0,25792186000.0,26190496000.0,25948170000.0
2030.0,25879833000.0,25506722000.0,25994752000.0,25726030000.0,26239902000.0,25592168000.0,26069662000.0,25710250000.0
2031.0,25676636000.0,25450623000.0,25676495000.0,25698734000.0,26140449000.0,25579210000.0,26016492000.0,25570638000.0
2032.0,25551714000.0,25194637000.0,25514445000.0,25488730000.0,25994619000.0,25367460000.0,25828897000.0,25405344000.0
2033.0,25374996000.0,25044318000.0,25316878000.0,25335702000.0,25996700000.0,25258461000.0,25720908000.0,25283674000.0
2034.0,25259233000.0,24930204000.0,25143114000.0,25132515000.0,25848834000.0,25117276000.0,25698765000.0,25300306000.0
2035.0,25249475000.0,25016584000.0,24978710000.0,25103350000.0,25681775000.0,24919644000.0,25565911000.0,25184670000.0
2036.0,24965595000.0,24636228000.0,25768352000.0,24841296000.0,25700878000.0,24742384000.0,25437241000.0,24878895000.0
2037.0,24830720000.0,24690457000.0,24794850000.0,24605250000.0,25567281000.0,24839950000.0,25295714000.0,24851124000.0
2038.0,24622336000.0,24462480000.0,24529502000.0,24450310000.0,25468664000.0,24613384000.0,25140642000.0,24719045000.0
2039.0,24401586000.0,24397500000.0,24376347000.0,24258034000.0,25414158000.0,24410294000.0,25258720000.0,24620298000.0
2040.0,24306653000.0,24097022000.0,24195777000.0,24150483000.0,25318780000.0,24226450000.0,24869992000.0,24446657000.0
2041.0,24227377000.0,23947061000.0,23997690000.0,23989380000.0,25186621000.0,24112840000.0,24761969000.0,24264303000.0
2042.0,24013340000.0,23767884000.0,23818342000.0,23851598000.0,25087365000.0,23984540000.0,24640825000.0,24129675000.0
2043.0,24037456000.0,23481424000.0,23643120000.0,23662287000.0,24971323000.0,23869516000.0,24626604000.0,24007066000.0
2044.0,23877325000.0,23302009000.0,23640922000.0,23510070000.0,24894077000.0,23748880000.0,24438130000.0,23939193000.0
2045.0,23717660000.0,23133522000.0,23385731000.0,23505810000.0,24800375000.0,23536765000.0,24320730000.0,23940490000.0
2046.0,23512283000.0,23358159000.0,23199216000.0,23244292000.0,24726080000.0,23364073000.0,24184287000.0,23884098000.0
2047.0,23445250000.0,23011990000.0,22965453000.0,23052642000.0,24526481000.0,23238783000.0,24033075000.0,23599362000.0
2048.0,23210514000.0,22718783000.0,22760258000.0,22874608000.0,24382300000.0,23151810000.0,23879860000.0,23422826000.0
2049.0,23008965000.0,22527955000.0,22516462000.0,22761533000.0,24298512000.0,23076956000.0,23752724000.0,23323406000.0
2050.0,22796124000.0,22446723000.0,22448296000.0,22657194000.0,24240554000.0,23009583000.0,23572020000.0,23134550000.0
2051.0,22621774000.0,22239773000.0,22357197000.0,22547532000.0,24264536000.0,22817827000.0,23436923000.0,22979533000.0
2052.0,22506777000.0,22100736000.0,22020174000.0,22391636000.0,24019814000.0,22664241000.0,23313848000.0,22917214000.0
2053.0,22442344000.0,21890440000.0,21848906000.0,22729804000.0,23929215000.0,22491177000.0,23292490000.0,22765152000.0
2054.0,22184030000.0,21705160000.0,21638130000.0,22151432000.0,23880606000.0,22403553000.0,23253213000.0,22806400000.0
2055.0,22047523000.0,21468291000.0,21524056000.0,22017356000.0,24222050000.0,22199810000.0,23079840000.0,22576701000.0
2056.0,21958322000.0,21383696000.0,21288645000.0,21890703000.0,23789285000.0,22021536000.0,22848985000.0,22441413000.0
2057.0,21914614000.0,20994270000.0,21125908000.0,21764276000.0,23775334000.0,21876800000.0,22707685000.0,22308751000.0
2058.0,21731226000.0,20862747000.0,21664717000.0,22420658000.0,23591287000.0,21701396000.0,22578838000.0,22184106000.0
2059.0,21563302000.0,20676686000.0,20922480000.0,21621332000.0,23626170000.0,21548147000.0,22681602000.0,22025734000.0
2060.0,21461709000.0,20481356000.0,20775688000.0,21432662000.0,23414040000.0,21403464000.0,22154267000.0,21813768000.0
2061.0,21521107000.0,20282920000.0,20589940000.0,21307658000.0,23347431000.0,21444225000.0,21998866000.0,21624062000.0
2062.0,21186218000.0,20195795000.0,20444113000.0,21143165000.0,23204390000.0,21119902000.0,21915900000.0,21479480000.0
2063.0,21033077000.0,19918790000.0,20278135000.0,21014310000.0,23094292000.0,20898157000.0,21720226000.0,21357613000.0
2064.0,20916027000.0,19856794000.0,20049040000.0,20907809000.0,23015932000.0,20815923000.0,21614810000.0,21163762000.0
2065.0,20748270000.0,19621850000.0,19927200000.0,20744583000.0,22909786000.0,20616505000.0,21422526000.0,21031690000.0
2066.0,20614177000.0,19444380000.0,19792554000.0,20653914000.0,22808046000.0,20439669000.0,21231520000.0,20842710000.0
2067.0,20537635000.0,19267842000.0,19711265000.0,20527075000.0,22712869000.0,20306770000.0,21092534000.0,20731066000.0
2068.0,20341688000.0,19100266000.0,19552543000.0,20423965000.0,22581721000.0,20187144000.0,20888365000.0,20574355000.0
2069.0,20224426000.0,19064790000.0,19465791000.0,20320074000.0,22420107000.0,20058827000.0,20722751000.0,20366684000.0
2070.0,20147057000.0,18806358000.0,19325921000.0,20161250000.0,22265698000.0,20228717000.0,20561433000.0,20154077000.0
2071.0,20019663000.0,18696153000.0,19240155000.0,20036942000.0,22191192000.0,19900557000.0,20386914000.0,20019724000.0
2072.0,19924810000.0,18602381000.0,19051657000.0,19933231000.0,22154780000.0,19712567000.0,20181981000.0,19908997000.0
2073.0,19817523000.0,18500102000.0,18967572000.0,19789100000.0,21936867000.0,19583676000.0,19928947000.0,19738425000.0
2074.0,19716112000.0,18341070000.0,18789000000.0,19637381000.0,21823089000.0,19520970000.0,19650611000.0,19546743000.0
2075.0,19505166000.0,18227618000.0,18636945000.0,19477416000.0,21684378000.0,19349560000.0,19495844000.0,19397870000.0
2076.0,19392800000.0,18292304000.0,18497591000.0,19423010000.0,21567056000.0,19197450000.0,19323683000.0,19207400000.0
2077.0,19346364000.0,18067894000.0,18384314000.0,19235080000.0,21454545000.0,19044825000.0,19177750000.0,19087407000.0
2078.0,19212845000.0,17886278000.0,18337374000.0,19129297000.0,21393950000.0,18882185000.0,18981040000.0,18921497000.0
2079.0,19148235000.0,17752203000.0,18178187000.0,18927755000.0,21341118000.0,18742210000.0,18759647000.0,18759330000.0
2080.0,19517240000.0,17629606000.0,18019056000.0,18746530000.0,21240180000.0,18736601000.0,18536595000.0,18639544000.0
2081.0,18964572000.0,17528668000.0,17866082000.0,18601282000.0,21105535000.0,18452795000.0,18298075000.0,18464242000.0
2082.0,18971376000.0,17404926000.0,17740384000.0,18476310000.0,21010543000.0,18443758000.0,18127313000.0,18654624000.0
2083.0,18755834000.0,17280960000.0,17583081000.0,18334150000.0,20837851000.0,18227333000.0,17818667000.0,18218654000.0
2084.0,18637773000.0,17133471000.0,17454440000.0,18203777000.0,20641171000.0,18111064000.0,17639813000.0,18072297000.0
2085.0,19218540000.0,17055957000.0,17318126000.0,18097762000.0,20567097000.0,17993380000.0,17465868000.0,17954533000.0
2086.0,18493166000.0,17007048000.0,17147136000.0,18079530000.0,20439394000.0,17862904000.0,17262678000.0,17809246000.0
2087.0,18350676000.0,16874139000.0,16996943000.0,18194590000.0,20321452000.0,17706185000.0,17033918000.0,17634595000.0
2088.0,18243824000.0,16787445000.0,16883168000.0,17876582000.0,20224123000.0,17536130000.0,16903476000.0,17488470000.0
2089.0,18101582000.0,16673859000.0,16689805000.0,17740622000.0,20231123000.0,17383050000.0,16744771000.0,17361498000.0
2090.0,17981925000.0,16555210000.0,16517986000.0,17643985000.0,20063713000.0,17259050000.0,16600422000.0,17255380000.0
2091.0,17856682000.0,16467943000.0,16344687000.0,17494909000.0,19940633000.0,17134412000.0,16383459000.0,17063226000.0
2092.0,17718237000.0,16359523000.0,16226394000.0,17305795000.0,19853492000.0,16978419000.0,16193755000.0,16843062000.0
2093.0,17629840000.0,16302763000.0,16125418000.0,17197578000.0,19707664000.0,16821504000.0,16032418000.0,17076693000.0
2094.0,17532078000.0,16178080000.0,15957315000.0,17213479000.0,19600585000.0,16684955000.0,15879886000.0,16613674000.0
2095.0,17439617000.0,16034568000.0,15951147000.0,17027350000.0,19501740000.0,16509167000.0,15709467000.0,16461245000.0
2096.0,17975372000.0,15980545000.0,15718173000.0,16911860000.0,19349557000.0,16392400000.0,15567310000.0,16300308000.0
2097.0,17240912000.0,15855182000.0,15563229000.0,16781530000.0,19170884000.0,16243476000.0,15423129000.0,16174216000.0
2098.0,17124100000.0,15786358000.0,15419342000.0,16675865000.0,19029987000.0,16111823000.0,15239262000.0,15974328000.0
2099.0,17163185000.0,15695903000.0,15286314000.0,16660992000.0,18971111000.0,15951737000.0,15079166000.0,15860302000.0
2100.0,16930242000.0,15627704000.0,15180550000.0,16552648000.0,18766633000.0,15848459000.0,14885445000.0,15651692000.0
