time,CNRM-CM5,GFDL-CM3,CSIRO-MK3-6-0,CANESM2,IPSL-CM5A-LR,MPI-ESM-LR,GISS-E2-R,CCSM4,GFDL-ESM2G,NORESM1-M
2000.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0,1184799500.0
2001.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0,1207138700.0
2002.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0,1182553000.0
2003.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0,1203272200.0
2004.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0,1202728800.0
2005.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0,1252121100.0
2006.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0,1196927100.0
2007.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0,1207703400.0
2008.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0,1195628700.0
2009.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0,1187133600.0
2010.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0,1189949000.0
2011.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0,1179293700.0
2012.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0,1172121600.0
2013.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0,1169504600.0
2014.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0,1160609500.0
2015.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0,1156310500.0
2016.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0,1153071000.0
2017.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0,1143919500.0
2018.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0,1134425300.0
2019.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0,1121158800.0
2020.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0,1112351200.0
2021.0,1094657700.0,1100078000.0,1100035600.0,1101995100.0,1130209400.0,1164811000.0,1111807700.0,1111691500.0,1102429000.0,1104115200.0
2022.0,1086367400.0,1114289200.0,1118403200.0,1085737600.0,1099616600.0,1261553500.0,1090392400.0,1090952300.0,1150116900.0,1084191700.0
2023.0,1071880060.0,1118278300.0,1095446900.0,1066002560.0,1090051800.0,1184872800.0,1072470460.0,1082291600.0,1133558800.0,1100912500.0
2024.0,1059900200.0,1208049800.0,1077524900.0,1050661440.0,1104405000.0,1124482300.0,1070551400.0,1068404160.0,1107054500.0,1082645100.0
2025.0,1041314800.0,1097132400.0,1060935550.0,1037536800.0,1076655100.0,1106077300.0,1044448640.0,1051306940.0,1082574000.0,1070539500.0
2026.0,1024205200.0,1079082500.0,1051938400.0,1022021200.0,1056756700.0,1101426600.0,1031127100.0,1043851300.0,1090912400.0,1066494600.0
2027.0,1009286850.0,1072930560.0,1032036000.0,1009386800.0,1037197000.0,1099589900.0,1015619600.0,1050778200.0,1082439700.0,1051271940.0
2028.0,987929100.0,1066210750.0,1062219900.0,999336900.0,1014759600.0,1090985300.0,994019500.0,1041516700.0,1071918500.0,1038659900.0
