time,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,CANESM2,NORESM1-M,MPI-ESM-LR,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,CESM1-CAM5
2000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0
2001.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0
2002.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0
2003.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0
2004.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0
2005.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0
2006.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0
2007.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0
2008.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0
2009.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0
2010.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0
2011.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0
2012.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0
2013.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0
2014.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0
2015.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0
2016.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0
2017.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0
2018.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0
2019.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0
2020.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0
2021.0,134556880000.0,134557500000.0,134387890000.0,134507020000.0,134301460000.0,134321684000.0,134406950000.0,135004725000.0,134238960000.0,134902050000.0,134803900000.0
2022.0,134503380000.0,134168000000.0,134300400000.0,134530780000.0,134194960000.0,134202580000.0,134734586000.0,134699070000.0,134422640000.0,134765216000.0,134921050000.0
2023.0,134262820000.0,134142000000.0,133967300000.0,134230925000.0,134106590000.0,134272000000.0,135089760000.0,134302050000.0,134369240000.0,134711010000.0,134348520000.0
2024.0,134321590000.0,134345730000.0,133899256000.0,134051630000.0,134340630000.0,133869160000.0,136315840000.0,134458400000.0,134479190000.0,135360260000.0,134550910000.0
2025.0,133840085000.0,133852000000.0,133551850000.0,133698430000.0,134059550000.0,134075110000.0,136373290000.0,134862820000.0,134109370000.0,135058560000.0,134371140000.0
2026.0,134002470000.0,133619680000.0,133453046000.0,133728600000.0,134287890000.0,134091390000.0,136989884000.0,134942420000.0,133914380000.0,134890120000.0,134060280000.0
2027.0,133870200000.0,133620070000.0,133416450000.0,133586256000.0,134037100000.0,133517520000.0,135488610000.0,134498250000.0,133780080000.0,134757490000.0,133764230000.0
2028.0,133580130000.0,133772616000.0,133377835000.0,133952500000.0,133863100000.0,133380070000.0,136762680000.0,134363470000.0,133930164000.0,134219686000.0,133819890000.0
2029.0,133631960000.0,133289300000.0,133164570000.0,133745120000.0,134592530000.0,133499330000.0,137955480000.0,135145850000.0,133761420000.0,134727940000.0,133380920000.0
2030.0,133542130000.0,133323900000.0,133505410000.0,133913670000.0,133667610000.0,133059220000.0,137307830000.0,134516834000.0,133495780000.0,134328260000.0,133412660000.0
2031.0,133041005000.0,133288910000.0,133274830000.0,133286035000.0,133438940000.0,133188240000.0,138972760000.0,134018860000.0,133464090000.0,135097710000.0,133295240000.0
2032.0,132976240000.0,133447970000.0,132967514000.0,133071630000.0,133177980000.0,133032090000.0,136604330000.0,134317695000.0,133406515000.0,134073565000.0,132930175000.0
2033.0,132815790000.0,132967200000.0,132891360000.0,132914960000.0,133137340000.0,132739110000.0,135709204000.0,134082600000.0,133293244000.0,133538870000.0,132717265000.0
2034.0,133075620000.0,132920030000.0,132981700000.0,133320950000.0,132832510000.0,132788355000.0,135056370000.0,134543000000.0,133219550000.0,133339790000.0,132662320000.0
2035.0,132538420000.0,132694230000.0,132702950000.0,133210890000.0,132738966000.0,132551320000.0,134578635000.0,134150760000.0,132901940000.0,133339046000.0,132535600000.0
2036.0,132380650000.0,132490970000.0,132512280000.0,132750156000.0,132611000000.0,133055560000.0,134478000000.0,135058080000.0,132993920000.0,132982284000.0,132400760000.0
2037.0,132309650000.0,132452800000.0,132322130000.0,132602356000.0,132926510000.0,132387870000.0,134285230000.0,134337520000.0,132940210000.0,132826660000.0,132682530000.0
2038.0,132102955000.0,132418224000.0,132333850000.0,132542350000.0,132505860000.0,132417995000.0,134118250000.0,133720710000.0,133177670000.0,132850270000.0,132140384000.0
2039.0,131888300000.0,132549485000.0,132942940000.0,132182884000.0,132521550000.0,132266074000.0,133969960000.0,133631880000.0,132796030000.0,133018420000.0,132016546000.0
2040.0,131639130000.0,132321180000.0,132633220000.0,131947680000.0,132382190000.0,133016580000.0,134831580000.0,133442890000.0,132774765000.0,132511050000.0,131675680000.0
2041.0,131644240000.0,132207730000.0,132499145000.0,131788915000.0,132416120000.0,131991790000.0,134834120000.0,133279930000.0,132779350000.0,132330720000.0,131579010000.0
2042.0,131451080000.0,131803530000.0,132395770000.0,132140870000.0,131901596000.0,131816686000.0,136327170000.0,133033430000.0,132900430000.0,132238750000.0,131368870000.0
2043.0,131280080000.0,131642350000.0,131977910000.0,131824430000.0,131731060000.0,131811030000.0,135490470000.0,133057040000.0,132470010000.0,132251780000.0,131270120000.0
2044.0,131058160000.0,131551850000.0,131811050000.0,131353920000.0,131693800000.0,131614540000.0,134888460000.0,133222630000.0,132452290000.0,132176855000.0,130987490000.0
2045.0,130657616000.0,131385570000.0,131325510000.0,131249140000.0,131614990000.0,131377594000.0,135421730000.0,133731710000.0,132333120000.0,132035985000.0,130701890000.0
2046.0,130591870000.0,131226170000.0,131557150000.0,131099490000.0,131441360000.0,131307870000.0,134702000000.0,133210870000.0,132230840000.0,131832740000.0,130525400000.0
2047.0,130338640000.0,131163775000.0,131133660000.0,131024270000.0,131266085000.0,131252404000.0,134318555000.0,132878540000.0,132363950000.0,131756330000.0,130181145000.0
2048.0,130382510000.0,131170980000.0,130894040000.0,130767040000.0,131146195000.0,131129150000.0,134236100000.0,132928250000.0,132554020000.0,131494010000.0,129734164000.0
2049.0,129932665000.0,131136274000.0,130923990000.0,130521300000.0,131004520000.0,130917210000.0,133963370000.0,132587590000.0,132371350000.0,131319940000.0,129355270000.0
2050.0,129613600000.0,131242320000.0,130648700000.0,130182710000.0,130703370000.0,131208660000.0,134529710000.0,132847910000.0,132455890000.0,132161740000.0,129139660000.0
2051.0,129262260000.0,130652240000.0,130427360000.0,129936460000.0,130627640000.0,130693780000.0,134178505000.0,133060120000.0,132565700000.0,131916480000.0,128753990000.0
2052.0,129080345000.0,130623320000.0,130109560000.0,130452520000.0,130282710000.0,130774020000.0,135290310000.0,132742690000.0,131815450000.0,131460915000.0,128401250000.0
2053.0,129009640000.0,130423940000.0,130080210000.0,129763370000.0,130100410000.0,130373665000.0,134678750000.0,132523614000.0,131653460000.0,132363810000.0,127925666000.0
2054.0,128882570000.0,130210200000.0,129958630000.0,129553105000.0,129750290000.0,130198490000.0,134855790000.0,132797690000.0,131790730000.0,130948340000.0,127694004000.0
2055.0,128613250000.0,129865450000.0,129876750000.0,129423970000.0,129689380000.0,130010840000.0,133900845000.0,132521886000.0,131375505000.0,130825495000.0,127575990000.0
2056.0,128094480000.0,129759920000.0,129384210000.0,129138580000.0,129506900000.0,129780800000.0,134823380000.0,132421100000.0,131307500000.0,130760620000.0,126841270000.0
2057.0,127964640000.0,129461720000.0,129191576000.0,128768655000.0,129395150000.0,129780850000.0,133841640000.0,132598960000.0,131312880000.0,130620424000.0,126413990000.0
2058.0,127512764000.0,129345260000.0,129730680000.0,128354510000.0,129076980000.0,129844280000.0,133542650000.0,131897620000.0,131418866000.0,130356770000.0,126148100000.0
2059.0,127164360000.0,129178330000.0,129657920000.0,128065225000.0,129260855000.0,129535940000.0,133612675000.0,132818230000.0,131267900000.0,129630660000.0,125557514000.0
2060.0,126949260000.0,129159400000.0,129050935000.0,127907135000.0,128551880000.0,129386140000.0,133987330000.0,131802505000.0,130822906000.0,129480745000.0,125351100000.0
2061.0,126196080000.0,128789740000.0,128837390000.0,127564640000.0,128581680000.0,129076080000.0,133488220000.0,131694850000.0,130699790000.0,128996590000.0,125138830000.0
2062.0,126008060000.0,128664350000.0,128351270000.0,127364100000.0,128301370000.0,129014964000.0,134781630000.0,131794140000.0,130692890000.0,128737290000.0,124396810000.0
2063.0,125724000000.0,128505520000.0,128008930000.0,127050590000.0,128065240000.0,129298980000.0,133479555000.0,132239110000.0,130569790000.0,128638080000.0,123967580000.0
2064.0,125489550000.0,128018360000.0,127897280000.0,126520010000.0,127931500000.0,128894300000.0,134014984000.0,131500410000.0,131175340000.0,128350180000.0,123508540000.0
2065.0,125252750000.0,127672656000.0,128345490000.0,126021310000.0,127731474000.0,128588650000.0,135229540000.0,131603840000.0,130357270000.0,128180350000.0,123143920000.0
2066.0,124926320000.0,127416600000.0,127612100000.0,125422150000.0,127183480000.0,128373710000.0,133483815000.0,131416646000.0,130073140000.0,127872050000.0,122971365000.0
2067.0,124533030000.0,126903610000.0,127339230000.0,125257100000.0,126890960000.0,128102334000.0,134208620000.0,131778310000.0,129857724000.0,127613690000.0,122635510000.0
2068.0,124113860000.0,126921360000.0,127504020000.0,124955500000.0,126651466000.0,127896486000.0,133798250000.0,131349680000.0,129936940000.0,127264770000.0,122208190000.0
2069.0,123853900000.0,126364120000.0,127205245000.0,124983310000.0,126310690000.0,128464290000.0,133677335000.0,131066510000.0,130082460000.0,127585790000.0,121590040000.0
2070.0,123643540000.0,125760830000.0,127372616000.0,124512264000.0,126099970000.0,128331720000.0,133420010000.0,131008620000.0,130008480000.0,126841880000.0,120947740000.0
2071.0,123012710000.0,125582380000.0,126820565000.0,124050990000.0,125949600000.0,127608920000.0,133038130000.0,131066620000.0,129779890000.0,126261150000.0,120185710000.0
2072.0,122586790000.0,125350670000.0,126576820000.0,123736520000.0,125465220000.0,127523490000.0,133123500000.0,131057660000.0,129394330000.0,125895560000.0,119671500000.0
2073.0,122007260000.0,125039640000.0,126504755000.0,123658840000.0,125241060000.0,127358030000.0,133626690000.0,130636240000.0,129211695000.0,125723670000.0,119164510000.0
2074.0,121725310000.0,124917090000.0,126031070000.0,123683910000.0,124904200000.0,127027040000.0,133650010000.0,130521250000.0,128954070000.0,125463265000.0,118773110000.0
2075.0,121498345000.0,124649740000.0,125919240000.0,123535860000.0,125048340000.0,126796260000.0,133065360000.0,130405210000.0,129151570000.0,125263970000.0,117867930000.0
2076.0,121263505000.0,124060670000.0,125650150000.0,123014310000.0,124446245000.0,126746010000.0,132837880000.0,130465235000.0,128740260000.0,124514820000.0,117270420000.0
2077.0,120973450000.0,123605254000.0,125970770000.0,122642915000.0,124020646000.0,126387790000.0,132968340000.0,133060770000.0,128666910000.0,124199180000.0,117031010000.0
2078.0,120288000000.0,123477680000.0,125495796000.0,122081510000.0,123674450000.0,125955590000.0,133239910000.0,131211590000.0,128485780000.0,123756090000.0,117001770000.0
2079.0,119773120000.0,123115240000.0,124390154000.0,121607660000.0,123590580000.0,126139015000.0,134288270000.0,130834290000.0,128250760000.0,123499560000.0,116019280000.0
2080.0,119416440000.0,122922290000.0,123956780000.0,121255130000.0,123380640000.0,125935760000.0,135085490000.0,131050330000.0,128141020000.0,123016840000.0,115412270000.0
2081.0,119098930000.0,122655195000.0,123770225000.0,121009880000.0,122661590000.0,125707395000.0,134411010000.0,131323960000.0,127851540000.0,122335520000.0,114833790000.0
2082.0,118365260000.0,122050160000.0,123300495000.0,120360750000.0,122403590000.0,125861380000.0,134151530000.0,130734620000.0,127751815000.0,122040640000.0,114551600000.0
2083.0,118008270000.0,121628520000.0,122708830000.0,120123245000.0,122142420000.0,125908460000.0,134143250000.0,130610420000.0,127357305000.0,121254404000.0,113548150000.0
2084.0,117629150000.0,121063290000.0,122786640000.0,119722370000.0,121912800000.0,125703954000.0,133154840000.0,130823680000.0,127389100000.0,120917530000.0,112772090000.0
2085.0,116842480000.0,120502830000.0,122422936000.0,119579170000.0,121765670000.0,125139075000.0,133445214000.0,130203420000.0,127063370000.0,120708555000.0,112025350000.0
2086.0,116351560000.0,120431040000.0,122657150000.0,118871110000.0,121448200000.0,124977660000.0,134324590000.0,130024850000.0,126867460000.0,120000050000.0,111498340000.0
2087.0,115889050000.0,120488450000.0,121726870000.0,118356540000.0,121018940000.0,124345500000.0,134668165000.0,130057890000.0,126457090000.0,119521250000.0,110693210000.0
2088.0,115476530000.0,120070410000.0,121492040000.0,117639140000.0,120476820000.0,124204680000.0,133819240000.0,129911580000.0,126373940000.0,119139800000.0,110101990000.0
2089.0,114763194000.0,119573910000.0,121299165000.0,117407690000.0,120507570000.0,124005950000.0,133817430000.0,129881100000.0,126150350000.0,118886100000.0,109633350000.0
2090.0,114187230000.0,119060660000.0,121097050000.0,117080970000.0,120156100000.0,123929160000.0,132682930000.0,130496450000.0,126222860000.0,118297170000.0,109125260000.0
2091.0,113424040000.0,118625660000.0,120760740000.0,116790755000.0,119771185000.0,124085666000.0,132840910000.0,129494020000.0,126308900000.0,117663154000.0,108250235000.0
2092.0,113090870000.0,118539895000.0,120446770000.0,116677320000.0,119523025000.0,123607840000.0,132714200000.0,129315610000.0,126437155000.0,118137650000.0,107328130000.0
2093.0,112720730000.0,118125350000.0,119979180000.0,116599824000.0,119216340000.0,123282640000.0,132344365000.0,129011830000.0,125723830000.0,117395430000.0,106797600000.0
2094.0,112183380000.0,117854410000.0,119722350000.0,115977800000.0,118820440000.0,122711830000.0,131857230000.0,129190390000.0,125456390000.0,116606214000.0,106388340000.0
2095.0,111676430000.0,116943086000.0,119733230000.0,115295070000.0,118644300000.0,122392790000.0,131798070000.0,128870230000.0,125352075000.0,116076270000.0,105735045000.0
2096.0,111043310000.0,116819300000.0,119210610000.0,114972934000.0,118597080000.0,122192180000.0,131801680000.0,128990440000.0,124907690000.0,115381290000.0,105115820000.0
2097.0,110749565000.0,116334020000.0,118998960000.0,114683380000.0,118227034000.0,122325860000.0,131686630000.0,129537340000.0,124690590000.0,114729750000.0,104798920000.0
2098.0,109642600000.0,115917136000.0,118813730000.0,114578720000.0,118101100000.0,121910470000.0,131570360000.0,129014465000.0,124321770000.0,114109750000.0,103900240000.0
2099.0,109136790000.0,115699870000.0,118282690000.0,114064744000.0,118146960000.0,121705130000.0,131327664000.0,128894790000.0,124458140000.0,113402200000.0,103166930000.0
2100.0,108606550000.0,115421170000.0,117829160000.0,113423020000.0,117459480000.0,121301230000.0,131255810000.0,128995490000.0,123780530000.0,112782140000.0,102151970000.0
