time,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,GISS-E2-R,NORESM1-M,CNRM-CM5,GFDL-CM3,CCSM4,IPSL-CM5A-LR,MPI-ESM-LR
2000.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0
2001.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0
2002.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0
2003.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0
2004.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0
2005.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0
2006.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0
2007.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0
2008.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0
2009.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0
2010.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0
2011.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0
2012.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0
2013.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0
2014.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0
2015.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0
2016.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0
2017.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0
2018.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0
2019.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0
2020.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0
2021.0,694406671100.0,693964682400.0,692957702400.0,693643946100.0,693674542800.0,694483225900.0,692843854600.0,693626584000.0,693593410000.0,693599139700.0
2022.0,694091635300.0,691841840500.0,691894846440.0,693340092000.0,691945575460.0,693521700170.0,692131865500.0,692423270300.0,692182141400.0,693414912200.0
2023.0,692702313250.0,690995210460.0,691358898900.0,690969184700.0,691227690370.0,691107187260.0,690657959140.0,692153784600.0,692118870940.0,690755017700.0
2024.0,691116095700.0,689074804440.0,690026611700.0,689702129330.0,689794178700.0,691277943300.0,693103099430.0,689482950930.0,689846295100.0,690089650800.0
2025.0,688905055430.0,687284615300.0,687918260250.0,688317445200.0,688124591600.0,690300011550.0,691305498550.0,688522632140.0,688842598450.0,688550661300.0
2026.0,687425880260.0,686212025940.0,686353207460.0,687490936400.0,686422263660.0,688656825000.0,688542630800.0,686584088300.0,687001551440.0,687617124500.0
2027.0,685667945050.0,684367700800.0,684844446900.0,685765279150.0,683948415090.0,688308712410.0,686109688160.0,685347746500.0,685611590600.0,686501383900.0
2028.0,685988755200.0,682107035500.0,683650874400.0,684402493300.0,682348519740.0,685849433130.0,681185175250.0,683029824450.0,683381259900.0,685249960300.0
2029.0,684593540530.0,679891473130.0,682192645660.0,683066381900.0,679856941960.0,683310143000.0,678744361240.0,680562338200.0,681237382040.0,682418867600.0
2030.0,683041435800.0,679825940000.0,680227603140.0,681160034240.0,677361435250.0,681269435600.0,675293767900.0,678512845970.0,679124546730.0,681067684560.0
2031.0,679530927310.0,676079600520.0,680069619440.0,680319835660.0,675570746650.0,681601309900.0,671729297200.0,675966405400.0,676793211940.0,679500967240.0
2032.0,679023678800.0,673497351540.0,677554297380.0,677743084100.0,673549344600.0,678392665000.0,668605516700.0,673930158450.0,675278587430.0,677820874660.0
2033.0,675732129200.0,671308611040.0,676053644050.0,675835352100.0,671251442400.0,675422232300.0,666640751700.0,671340975500.0,672224661600.0,675264373640.0
2034.0,674993599100.0,668103153090.0,673056477740.0,674226689360.0,668784383400.0,673273608600.0,663117390200.0,669802825150.0,669304832300.0,672713326600.0
2035.0,670817711910.0,665807547160.0,670764306600.0,671705813800.0,666746626040.0,673231902850.0,660032694760.0,666642576800.0,666291020400.0,671200496400.0
2036.0,668613185560.0,662859411800.0,669345328800.0,669607154460.0,663843124840.0,669416103890.0,655674096100.0,663573787200.0,663237805100.0,669121205200.0
2037.0,666524852160.0,660050969300.0,667039485360.0,668011031630.0,660911423260.0,666860696800.0,651687041350.0,660874275940.0,659200617000.0,667538464200.0
2038.0,664522189650.0,656753606200.0,663595489860.0,666206634500.0,658303703900.0,664946184800.0,647746839910.0,657861318000.0,655977709400.0,664375558560.0
2039.0,661942009150.0,653682729950.0,661160294800.0,663522217000.0,654796635500.0,662344683600.0,643332200950.0,654740417440.0,651896338560.0,662474858840.0
2040.0,660151852700.0,650108732810.0,658476868540.0,661513267960.0,652221829700.0,659319380300.0,638353621790.0,652629572500.0,648809096600.0,659932832300.0
2041.0,657682258600.0,646740180430.0,655664681200.0,658939735700.0,649374137550.0,656636689750.0,634060626980.0,649198426600.0,645763929700.0,658484579600.0
2042.0,654846081300.0,643578721980.0,652076476240.0,655714995400.0,647285060740.0,654017037560.0,628862006330.0,647151905650.0,641498934500.0,655322764030.0
2043.0,653003135100.0,639612131650.0,649291999360.0,652683273640.0,643680632830.0,650895800600.0,624054685260.0,643319054700.0,637014766700.0,652367035450.0
2044.0,651075760850.0,635938745160.0,646191077030.0,649401612310.0,639794533840.0,648397083040.0,619713230540.0,639768158340.0,632756977100.0,649101560560.0
2045.0,647856079760.0,631872935290.0,643068289410.0,646330385730.0,635890412540.0,645060169440.0,614423602320.0,636451280360.0,627970849730.0,646330982360.0
2046.0,645270921400.0,627891841400.0,639103180360.0,643387968100.0,632878120630.0,642752432000.0,608413577840.0,633157888960.0,622820372270.0,643141715250.0
2047.0,642994652320.0,623527341030.0,635735945500.0,640013868660.0,629641599010.0,639743352340.0,603384321010.0,630225938250.0,617969115060.0,639562632480.0
2048.0,639808724270.0,619003592440.0,632444968350.0,637948525770.0,626169702430.0,635767507860.0,597696834750.0,628275816460.0,614350313270.0,636580014740.0
2049.0,637346465740.0,614671566100.0,628711329400.0,634579122300.0,621963004380.0,633596657110.0,591890643800.0,623696586320.0,608921178250.0,633167721380.0
2050.0,634244889950.0,609885765860.0,625313430340.0,630890655000.0,618342384050.0,631119521350.0,586336508720.0,620919938970.0,604281931160.0,630265857420.0
2051.0,631554569700.0,605872114140.0,622323749740.0,627108257080.0,614468941680.0,628792348260.0,582775153820.0,617826437680.0,599036145060.0,626321571800.0
2052.0,627503751970.0,601029643360.0,619051680900.0,624077932770.0,610872835750.0,625256301840.0,576628469730.0,614318875520.0,594439289840.0,622633668860.0
2053.0,626094131200.0,595529463060.0,615481848820.0,620449170480.0,606384737780.0,621059242330.0,570648365890.0,610387206690.0,589335369720.0,619243510740.0
2054.0,622624517580.0,590764555740.0,611487518890.0,617730465350.0,602308104000.0,616080406300.0,564646403280.0,607061282760.0,584221780020.0,615661325420.0
2055.0,618810516310.0,586746049450.0,608364854760.0,614154767840.0,598480336830.0,613272084360.0,559845342530.0,604743994470.0,579697630420.0,614848907410.0
2056.0,615006951300.0,581990595790.0,604078844860.0,610910596840.0,594350059370.0,608095516200.0,555112675460.0,600994912750.0,573742891280.0,609159083240.0
2057.0,611690318740.0,577198843850.0,600949654700.0,607988586300.0,590023331140.0,603922954230.0,549925813920.0,596931079760.0,570813522540.0,604867725890.0
2058.0,607704852830.0,572616829090.0,596345015330.0,604375410000.0,586265023850.0,599067925180.0,544452325520.0,593482453090.0,564749082300.0,601280379320.0
2059.0,604050321880.0,567906892300.0,593209911530.0,603010626500.0,581924516980.0,595521225770.0,538405426820.0,589777499520.0,558394082310.0,597609764400.0
2060.0,600776974480.0,562733611690.0,589503316510.0,598335519710.0,579056687730.0,590593772010.0,533588612170.0,586199558520.0,553247078090.0,593711561470.0
2061.0,598141157540.0,557363369110.0,586038227030.0,594645451760.0,573791082440.0,586803752330.0,528491380100.0,582560039900.0,548299251280.0,589539661840.0
2062.0,595051040790.0,552172687980.0,581799486910.0,592357877830.0,569780510670.0,582185845620.0,523474564730.0,578073543000.0,542840779950.0,584811340670.0
2063.0,591854196700.0,547476888470.0,578441688380.0,588489784600.0,565142693840.0,577781150140.0,517884455190.0,574019580990.0,537660450900.0,580820090800.0
2064.0,587958974600.0,542750021810.0,574767026860.0,585339894700.0,560632003700.0,572709004230.0,511821317030.0,569793469670.0,532117828330.0,576197247820.0
2065.0,586980907820.0,537924736960.0,570093261430.0,582079595640.0,555825020010.0,568180544120.0,506587686130.0,565371264520.0,526404310950.0,572324200120.0
2066.0,582904826700.0,532587056110.0,566457271840.0,578451115850.0,551658671510.0,563675268610.0,501826788410.0,561266385090.0,521585850990.0,567937996020.0
2067.0,577901203600.0,528469196550.0,561671492370.0,575914611640.0,547286031020.0,558458332550.0,497151447160.0,557819851910.0,516594244580.0,563194111840.0
2068.0,575475148630.0,522876025930.0,557709576980.0,573577864320.0,542717858030.0,553350558040.0,490456991434.0,553509729990.0,510621649230.0,558723044370.0
2069.0,572641329300.0,517283209270.0,553273203800.0,570170478390.0,537485003320.0,548652606250.0,485136856540.0,548868567110.0,505329422740.0,554225691640.0
2070.0,568374076060.0,513102850810.0,550659096076.0,565674123110.0,532861926300.0,543878678160.0,480181947458.0,544347988910.0,500139899720.0,550366178380.0
2071.0,564742033590.0,507831225250.0,545139779080.0,562466275340.0,527959536590.0,540186168320.0,474803407000.0,539840337770.0,496000711710.0,545614508840.0
2072.0,562120887610.0,502933054310.0,540928889300.0,562882362320.0,523138912460.0,536508861930.0,469392110546.0,535573250340.0,488641055430.0,540950413870.0
2073.0,558516253440.0,497407997410.0,536617680140.0,560283670740.0,518181175160.0,529073955180.0,465001712920.0,531265910840.0,483194301450.0,536809493170.0
2074.0,555359176720.0,492420386000.0,532162091970.0,554298566480.0,513004893410.0,523083018530.0,460132082964.0,526980867240.0,478214456590.0,532397346320.0
2075.0,551719244610.0,487506235450.0,527284147944.0,551382231290.0,507870548420.0,517742514720.0,454817097710.0,523428350910.0,473712216020.0,527698003880.0
2076.0,547389077320.0,483011727320.0,523178500826.0,548424424970.0,502207099840.0,512417142840.0,449397944026.0,517855861560.0,467155482950.0,523200079940.0
2077.0,543752023200.0,477886262150.0,518775477800.0,543315501680.0,497025402130.0,507495198870.0,444256134714.0,513284379330.0,462280320120.0,518621534070.0
2078.0,539904423440.0,472870086840.0,514089211796.0,539561177260.0,492047168740.0,503136833690.0,439221305440.0,508638288450.0,457184022850.0,513975958830.0
2079.0,536406490400.0,467298931760.0,509109391606.0,536444095560.0,486518259220.0,497611895150.0,434237892124.0,503546940720.0,452835037604.0,509738949630.0
2080.0,531984213590.0,462239589360.0,504098407250.0,532738578950.0,481069625370.0,490263108880.0,429715735164.0,498285017600.0,447280109940.0,504797959570.0
2081.0,528546931190.0,456974802190.0,499449835282.0,529483478300.0,476598697120.0,483180034200.0,424193909748.0,493316174910.0,442395312640.0,499952436060.0
2082.0,525191878950.0,452197340344.0,494421395646.0,525409495350.0,471789616530.0,477341596960.0,419292850854.0,488397259000.0,437854066860.0,495449753810.0
2083.0,521898837830.0,447177685230.0,489859626080.0,522285608260.0,466726029936.0,470213726620.0,414151306394.0,483162599230.0,433413932064.0,491219696090.0
2084.0,518341821490.0,441762521140.0,484589199154.0,519970607960.0,460886969130.0,465956440590.0,408853490220.0,477820890560.0,428079049180.0,486524357700.0
2085.0,515347781960.0,436509507904.0,479898446792.0,516231590330.0,455936952650.0,458265933870.0,403785390026.0,473452084530.0,422395264580.0,482417604330.0
2086.0,511042765290.0,431153643846.0,475416593274.0,512564334810.0,451144297550.0,454865945010.0,399106526646.0,468532246890.0,416350185810.0,477317987060.0
2087.0,506959069960.0,426245496998.0,470763655638.0,510840923910.0,446157975490.0,446452573190.0,394579046388.0,462541520260.0,411689880114.0,472857891330.0
2088.0,502352794520.0,421948825520.0,465837789052.0,506830106310.0,440484232490.0,440045402390.0,389751203666.0,457331427140.0,406836706902.0,467941316100.0
2089.0,498327167840.0,416473465086.0,461267634620.0,503456658210.0,434574187590.0,433857777970.0,385394848249.0,451909912364.0,401554558212.0,462765133840.0
