time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0
2021.0,87356710000.0,87457415000.0,87632175000.0
2022.0,87620624000.0,87199000000.0,87528950000.0
2023.0,87177355000.0,87144550000.0,87748985000.0
2024.0,87000130000.0,87251616000.0,87537670000.0
2025.0,87064430000.0,86926100000.0,87340930000.0
2026.0,86997630000.0,86765870000.0,87360650000.0
2027.0,86731990000.0,86749080000.0,87164010000.0
2028.0,86614680000.0,86461540000.0,86988220000.0
2029.0,86645510000.0,86426080000.0,87042550000.0
2030.0,86385180000.0,86320370000.0,86772376000.0
2031.0,85935190000.0,86153580000.0,86712100000.0
2032.0,85692130000.0,86378210000.0,86697480000.0
2033.0,85512405000.0,86930500000.0,86491100000.0
2034.0,85241710000.0,85994710000.0,87242980000.0
2035.0,85040680000.0,85900894000.0,86635770000.0
2036.0,84884360000.0,85915830000.0,86285000000.0
2037.0,84765460000.0,85698470000.0,86075650000.0
2038.0,84203460000.0,85335515000.0,85967600000.0
2039.0,84021400000.0,85007680000.0,85820720000.0
2040.0,83648950000.0,84737230000.0,86006900000.0
2041.0,83318010000.0,84680294000.0,85738070000.0
2042.0,82995620000.0,84475960000.0,86318210000.0
2043.0,82604050000.0,84375750000.0,85421340000.0
2044.0,82037860000.0,84037810000.0,85084815000.0
2045.0,81660550000.0,83567550000.0,84819720000.0
2046.0,81145315000.0,83304780000.0,84613940000.0
2047.0,80714430000.0,83125050000.0,84320895000.0
2048.0,80252840000.0,82803960000.0,83963570000.0
2049.0,79901900000.0,82528444000.0,83662790000.0
2050.0,79511370000.0,82320480000.0,83509985000.0
2051.0,78886450000.0,82024040000.0,83620060000.0
2052.0,78389354000.0,82005295000.0,82930430000.0
2053.0,77868850000.0,81543470000.0,82635010000.0
2054.0,77341155000.0,81187700000.0,82287895000.0
2055.0,76941115000.0,81502175000.0,82639170000.0
2056.0,76276780000.0,80870210000.0,82037090000.0
2057.0,75666620000.0,80465610000.0,81453450000.0
2058.0,75077620000.0,80145120000.0,81564566000.0
2059.0,74469160000.0,79781830000.0,80792430000.0
2060.0,73951535000.0,79518280000.0,80416604000.0
2061.0,73345600000.0,79403370000.0,80027470000.0
2062.0,72608270000.0,79215170000.0,79507900000.0
2063.0,71964836000.0,79050070000.0,79086520000.0
2064.0,71355460000.0,79043100000.0,78524965000.0
2065.0,70646410000.0,78450600000.0,78032130000.0
2066.0,69988800000.0,78275240000.0,77541310000.0
2067.0,69362120000.0,77506060000.0,77292010000.0
