time,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,CESM1-CAM5
2000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0
2001.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0
2002.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0
2003.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0
2004.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0
2005.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0
2006.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0
2007.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0
2008.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0
2009.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0
2010.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0
2011.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0
2012.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0
2013.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0
2014.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0
2015.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0
2016.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0
2017.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0
2018.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0
2019.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0
2020.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0
2021.0,33694960000.0,33712474000.0,33686608000.0,33684520000.0
2022.0,33693204000.0,33686632000.0,33675436000.0,33667578000.0
2023.0,33677877000.0,33663430000.0,33664612000.0,33640333000.0
2024.0,33686140000.0,33662300000.0,33650782000.0,33612288000.0
2025.0,33655160000.0,33655757000.0,33638003000.0,33598181000.0
2026.0,33635040000.0,33633490000.0,33623087000.0,33568844000.0
2027.0,33648867000.0,33618366000.0,33598128000.0,33522813000.0
2028.0,33615587000.0,33600285000.0,33584929000.0,33476980000.0
2029.0,33597190000.0,33578190000.0,33581080000.0,33440109000.0
2030.0,33568106000.0,33526710000.0,33541468000.0,33380645000.0
2031.0,33551280000.0,33500310000.0,33522725000.0,33285003000.0
2032.0,33532107000.0,33486390000.0,33507252000.0,33226617000.0
2033.0,33493688000.0,33449290000.0,33472369000.0,33179302000.0
2034.0,33452904000.0,33407582000.0,33440080000.0,33051957000.0
2035.0,33405966000.0,33379560000.0,33416825000.0,32997030000.0
2036.0,33373671000.0,33358625000.0,33387794000.0,32910727000.0
2037.0,33333539000.0,33306430000.0,33345374000.0,32832786000.0
2038.0,33257658000.0,33234917000.0,33302680000.0,32673575000.0
2039.0,33204427000.0,33177029000.0,33272893000.0,32535239000.0
2040.0,33162437000.0,33092712000.0,33182239000.0,32399892000.0
2041.0,33111390000.0,33020348000.0,33128092000.0,32242831000.0
2042.0,33055158000.0,32943794000.0,33062613000.0,32116617000.0
2043.0,32988598000.0,32819188000.0,32989622000.0,31953676000.0
2044.0,32869968000.0,32756146000.0,32910555000.0,31669279000.0
2045.0,32797227000.0,32694180000.0,32847372000.0,31414495000.0
2046.0,32728164000.0,32598977000.0,32784497000.0,31276540000.0
2047.0,32667394000.0,32513348000.0,32699963000.0,31054680000.0
