time,CESM1-CAM5,CCSM4
2000.0,33819884000.0,33819884000.0
2001.0,33864160000.0,33864160000.0
2002.0,33840273000.0,33840273000.0
2003.0,33820926000.0,33820926000.0
2004.0,33815273000.0,33815273000.0
2005.0,33798212000.0,33798212000.0
2006.0,33791566000.0,33791566000.0
2007.0,33787152000.0,33787152000.0
2008.0,33777620000.0,33777620000.0
2009.0,33777641000.0,33777641000.0
2010.0,33770058000.0,33770058000.0
2011.0,33778040000.0,33778040000.0
2012.0,33759564000.0,33759564000.0
2013.0,33790654000.0,33790654000.0
2014.0,33737690000.0,33737690000.0
2015.0,33745338000.0,33745338000.0
2016.0,33742463000.0,33742463000.0
2017.0,33738520000.0,33738520000.0
2018.0,33718770000.0,33718770000.0
2019.0,33755453000.0,33755453000.0
2020.0,33703807000.0,33703807000.0
2021.0,33688631000.0,33688986000.0
2022.0,33675310000.0,33681660000.0
2023.0,33667176000.0,33675164000.0
2024.0,33643990000.0,33665160000.0
2025.0,33634150000.0,33647047000.0
2026.0,33616988000.0,33626241000.0
2027.0,33620093000.0,33614440000.0
2028.0,33607018000.0,33604463000.0
2029.0,33587251000.0,33590983000.0
2030.0,33554983000.0,33552587000.0
2031.0,33536147000.0,33520536000.0
2032.0,33521510000.0,33497424000.0
2033.0,33495240000.0,33463863000.0
2034.0,33480927000.0,33438350000.0
2035.0,33406732000.0,33399718000.0
2036.0,33360882000.0,33328090000.0
2037.0,33328558000.0,33295335000.0
2038.0,33310296000.0,33263444000.0
2039.0,33287535000.0,33231827000.0
2040.0,33202590000.0,33194142000.0
2041.0,33175695000.0,33136250000.0
2042.0,33139330000.0,33105030000.0
2043.0,33073550000.0,33077015000.0
2044.0,33004438000.0,32967990000.0
2045.0,32900274000.0,32923298000.0
2046.0,32813173000.0,32863850000.0
2047.0,32761390000.0,32800266000.0
2048.0,32746815000.0,32767762000.0
2049.0,32659573000.0,32691642000.0
2050.0,32552999000.0,32635824000.0
2051.0,32501211000.0,32583820000.0
2052.0,32410583000.0,32477104000.0
2053.0,32349303000.0,32395166000.0
2054.0,32207560000.0,32286044000.0
2055.0,32157553000.0,32184564000.0
2056.0,32097012000.0,32127470000.0
2057.0,32011053000.0,32007725000.0
2058.0,31889380000.0,31945320000.0
2059.0,31756407000.0,31812890000.0
2060.0,31652016000.0,31754498000.0
2061.0,31532798000.0,31645540000.0
2062.0,31368217000.0,31517260000.0
2063.0,31254172000.0,31428805000.0
2064.0,31088812000.0,31283448000.0
2065.0,30917835000.0,31156742000.0
2066.0,30785698000.0,31102218000.0
2067.0,30666613000.0,30985394000.0
2068.0,30504614000.0,30819246000.0
2069.0,30347387000.0,30609562000.0
2070.0,30102452000.0,30415057000.0
2071.0,29887201000.0,30245980000.0
2072.0,29654120000.0,30071788000.0
2073.0,29372877000.0,29932570000.0
2074.0,29130525000.0,29764225000.0
2075.0,28911920000.0,29658319000.0
2076.0,28636748000.0,29458962000.0
2077.0,28351578000.0,29283226000.0
2078.0,28072247000.0,29102789000.0
2079.0,27742610000.0,28911872000.0
2080.0,27356488000.0,28613575000.0
2081.0,27000300000.0,28428270000.0
2082.0,26651718000.0,28193464000.0
2083.0,26210100000.0,27899451000.0
2084.0,25657522000.0,27659299000.0
2085.0,25172314000.0,27527664000.0
2086.0,24629109000.0,27316290000.0
2087.0,24114014000.0,27056589000.0
2088.0,23711860000.0,26790996000.0
2089.0,23333798000.0,26528766000.0
2090.0,22858594000.0,26292992000.0
2091.0,22388441000.0,26050810000.0
2092.0,21833585000.0,25802336000.0
2093.0,21386870000.0,25597120000.0
2094.0,20967227000.0,25381915000.0
2095.0,20529183000.0,25167464000.0
2096.0,20041488000.0,24824205000.0
2097.0,19590679000.0,24499716000.0
2098.0,19258761000.0,24165214000.0
2099.0,18832160000.0,23834022000.0
2100.0,18471913000.0,23516314000.0
2101.0,18155327000.0,23197573000.0
2102.0,17629065000.0,22964806000.0
2103.0,17288026000.0,22675677000.0
2104.0,16947295000.0,22356783000.0
2105.0,16555752000.0,22078358000.0
2106.0,16094795000.0,21845740000.0
2107.0,15719387000.0,21564180000.0
2108.0,15302751000.0,21341245000.0
2109.0,14858098000.0,21020910000.0
2110.0,14468322000.0,20752558000.0
2111.0,14030903000.0,20513036000.0
2112.0,13655686000.0,20204995000.0
2113.0,13225187000.0,19876741000.0
2114.0,12771680000.0,19428000000.0
2115.0,12449621000.0,19148001000.0
2116.0,12064668000.0,18870594000.0
2117.0,11578051000.0,18499100000.0
2118.0,11092845000.0,18211666000.0
2119.0,10660741000.0,17830232000.0
2120.0,10218362000.0,17557766000.0
2121.0,9917168000.0,17180510000.0
2122.0,9472117000.0,16901936000.0
2123.0,8998760000.0,16604808000.0
2124.0,8601036000.0,16205952000.0
2125.0,8179744000.0,15841295000.0
2126.0,7718989300.0,15669720000.0
2127.0,7421703700.0,15411619000.0
2128.0,7105369600.0,15133898000.0
2129.0,6865411600.0,14947272000.0
2130.0,6567982600.0,14664399000.0
2131.0,6326689000.0,14430533000.0
2132.0,6077985300.0,14168106000.0
2133.0,5883373600.0,13903238000.0
2134.0,5715346000.0,13725796000.0
2135.0,5508437000.0,13441694000.0
2136.0,5284520000.0,13124803000.0
2137.0,5131783000.0,12909374000.0
2138.0,5019300400.0,12630560000.0
2139.0,4874694000.0,12290065000.0
2140.0,4727495700.0,12068168000.0
2141.0,4555465000.0,11740117000.0
2142.0,4446678000.0,11396222000.0
2143.0,4315469300.0,11186262000.0
2144.0,4203000800.0,11037358000.0
2145.0,4063777800.0,10715511000.0
2146.0,3966126000.0,10424569000.0
2147.0,3841236500.0,10233761000.0
2148.0,3643720400.0,10102061000.0
2149.0,3494495700.0,9982586000.0
2150.0,3377050600.0,9703833000.0
2151.0,3240575000.0,9443988000.0
2152.0,3097056000.0,9315842000.0
2153.0,2978477300.0,9182048000.0
2154.0,2872390700.0,9036460000.0
2155.0,2787070500.0,8809681000.0
2156.0,2701830100.0,8636784000.0
2157.0,2627838500.0,8445180400.0
2158.0,2525949000.0,8270147000.0
2159.0,2472163800.0,8106020400.0
2160.0,2400029000.0,7961439700.0
2161.0,2321517000.0,7845781500.0
2162.0,2262915800.0,7644100600.0
2163.0,2209854000.0,7348473000.0
2164.0,2128475500.0,7213645000.0
2165.0,2071268400.0,7020897000.0
2166.0,1996058400.0,6863232000.0
2167.0,1927809700.0,6774639600.0
2168.0,1871846800.0,6633969000.0
2169.0,1814933900.0,6539096600.0
2170.0,1751718100.0,6385739300.0
2171.0,1716022000.0,6163684400.0
2172.0,1679148300.0,6042481700.0
2173.0,1628424800.0,5857312000.0
2174.0,1585765000.0,5710578000.0
2175.0,1530648400.0,5597492000.0
2176.0,1450926100.0,5453833700.0
2177.0,1397898600.0,5344913000.0
2178.0,1360533200.0,5257883600.0
2179.0,1283869300.0,5164566500.0
2180.0,1207973100.0,5035285000.0
2181.0,1182984400.0,4943786500.0
2182.0,1148213600.0,4844306400.0
2183.0,1094294700.0,4732305000.0
2184.0,1003074200.0,4624225000.0
2185.0,926740400.0,4493542400.0
2186.0,812726800.0,4444910600.0
2187.0,734289000.0,4361914000.0
2188.0,648856770.0,4240185300.0
2189.0,618669200.0,4145942300.0
2190.0,607766300.0,4047709700.0
2191.0,596077440.0,3974795300.0
2192.0,561249800.0,3914412300.0
2193.0,536402560.0,3865713000.0
2194.0,521373820.0,3831920600.0
2195.0,513153570.0,3807004000.0
2196.0,498608500.0,3756821200.0
2197.0,488147600.0,3679453400.0
2198.0,444725820.0,3619774700.0
2199.0,391287260.0,3521452300.0
2200.0,370784030.0,3477724000.0
2201.0,356928200.0,3452087800.0
2202.0,339526300.0,3403684400.0
2203.0,328760740.0,3344386600.0
2204.0,324387740.0,3325782800.0
2205.0,312807200.0,3276103700.0
2206.0,298333730.0,3223182000.0
2207.0,284470820.0,3159859500.0
2208.0,270410100.0,3111241500.0
2209.0,257384750.0,3060640300.0
2210.0,246396930.0,3030313700.0
2211.0,232853810.0,2972844000.0
2212.0,225413470.0,2944655600.0
2213.0,206661800.0,2903919400.0
2214.0,194004770.0,2886659600.0
2215.0,188090830.0,2853494300.0
2216.0,184632800.0,2828171000.0
2217.0,169433380.0,2787398700.0
2218.0,160689520.0,2752163600.0
2219.0,135884580.0,2695160000.0
2220.0,124741380.0,2662614000.0
2221.0,118985064.0,2601755100.0
2222.0,108812570.0,2557901000.0
2223.0,99814664.0,2513322200.0
2224.0,92115250.0,2456653000.0
2225.0,83931210.0,2423116300.0
2226.0,77284430.0,2334972200.0
2227.0,75029100.0,2237658000.0
2228.0,73050560.0,2183323000.0
2229.0,66734220.0,2152103000.0
2230.0,63633650.0,2122544500.0
2231.0,61652160.0,2081610400.0
2232.0,59624650.0,2047456100.0
2233.0,57511988.0,2017134600.0
2234.0,55513172.0,1987464000.0
2235.0,53059984.0,1967710200.0
2236.0,51143650.0,1900940300.0
2237.0,49227784.0,1882426500.0
2238.0,45974030.0,1791338600.0
2239.0,44263624.0,1761208000.0
2240.0,37233096.0,1725963300.0
2241.0,24908350.0,1701113300.0
2242.0,21517824.0,1656126800.0
2243.0,19899386.0,1615903500.0
2244.0,18119362.0,1548140700.0
2245.0,17532812.0,1458060000.0
2246.0,17218236.0,1434335400.0
2247.0,16137118.0,1403342500.0
2248.0,15684027.0,1370030500.0
2249.0,15098377.0,1352752800.0
2250.0,14930767.0,1338073000.0
2251.0,14660449.0,1311749200.0
2252.0,14565118.0,1281244400.0
2253.0,14511822.0,1261136500.0
2254.0,14250603.0,1242141300.0
