time,CANESM2,CESM1-CAM5,MPI-ESM-LR
2000.0,2737644000.0,2737644000.0,2737644000.0
2001.0,2764141000.0,2764141000.0,2764141000.0
2002.0,2736113700.0,2736113700.0,2736113700.0
2003.0,2713224700.0,2713224700.0,2713224700.0
2004.0,2716989400.0,2716989400.0,2716989400.0
2005.0,2703320300.0,2703320300.0,2703320300.0
2006.0,2719060500.0,2719060500.0,2719060500.0
2007.0,2693394700.0,2693394700.0,2693394700.0
2008.0,2723574500.0,2723574500.0,2723574500.0
2009.0,2704474600.0,2704474600.0,2704474600.0
2010.0,2684407800.0,2684407800.0,2684407800.0
2011.0,2684761900.0,2684761900.0,2684761900.0
2012.0,2687034000.0,2687034000.0,2687034000.0
2013.0,2699544800.0,2699544800.0,2699544800.0
2014.0,2672770300.0,2672770300.0,2672770300.0
2015.0,2661593300.0,2661593300.0,2661593300.0
2016.0,2726433500.0,2726433500.0,2726433500.0
2017.0,2658657300.0,2658657300.0,2658657300.0
2018.0,2669554700.0,2669554700.0,2669554700.0
2019.0,2640114700.0,2640114700.0,2640114700.0
2020.0,2642841600.0,2642841600.0,2642841600.0
2021.0,2631181600.0,2617915000.0,2620810800.0
2022.0,2633858300.0,2623119000.0,2609131300.0
2023.0,2634306300.0,2611441700.0,2595711200.0
2024.0,2617598500.0,2603831600.0,2592286000.0
2025.0,2600770800.0,2582997800.0,2585603600.0
2026.0,2595580200.0,2567127600.0,2554030800.0
2027.0,2578868200.0,2553742800.0,2541892600.0
2028.0,2557623800.0,2540053500.0,2521533000.0
2029.0,2537936400.0,2532752400.0,2493089800.0
2030.0,2520598000.0,2514400000.0,2469935000.0
2031.0,2508463000.0,2494844000.0,2460151000.0
2032.0,2500093000.0,2477601000.0,2441488000.0
2033.0,2513128400.0,2450273500.0,2420917000.0
2034.0,2472727000.0,2404003300.0,2391402200.0
2035.0,2473199000.0,2387362000.0,2363022000.0
2036.0,2455448000.0,2362808800.0,2334929400.0
2037.0,2428480300.0,2324619800.0,2309465600.0
2038.0,2410863400.0,2286096000.0,2270378500.0
2039.0,2399350000.0,2257518300.0,2232046300.0
2040.0,2375094500.0,2243612700.0,2216019700.0
2041.0,2390284800.0,2199336400.0,2209639700.0
2042.0,2336848400.0,2151657700.0,2166416400.0
2043.0,2320517600.0,2108052400.0,2135604500.0
2044.0,2295959300.0,2131537300.0,2104888300.0
2045.0,2332183600.0,2051844600.0,2089273200.0
2046.0,2269199000.0,1993590500.0,2041692700.0
2047.0,2233504500.0,1943951500.0,1970212900.0
2048.0,2209825500.0,1943797600.0,1998009300.0
2049.0,2172973000.0,1871297400.0,1905872300.0
2050.0,2163946500.0,1824531300.0,1886231600.0
2051.0,2127566600.0,1780808200.0,1839769200.0
2052.0,2108752000.0,1715381500.0,1776702300.0
2053.0,2069832600.0,1672225900.0,1736219900.0
2054.0,2022188200.0,1626026600.0,1697312900.0
2055.0,1995530400.0,1586776300.0,1656335100.0
2056.0,1947047000.0,1532564000.0,1617535200.0
2057.0,1916457300.0,1505519100.0,1590189800.0
2058.0,2019603000.0,1453620500.0,1567525200.0
2059.0,1871450800.0,1414516000.0,1638943100.0
2060.0,1835118600.0,1390038400.0,1544509800.0
2061.0,1848491500.0,1341548700.0,1496156200.0
2062.0,1791259500.0,1307380600.0,1520035700.0
2063.0,1781707800.0,1252477800.0,1458621400.0
2064.0,1719374200.0,1243802200.0,1435401200.0
2065.0,1827892900.0,1207166600.0,1411451000.0
2066.0,1690017900.0,1167980700.0,1395233000.0
2067.0,1659258500.0,1148503600.0,1373342800.0
2068.0,1627997800.0,1153061000.0,1351286400.0
2069.0,1749412500.0,1102525600.0,1325097700.0
2070.0,1713959400.0,1080760600.0,1304219500.0
2071.0,1606497300.0,1060440900.0,1302999200.0
2072.0,1566187300.0,1041153860.0,1486054800.0
2073.0,1536465200.0,1005960500.0,1280336500.0
2074.0,1502515700.0,977173100.0,1546686300.0
2075.0,1482041100.0,956100800.0,1246083600.0
