time,MPI-ESM-LR,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2229310200.0,2215717000.0,2317899800.0,2284769300.0
2022.0,2291347700.0,2189099300.0,2235063800.0,2255208200.0
2023.0,2188941800.0,2168220200.0,2187367200.0,2180215300.0
2024.0,2218762500.0,2144840700.0,2189042200.0,2155897600.0
2025.0,2167346200.0,2103791500.0,2135781200.0,2134803200.0
2026.0,2239292000.0,2119868400.0,2115590300.0,2118404600.0
2027.0,2154381800.0,2038807400.0,2093961100.0,2077384700.0
2028.0,2102367600.0,2043161300.0,2057371900.0,2063488000.0
2029.0,2045952600.0,1985623400.0,2040997100.0,2154413300.0
2030.0,1992043400.0,1955620500.0,2137190400.0,2064154900.0
2031.0,1987649200.0,1935339000.0,1992661500.0,2039449000.0
2032.0,1985437700.0,1890848000.0,1954172500.0,2014363600.0
2033.0,1981475100.0,1880121200.0,1893165300.0,1969869800.0
2034.0,1907381600.0,1828296200.0,1950274700.0,1929881100.0
2035.0,1858658400.0,1810981500.0,1858527400.0,1892875500.0
2036.0,1846367100.0,1772238100.0,1804997000.0,1850475400.0
2037.0,1784217900.0,1750749000.0,1763154700.0,1828343000.0
2038.0,1722539600.0,1735660000.0,1716055900.0,1799176800.0
2039.0,1689849600.0,1673937200.0,1676399900.0,1756839600.0
2040.0,1722533000.0,1629480700.0,1645933700.0,1701561700.0
2041.0,1662764700.0,1593023400.0,1589417100.0,1679744100.0
2042.0,1625869300.0,1561118300.0,1540502300.0,1650465500.0
2043.0,1577027600.0,1535456900.0,1527902200.0,1595787400.0
2044.0,1526260500.0,1482208300.0,1468693100.0,1543916400.0
2045.0,1475198800.0,1451234300.0,1413668500.0,1510963600.0
2046.0,1473247700.0,1411672800.0,1382766200.0,1458760800.0
2047.0,1414838300.0,1402207000.0,1323707000.0,1417093900.0
2048.0,1371519000.0,1333006700.0,1284904000.0,1386756900.0
2049.0,1379659000.0,1287589500.0,1237784600.0,1393432000.0
2050.0,1323551700.0,1261468500.0,1199418400.0,1310825900.0
2051.0,1275965700.0,1217252900.0,1159138200.0,1260167700.0
2052.0,1234626600.0,1179014900.0,1117025400.0,1207103400.0
2053.0,1219375400.0,1151100900.0,1070418600.0,1179677000.0
2054.0,1198797800.0,1105177500.0,1028939400.0,1138032800.0
2055.0,1143239400.0,1063884600.0,992945340.0,1142069100.0
2056.0,1145880000.0,1019782660.0,940442700.0,1075476200.0
2057.0,1096404600.0,986320450.0,898164100.0,1059023900.0
2058.0,1081811700.0,941052740.0,859143500.0,1020638600.0
2059.0,1019953540.0,908578300.0,832455200.0,980166900.0
2060.0,990343360.0,887018600.0,790409800.0,944686900.0
2061.0,985514700.0,860500300.0,756013600.0,916945500.0
2062.0,973066200.0,818318700.0,721534700.0,880345000.0
2063.0,928072800.0,792559300.0,692663040.0,883546900.0
2064.0,915184060.0,765394600.0,671044400.0,821976700.0
2065.0,876922050.0,745171600.0,633868700.0,788452500.0
2066.0,853472700.0,714662500.0,602918000.0,780485100.0
2067.0,836757440.0,688520960.0,583301250.0,739915500.0
2068.0,817781600.0,668221400.0,560666700.0,720675260.0
2069.0,804695000.0,638683900.0,538175900.0,713646100.0
2070.0,771787970.0,615773900.0,514636860.0,672977100.0
2071.0,770231000.0,595525950.0,515909000.0,653401660.0
2072.0,745017860.0,576336400.0,482877400.0,636115100.0
2073.0,726307400.0,557348160.0,467330940.0,633179800.0
2074.0,722390300.0,545279200.0,448718500.0,620826400.0
2075.0,706999800.0,523863550.0,436812540.0,589723400.0
2076.0,678973900.0,501088480.0,416432600.0,589453630.0
2077.0,690227460.0,478874560.0,398020740.0,562722800.0
2078.0,667149900.0,458207600.0,378294940.0,546983000.0
2079.0,650688960.0,445687780.0,361007520.0,548134600.0
2080.0,752036740.0,435397920.0,348815230.0,518257570.0
2081.0,653001600.0,431923200.0,340059740.0,505972740.0
2082.0,631351000.0,407085220.0,334227140.0,489133120.0
2083.0,594668600.0,435034240.0,320704540.0,473598460.0
2084.0,604931000.0,390903070.0,311339420.0,480375550.0
2085.0,602617100.0,381304160.0,303387420.0,464036100.0
2086.0,602270340.0,363352540.0,299229400.0,478724580.0
2087.0,618596600.0,353397800.0,284295740.0,451603870.0
2088.0,606131600.0,343128420.0,274479740.0,432566300.0
2089.0,558644350.0,337585540.0,264993800.0,499787000.0
2090.0,558765250.0,332591970.0,259987140.0,485995360.0
2091.0,535330720.0,318872900.0,254437070.0,452057150.0
2092.0,509025120.0,309582050.0,260665600.0,586471600.0
2093.0,502200160.0,300128580.0,247127280.0,492478820.0
2094.0,514177120.0,290875420.0,246056880.0,437084770.0
2095.0,484691870.0,284150460.0,241784620.0,538900300.0
2096.0,473873440.0,276360930.0,234248540.0,448326460.0
