time,MPI-ESM-LR,CCSM4,CSIRO-MK3-6-0
2000.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2282638800.0,2275652600.0,2257545000.0
2022.0,2264403500.0,2269921800.0,2226356700.0
2023.0,2200883700.0,2230377700.0,2231492600.0
2024.0,2238706400.0,2189746700.0,2260914700.0
2025.0,2225193700.0,2158373000.0,2184436500.0
2026.0,2226023400.0,2124855400.0,2144523400.0
2027.0,2178074600.0,2129580000.0,2117251700.0
2028.0,2143377800.0,2117636400.0,2107194200.0
2029.0,2121738100.0,2041360600.0,2122378200.0
2030.0,2163283500.0,2028967300.0,2060147600.0
2031.0,2201431000.0,1961976300.0,2064382100.0
2032.0,2134886900.0,1927752700.0,2069129900.0
2033.0,2147067800.0,1917897600.0,2008788900.0
2034.0,2018267500.0,1872514300.0,1962529400.0
2035.0,2003261700.0,1839022100.0,1930040200.0
2036.0,1934294900.0,1786334300.0,1969844200.0
2037.0,1934616000.0,1767116800.0,1858972000.0
2038.0,1871896600.0,1727849200.0,1835800800.0
2039.0,1811917600.0,1703018800.0,1828056000.0
2040.0,1786559900.0,1679730200.0,1775975700.0
2041.0,1768182100.0,1613971800.0,1746186800.0
2042.0,1759461900.0,1548102500.0,1712460400.0
2043.0,1711135700.0,1503642000.0,1688895100.0
2044.0,1635902500.0,1463769000.0,1630037900.0
2045.0,1637934700.0,1405652400.0,1644913400.0
2046.0,1561703000.0,1349236100.0,1595517800.0
2047.0,1531509800.0,1311272300.0,1526139100.0
2048.0,1469723900.0,1243445000.0,1484457000.0
2049.0,1423816800.0,1202447100.0,1474857600.0
2050.0,1386521900.0,1157480800.0,1419955200.0
2051.0,1372092700.0,1107646800.0,1377489900.0
2052.0,1335512400.0,1063268300.0,1353415700.0
2053.0,1287141500.0,1010815940.0,1314405900.0
2054.0,1255139000.0,969833340.0,1268409600.0
2055.0,1216278900.0,938298430.0,1217579800.0
2056.0,1165896800.0,879369000.0,1188432900.0
2057.0,1143137300.0,831956740.0,1152898600.0
2058.0,1152735900.0,794361340.0,1105918300.0
2059.0,1076223600.0,754033000.0,1064874800.0
2060.0,1020336960.0,716531800.0,1027849540.0
2061.0,1002522560.0,679931400.0,990541900.0
2062.0,956809700.0,642935040.0,960039740.0
2063.0,918214340.0,612553200.0,922096640.0
2064.0,893615500.0,582029760.0,876702100.0
2065.0,865844300.0,555035600.0,842387400.0
2066.0,838055700.0,520245470.0,790266940.0
2067.0,816982800.0,497942100.0,757708200.0
